time,azimuth
8,178
56,177
106,175
156,179
204,-180
255,179
306,178
354,178
407,-180
454,178
516,180
555,175
605,170
656,170
704,171
754,173
806,177
854,176
904,176
955,176
1006,176
1054,174
1103,173
1154,178
1204,178
1255,179
1304,179
1354,180
1407,178
1454,-179
1504,180
1558,-178
1608,-177
1654,-175
1705,-176
1755,-179
1804,-173
1854,-173
1904,-172
1954,-178
2004,-180
2054,-176
2104,-175
2154,-180
2206,-175
2257,-174
2307,180
2354,-178
2408,-167
2456,-172
2505,-174
2560,-178
2610,-175
2654,-168
2704,-170
2755,-176
2805,-179
2854,-173
2904,-164
2954,-173
3004,178
3055,-172
3105,-168
3157,-178
3205,172
3254,175
3304,-177
3354,-176
3404,-171
3454,-173
3504,-167
3559,-170
3605,-175
3654,-173
3704,-171
3754,-173
3804,-173
3854,-172
3904,-171
3954,-169
4007,-170
4058,-171
4104,-172
4155,-173
4204,-166
4256,-162
4305,-166
4355,-164
4404,-167
4456,-170
4506,-165
4574,-168
4605,-164
4654,-160
4705,-168
4757,-171
4805,-168
4858,-169
4904,-176
4956,-161
5007,-165
5057,-175
5106,-173
5156,-172
5204,-176
5254,-175
5304,-172
5354,-179
5404,-171
5456,-164
5509,-171
5564,176
5604,166
5654,-180
5706,175
5754,177
5805,-177
5857,-172
5904,176
5955,-176
6005,-172
6057,175
6105,173
6158,174
6205,-176
6256,-171
6306,-169
6354,-169
6407,-164
6456,-162
6504,-166
6559,-170
6607,-167
6654,-166
6704,-172
6754,-176
6807,-177
6857,-175
6904,-175
6954,179
7004,174
7055,175
7104,179
7154,179
7204,177
7256,177
7304,179
7356,-172
7404,176
7454,167
7507,178
7558,-173
7604,-177
7655,-174
7705,-169
7755,-164
7805,-166
7854,-165
7904,-159
7956,-153
8008,-166
8056,-167
8104,-155
8157,-157
8205,-166
8256,-170
8306,-172
8356,-171
8406,-176
8456,-179
8506,-176
8560,179
8607,178
8654,173
8705,-177
8757,-177
8806,-179
8855,177
8905,-177
8954,-177
9004,-179
9055,-175
9105,-174
9156,-178
9204,178
9255,177
9304,-174
9355,-168
9405,-171
9455,-172
9504,-171
9554,-162
9608,-170
9655,-162
9705,-162
9756,-165
9804,-179
9855,-163
9905,-163
9956,-168
10004,-169
10054,-170
10106,-177
10156,-176
10204,-177
