time,x,y,z
8,-0.10661,-0.40381,-0.03751
56,-0.29387,0.22842,-0.10402
106,-0.09534,-0.00800,-0.04086
155,0.10808,0.43597,-0.04420
204,-0.04477,0.25645,-0.03183
255,-0.08502,0.10110,-0.07925
306,-0.06010,0.30840,-0.04329
354,-0.04257,0.30338,-0.01909
407,-0.00424,0.11697,0.00549
454,-0.17467,0.32251,0.07283
516,-0.09708,0.09714,0.23390
555,-0.12093,0.09889,0.08598
605,-0.22261,0.00304,0.12761
655,-0.05972,0.25555,-0.00458
704,0.07147,0.00932,-0.11787
754,0.18767,-0.01254,-0.13528
805,-0.12553,0.13863,-0.19659
854,-0.07027,0.04332,-0.14911
904,-0.01691,-0.06215,-0.09142
955,-0.08022,-0.16469,-0.08514
1006,-0.12560,-0.06061,-0.08147
1054,-0.12115,0.03581,-0.11775
1103,-0.05582,0.11465,-0.13373
1154,-0.01482,0.03224,-0.16521
1204,-0.06029,-0.18709,-0.20859
1255,-0.10066,-0.02417,-0.24734
1304,-0.08409,-0.14468,-0.32729
1354,-0.01889,-0.14786,-0.38235
1407,-0.00703,-0.16484,-0.36215
1454,-0.00531,-0.09010,-0.24176
1504,-0.16026,-0.05998,-0.22061
1558,-0.18744,0.13582,-0.22998
1608,-0.15091,-0.00130,-0.16428
1654,-0.13895,-0.25282,-0.21440
1704,-0.11139,-0.26215,-0.29631
1755,-0.07173,-0.47816,-0.16150
1804,-0.15068,-0.07195,-0.03615
1854,-0.13011,-0.26906,0.00726
1904,-0.04091,-0.16124,0.03186
1953,0.01527,-0.17267,-0.05098
2004,-0.00279,-0.14047,-0.02747
2054,-0.21898,0.17339,0.03461
2104,-0.02931,0.52742,-0.04762
2154,0.32005,0.38969,-0.11258
2206,-0.00461,0.39587,-0.09796
2256,-0.12343,-0.11794,-0.07898
2306,-0.01572,-0.13033,-0.10930
2354,0.06465,0.31226,-0.11992
2405,0.04454,1.29860,-0.01233
2455,0.12918,-0.30685,0.09383
2504,-0.46098,0.00824,0.01294
2560,-0.10347,0.18671,-0.13719
2610,0.31090,0.29231,-0.12880
2654,-0.01869,0.40366,-0.13821
2704,-0.04163,-0.18680,-0.08124
2755,-0.25603,-0.14406,-0.03186
2804,-0.20522,-0.07607,0.02629
2854,-0.01207,-0.18195,0.10371
2904,0.50050,0.74428,0.21199
2954,0.15329,-0.01591,0.18185
3004,-0.13615,0.11171,0.24245
3055,0.18510,0.60289,0.54243
3104,0.36533,-0.10541,0.32893
3156,-0.02129,-0.28941,0.05739
3205,-0.08159,-0.11409,0.15089
3254,0.19756,-0.10692,0.15640
3304,0.09946,-0.10988,-0.14160
3354,0.02641,-0.49643,-0.27151
3404,-0.10345,-0.04111,-0.17816
3454,-0.10371,0.40378,-0.14125
3504,0.10760,1.10873,-0.08870
3559,-0.09259,-0.43256,-0.00929
3604,-0.41940,-0.10968,-0.00232
3654,-0.00676,-0.47346,-0.13029
3704,0.31274,-0.41086,-0.14618
3754,0.03014,-0.38504,-0.08084
3804,-0.11847,0.22990,0.03242
3853,0.19827,0.36099,0.08232
3904,0.05779,0.90446,-0.00417
3954,-0.02170,0.33717,-0.08267
4007,-0.07225,-0.35405,-0.00105
4058,-0.18365,-0.48218,-0.01773
4104,-0.04485,-0.55469,-0.10660
4155,0.00232,-0.38516,-0.16499
4204,0.03331,0.42311,-0.11557
4256,0.22301,-0.22562,-0.02802
4305,-0.08899,0.32259,0.07137
4355,0.01035,0.86008,0.13481
4404,0.05215,-0.62775,-0.03223
4456,-0.05722,-0.47258,0.00961
4506,-0.05453,-0.84146,-0.01942
4567,-0.09137,-0.52737,0.07056
4605,-0.08626,1.07239,0.20860
4654,0.58746,-0.43571,0.32831
4705,-0.08272,0.04002,0.22382
4757,-0.41647,1.44817,0.34167
4805,0.49620,-0.34940,0.29610
4858,0.18253,-0.49214,0.13635
4904,-0.36725,-0.13095,0.22147
4954,0.05652,-0.25107,0.42262
5006,0.25407,-0.74620,0.36267
5056,0.08302,-0.17229,0.29852
5106,0.70515,0.25380,0.33180
5156,0.40280,1.03006,0.32727
5203,-0.06487,0.70506,0.27541
5254,0.14381,0.30956,0.35776
5304,0.36566,0.30119,0.18184
5354,0.26414,-0.17816,0.26076
5404,0.48997,-0.07863,0.50826
5455,0.21405,-0.26506,0.48355
5504,0.10408,-0.58136,0.28854
5564,0.05878,-0.12790,0.19774
5604,0.36165,-0.61394,0.23106
5654,0.31503,-0.28989,-0.03902
5706,-0.42480,0.50061,-0.49648
5754,-0.29814,0.83868,-0.41740
5805,0.23767,0.24274,-0.16481
5855,-0.47571,0.43733,-0.17792
5904,0.02965,-0.58398,-0.21948
5955,0.24251,-0.10027,-0.11819
6005,-0.01451,-0.37032,-0.21616
6056,-0.19054,-0.29263,-0.29089
6105,-0.23090,-0.15594,-0.35892
6158,-0.11681,-0.14629,-0.39891
6205,-0.10104,-0.23170,-0.48048
6255,-0.16498,0.61057,-0.44290
6305,0.16023,0.35130,-0.48840
6354,-0.12978,0.98230,-0.44806
6407,-0.03195,0.08833,-0.26631
6456,0.22231,-0.12218,-0.08997
6504,-0.09555,-0.67424,0.00308
6558,-0.23953,-0.51282,0.16405
6607,-0.13997,-0.20164,0.27116
6654,0.04951,0.71733,0.25644
6704,0.13112,-0.16876,0.24197
6754,-0.12929,0.16780,0.42894
6807,-0.34608,-0.19246,0.39131
6857,0.47646,-0.20938,0.36819
6904,0.60782,0.05182,0.29156
6954,-0.28569,-0.51695,0.34077
7004,-0.05353,-0.68666,0.46004
7055,0.14233,-0.44305,0.32205
7103,0.12413,-0.18590,0.10043
7154,0.18993,0.63905,0.06294
7204,0.17094,0.84105,0.04488
7256,-0.56970,0.41664,-0.21254
7304,-0.17772,0.23991,-0.28973
7355,0.47423,-0.05635,-0.49881
7404,0.10097,-0.45874,-0.51935
7454,-0.35776,-0.44043,-0.34856
7507,-0.31253,-0.50230,-0.33240
7558,-0.16740,-0.12688,-0.43527
7603,-0.28979,-0.39520,-0.63391
7655,0.01080,-0.38504,-0.66756
7705,0.29506,-0.37312,-0.66365
7755,-0.63725,-0.11371,-0.50850
7805,-0.19147,0.37663,-0.21631
7854,-0.20009,-0.00508,-0.13728
7904,-0.00694,0.06564,0.08981
7956,0.01160,0.06332,-0.08817
8008,-0.05313,0.34959,-0.02901
8055,0.22673,0.16293,0.19682
8104,-0.14522,0.13724,0.28865
8157,-0.17650,0.15796,0.39101
8205,-0.12091,-0.35689,0.46036
8256,-0.14589,-0.29289,0.58452
8306,-0.09065,0.00745,0.60071
8356,0.46519,0.51471,0.60123
8405,0.45570,0.43929,0.56760
8455,0.26784,0.58949,0.53496
8506,0.18988,-0.10190,0.52213
8560,-0.07680,0.13483,0.33095
8607,0.19321,0.63724,0.17697
8654,0.29741,0.09515,0.10565
8705,0.35330,0.09769,0.10368
8757,0.03448,-0.27190,-0.05669
8806,-0.25600,-0.58130,-0.05388
8855,0.04477,-0.88332,-0.04768
8905,0.17073,-0.43579,-0.10698
8954,0.30562,-0.40070,-0.25401
9004,0.24930,0.72252,-0.25273
9055,0.47520,1.44286,-0.10074
9105,-0.11801,0.75583,-0.10034
9155,-0.59569,-0.21724,-0.23195
9204,-0.18250,-0.12344,-0.45497
9254,0.09703,-0.16873,-0.42966
9304,-0.18784,-0.41562,-0.25334
9355,-0.58609,-0.55339,-0.34167
9405,-0.32834,-0.65366,-0.49055
9455,0.33232,-0.35732,-0.65344
9504,0.53520,0.35617,-0.47859
9554,-0.23123,1.87439,0.06714
9608,-0.00792,0.40646,-0.06686
9654,-0.31686,0.09538,0.13470
9704,-0.43793,-0.76289,0.04924
9756,0.16623,-0.72340,-0.20892
9804,-0.18315,-0.55659,-0.10597
9855,-0.28613,-0.27747,0.17380
9904,0.02119,0.10710,-0.02045
9956,-0.15524,0.16801,0.04309
10004,-0.06447,0.03455,0.33261
10054,0.13782,0.30846,0.34059
10105,0.20731,0.29221,0.23050
10156,-0.00839,0.31201,0.31018
10204,-0.25250,-0.19287,0.37085
10254,-0.04257,-0.06435,0.29637
10305,0.14174,-0.36969,0.16528
10354,-0.05075,0.07841,0.08365
10404,0.00986,-0.24812,0.08226
10455,-0.05461,-0.02217,-0.03397
10505,-0.12823,0.05913,-0.22948
10556,0.16994,0.47296,-0.29770
10614,0.11101,0.44139,-0.41002
10654,-0.04170,0.27480,-0.41887
10704,-0.21162,-0.15109,-0.37250
10754,-0.22978,-0.04564,-0.46219
10804,0.00078,-0.42815,-0.41382
10855,-0.29514,-0.28604,-0.37885
10905,-0.28249,-0.17110,-0.39157
10955,0.01929,0.13783,-0.29099
11007,-0.05667,0.23875,-0.14127
11056,-0.22113,0.16165,-0.01634
11105,-0.07454,0.28424,0.08176
11155,0.08667,0.05310,0.31349
11205,-0.13542,-0.10651,0.57793
11256,-0.09331,-0.57533,0.68155
11304,0.10039,-0.49002,0.52313
11356,0.13284,0.41917,0.29080
11405,0.39645,0.94162,0.29460
11455,0.29579,0.34877,0.18353
11505,-0.11879,-0.11209,0.04500
11555,-0.05981,-0.43300,-0.01869
11613,0.04759,-0.87469,-0.16754
11654,0.03984,-0.82333,-0.32512
11704,0.11929,-0.43568,-0.47116
11754,-0.03181,0.64886,-0.40559
11805,-0.16078,0.24893,-0.44032
11854,-0.47081,0.56021,-0.32379
11904,-0.40715,0.42212,-0.29646
11955,0.17944,0.24786,-0.07468
12005,0.06221,-0.51279,-0.07895
12054,-0.28163,-0.30095,0.02396
12104,-0.32111,-0.21858,0.13387
12156,-0.07201,-0.24039,0.09276
12206,0.13695,0.36000,-0.05003
12257,0.22673,1.30275,-0.02896
12304,0.04523,0.55829,0.01320
12355,-0.29442,0.16408,0.12088
12405,-0.10075,-0.54158,-0.11792
12455,0.10226,-0.52797,-0.37567
12505,-0.04230,-0.10312,-0.31819
12554,0.01791,-0.48442,-0.08604
12604,-0.20003,-0.21979,-0.09024
12663,-0.19339,0.35478,-0.10686
12705,0.41739,0.57455,0.11105
12754,-0.01758,-0.05225,0.21629
12804,-0.46533,-0.06978,0.15356
12854,0.02631,-0.01781,0.23102
12904,0.38501,-0.18858,0.27084
12955,0.02940,-0.43668,0.28131
13006,-0.16924,-0.40681,0.36958
13054,-0.02917,0.27608,0.42154
13104,0.10204,-0.28575,0.20210
13155,-0.10971,0.18826,0.12358
13204,-0.12779,0.10045,0.02895
13254,0.10953,-0.02124,0.11482
13306,-0.13210,0.04164,0.04311
13354,0.00752,0.05818,-0.09317
13404,0.10797,0.32553,-0.07196
13455,-0.12880,0.04022,-0.12924
13508,0.02689,-0.07289,-0.19649
13553,-0.03134,-0.15994,-0.21123
13604,-0.08420,-0.46318,-0.18265
13657,-0.16039,-0.66376,-0.19431
13704,-0.12747,-0.45094,-0.23532
13755,0.40515,0.17432,-0.18997
13804,0.31238,0.74484,-0.08855
13856,-0.10983,0.55116,0.13193
13905,-0.25407,0.11615,0.11673
13954,0.37338,-0.23573,0.07268
14004,0.09076,-0.17102,0.08736
14055,-0.06125,-0.17682,0.35449
14105,0.07784,0.17696,0.68033
14154,0.18280,0.04771,0.64162
14205,0.07860,0.11502,0.45764
14255,-0.10550,0.13304,0.21906
14304,-0.01186,0.19786,-0.03233
14357,0.59657,0.22878,-0.10066
14404,0.26122,0.50340,-0.16623
14454,-0.10323,-0.11674,-0.21677
14504,-0.08308,-0.41631,-0.23560
14554,0.03030,-0.63651,-0.48869
14606,0.31227,-0.25044,-0.59496
14664,0.18640,0.58284,-0.16759
14704,-0.04863,0.58842,0.00513
14754,-0.42799,0.07253,0.02666
14805,-0.05806,-0.03627,0.09853
14854,0.21405,0.05971,0.05440
14904,0.21198,-0.15652,0.11980
14954,-0.15373,0.12691,0.38898
15005,-0.24164,-0.16231,0.50056
15055,-0.05272,-0.30647,0.31728
15104,-0.05081,-0.21147,0.14873
15155,0.18842,0.07932,0.09167
15205,0.32466,0.84003,0.15707
15254,0.17642,0.63066,0.31197
15304,-0.04248,0.20946,0.38670
15354,-0.04916,-0.50426,0.26456
15406,0.16702,-0.71780,0.24799
15455,0.01997,-0.88190,0.23688
15505,-0.10522,-0.79253,0.13641
15554,-0.04941,-0.35025,0.03450
15604,0.15329,-0.16975,0.09688
15658,0.14558,0.39999,0.05998
15706,-0.01553,0.70198,-0.18700
15754,0.27559,0.85179,-0.18230
15804,0.34105,0.12723,-0.19460
15855,-0.11545,-0.48112,-0.10538
15904,-0.33453,-0.75818,0.07146
15955,-0.23894,-0.82463,0.07321
16007,0.05299,-0.48096,0.04372
16055,0.68271,0.10927,0.18068
16105,0.54865,0.68985,0.17421
16154,-0.34392,0.77046,0.18916
16204,-0.08725,0.32607,0.27075
