time,azimuth
32,15
82,12
132,11
182,6
235,5
282,2
332,-2
382,-4
432,-4
486,-4
532,-4
582,-5
632,-4
682,-7
732,-4
786,-4
832,-3
881,-3
932,-3
982,-8
1032,-10
1082,-10
1132,-11
1183,-16
1233,-20
1282,-23
1333,-26
1385,-25
1432,-26
1483,-24
1533,-28
1585,-30
1633,-30
1683,-28
1733,-27
1787,-30
1833,-28
1882,-29
1932,-32
1982,-32
2032,-32
2082,-34
2133,-39
2182,-41
2233,-41
2282,-40
2333,-46
2383,-47
2434,-50
2483,-55
2532,-58
2583,-63
2633,-63
2684,-62
2732,-64
2788,-64
2833,-62
2882,-63
2932,-64
2983,-66
3032,-64
3082,-62
3133,-62
3184,-65
3234,-66
3282,-69
3334,-70
3383,-73
3433,-75
3482,-77
3533,-78
3583,-80
3633,-81
3683,-82
3733,-81
3782,-84
3836,-85
3882,-83
3933,-85
3983,-83
4032,-84
4084,-84
4132,-83
4186,-83
4233,-83
4282,-83
4332,-84
4382,-82
4434,-82
4482,-79
4533,-80
4582,-78
4633,-79
4683,-80
4732,-80
4783,-78
4840,-79
4882,-79
4932,-81
4982,-78
5033,-80
5082,-81
5133,-80
5183,-80
5232,-80
5285,-79
5333,-80
5383,-78
5432,-78
5484,-76
5533,-80
5582,-80
5633,-81
5684,-80
5733,-81
5783,-80
5844,-83
5883,-81
5932,-84
5982,-83
6032,-84
6082,-83
6133,-84
6182,-83
6232,-84
6282,-86
6332,-83
6382,-86
6432,-85
6482,-85
6532,-84
6584,-84
6636,-82
6682,-86
6733,-84
6782,-84
6837,-82
6887,-81
6932,-82
6984,-77
7033,-79
7083,-79
7132,-79
7184,-81
7232,-80
7283,-81
7333,-81
7385,-83
7433,-82
7483,-80
7533,-80
7584,-82
7633,-84
7684,-82
7733,-82
7784,-80
7837,-84
7882,-83
7933,-83
7982,-83
8032,-84
8083,-85
8132,-83
8183,-84
8232,-82
8283,-83
8334,-82
8384,-83
8434,-82
8483,-84
8533,-83
8586,-85
8634,-86
8684,-85
8734,-85
8785,-84
8837,-85
8882,-83
8932,-82
8983,-81
9033,-79
9083,-79
9133,-78
9182,-80
9234,-78
9282,-78
9331,-78
9382,-77
9434,-77
9483,-77
9533,-77
9582,-80
9634,-78
9685,-78
9734,-79
9782,-78
9852,-82
9884,-82
9932,-84
9982,-82
10032,-83
10083,-83
10132,-81
