time,lat,lng,accuracy,altitude,speed,satellites in view,satellites in use
786,12.84107710,77.66430330,54,0.00000,0.00000,0,0
1787,12.84162500,77.66473570,30,844.00000,0.00000,0,0
2788,12.84162500,77.66473570,30,844.00000,0.00000,0,0
3836,12.84162500,77.66473570,30,844.00000,0.00000,0,0
4840,12.84162500,77.66473570,30,844.00000,0.00000,0,0
5845,12.84162500,77.66473570,30,844.00000,0.00000,0,0
6837,12.84162500,77.66473570,30,844.00000,0.00000,0,0
7837,12.84162500,77.66473570,30,844.00000,0.00000,0,0
8837,12.84162500,77.66473570,30,844.00000,0.00000,0,0
9854,12.84162500,77.66473570,30,844.00000,0.00000,0,0
10889,12.84162500,77.66473570,30,844.00000,0.00000,0,0
11888,12.84169160,77.66477940,35,844.00000,0.00000,0,0
12937,12.84169160,77.66477940,35,844.00000,0.00000,0,0
13942,12.84169160,77.66477940,35,844.00000,0.00000,0,0
14935,12.84169160,77.66477940,35,844.00000,0.00000,0,0
15947,12.84169160,77.66477940,35,844.00000,0.00000,0,0
16991,12.84169160,77.66477940,35,844.00000,0.00000,0,0
17991,12.84169160,77.66477940,35,844.00000,0.00000,0,0
18996,12.84169160,77.66477940,35,844.00000,0.00000,0,0
20039,12.84169160,77.66477940,35,844.00000,0.00000,0,0
21034,12.84169160,77.66477940,35,844.00000,0.00000,0,0
22048,12.84258010,77.66488700,700,0.00000,0.00000,0,0
23085,12.84258010,77.66488700,700,0.00000,0.00000,0,0
24092,12.84258010,77.66488700,700,0.00000,0.00000,0,0
25087,12.84258010,77.66488700,700,0.00000,0.00000,0,0
26087,12.84258010,77.66488700,700,0.00000,0.00000,0,0
27137,12.84258010,77.66488700,700,0.00000,0.00000,0,0
28137,12.84258010,77.66488700,700,0.00000,0.00000,0,0
29145,12.84258010,77.66488700,700,0.00000,0.00000,0,0
30137,12.84258010,77.66488700,700,0.00000,0.00000,0,0
31150,12.84258010,77.66488700,700,0.00000,0.00000,0,0
32137,12.84269670,77.66389200,88,0.00000,0.00000,0,0
33143,12.84269670,77.66389200,88,0.00000,0.00000,0,0
34155,12.84269670,77.66389200,88,0.00000,0.00000,0,0
35186,12.84269670,77.66389200,88,0.00000,0.00000,0,0
36191,12.84269670,77.66389200,88,0.00000,0.00000,0,0
37188,12.84269670,77.66389200,88,0.00000,0.00000,0,0
38238,12.84269670,77.66389200,88,0.00000,0.00000,0,0
39291,12.84269670,77.66389200,88,0.00000,0.00000,0,0
