time,x,y,z
32,0.17233,0.31349,0.28404
82,0.16833,0.19371,0.30708
132,0.24568,0.10347,0.27028
182,0.21526,0.18990,0.23097
235,0.18979,0.13545,0.25792
282,0.10834,-0.13890,0.26332
332,0.04951,-0.01643,0.27513
382,0.13196,0.26744,0.28677
432,0.31467,-0.25735,0.21376
486,0.01230,-0.17360,0.24037
532,0.18362,0.21767,0.27974
582,0.42917,0.24493,0.22449
632,0.22997,-0.12909,0.18762
682,0.03305,-0.06944,0.24641
732,0.31900,0.09976,0.35013
786,0.37898,0.50255,0.32484
832,0.60074,0.27341,0.34654
881,0.37915,-0.13165,0.43726
932,-0.10840,-0.32211,0.56401
982,0.03397,-0.10310,0.59958
1032,0.38751,0.13496,0.53296
1082,0.63437,0.27866,0.61443
1132,0.65259,0.08957,0.63272
1183,0.44536,0.27193,0.64565
1233,0.41531,0.10457,0.68570
1282,0.20557,-0.17336,0.66580
1333,0.32976,0.00011,0.60475
1385,0.48946,0.09128,0.52351
1432,0.51659,0.01749,0.30106
1483,0.54720,-0.00667,0.25171
1533,0.16713,-0.22414,0.23354
1585,0.11655,-0.23914,0.23918
1633,0.33989,-0.16411,0.15845
1683,0.41368,0.01604,0.14996
1733,0.27850,-0.15274,0.22717
1787,0.09239,-0.03609,0.22034
1833,0.11931,0.20180,0.22498
1882,0.31599,0.18364,0.17784
1932,0.22269,0.14487,0.18706
1982,0.26872,0.04066,0.30103
2032,0.38062,-0.08504,0.35966
2082,0.28145,-0.13580,0.33359
2133,0.07668,0.02570,0.36296
2182,0.11339,0.05760,0.45493
2233,0.19948,0.10361,0.45085
2282,0.33372,0.01549,0.44604
2333,0.38480,0.09586,0.48441
2382,0.29425,-0.04099,0.55524
2434,0.22281,-0.09526,0.63777
2482,0.21655,-0.12845,0.64897
2532,0.28221,-0.16437,0.55508
2583,0.30957,-0.12460,0.40405
2633,0.31393,0.13101,0.31244
2683,0.37450,0.07860,0.22070
2732,0.25186,-0.09235,0.12183
2787,0.22125,-0.00803,0.07501
2833,0.25790,-0.09946,0.02603
2882,0.19687,-0.19122,-0.00761
2932,0.13269,-0.24353,-0.05069
2983,0.15538,0.01566,-0.03314
3032,0.18912,0.17183,0.01610
3082,0.26735,0.12918,0.06282
3133,0.31560,0.13258,0.13533
3183,0.14212,-0.06535,0.23215
3233,0.07558,0.04097,0.31717
3282,0.22156,-0.04137,0.36006
3333,0.28137,-0.08934,0.35539
3382,0.19168,-0.16331,0.36703
3433,0.13602,-0.04396,0.37891
3482,0.17667,-0.08833,0.35292
3533,0.18793,-0.08102,0.26540
3583,0.24849,-0.05127,0.21268
3633,0.31119,0.13657,0.14536
3683,0.29335,0.01691,0.11604
3733,0.20027,-0.05060,0.13893
3782,0.07019,-0.06964,0.09399
3836,0.15735,0.07082,0.03320
3882,0.25662,0.02017,-0.08252
3933,0.23172,0.07317,-0.10339
3982,0.18137,0.03255,-0.10635
4032,0.06569,-0.14839,-0.08876
4084,-0.01453,0.03044,-0.08508
4132,0.03340,-0.07887,-0.07704
4185,0.01103,0.13889,-0.14696
4233,0.16148,0.19545,-0.17096
4282,0.06454,-0.16992,-0.18568
4332,0.02365,0.19885,-0.17822
4382,0.11739,0.05109,-0.18242
4433,0.08299,-0.03081,-0.18098
4482,0.04012,0.08632,-0.15314
4533,0.02356,-0.07339,-0.14313
4582,-0.01167,-0.02516,-0.14488
4633,-0.05034,0.12050,-0.14311
4683,-0.06775,0.09987,-0.13622
4732,-0.04195,0.17572,-0.07086
4783,-0.13477,-0.06604,-0.06310
4840,-0.06914,-0.06697,-0.04333
4881,0.06084,0.10289,-0.01422
4931,-0.03265,-0.00699,0.02480
4982,-0.04123,-0.01515,0.06099
5032,-0.06459,-0.10521,0.05380
5082,-0.09444,0.05168,0.02788
5133,-0.06142,-0.01332,-0.01163
5183,-0.06267,-0.18091,-0.01064
5232,-0.07831,0.10919,0.01982
5285,-0.02339,-0.11299,0.00914
5333,-0.05016,-0.01923,0.05444
5382,-0.07147,0.02213,0.10428
5432,-0.02980,-0.02397,0.10977
5484,0.07819,-0.06120,0.03685
5532,-0.00009,0.22246,0.04962
5582,0.02092,-0.07664,0.14944
5632,-0.05989,-0.03688,0.21678
5683,0.01964,0.07799,0.23009
5733,0.12213,-0.15880,0.11482
5782,0.06912,0.01398,0.13200
5844,0.03992,0.17393,0.18648
5883,0.01517,-0.08835,0.12646
5932,0.01160,0.06255,0.01656
