time,azimuth
50,-159
100,-160
149,-160
200,-156
250,-162
299,-161
353,-159
400,-159
449,-161
499,-160
549,-165
599,-158
650,-169
699,-157
749,-167
799,-156
849,-159
899,-162
949,-161
999,-162
1048,-161
1099,-162
1149,-165
1199,-165
1248,-166
1300,-167
1349,-157
1404,-157
1450,-156
1499,-159
1550,-159
1599,-160
1649,-159
1699,-160
1749,-159
1799,-159
1849,-159
1899,-160
1949,-165
1999,-159
2048,-160
2099,-164
2149,-157
2199,-162
2249,-163
2299,-157
2349,-164
2403,-156
2450,-166
2499,-160
2549,-163
2599,-158
2649,-160
2699,-162
2749,-162
2799,-155
2849,-164
2898,-157
2949,-159
2998,-159
3048,-157
3099,-156
3149,-166
3199,-156
3249,-167
3299,-155
3349,-168
3404,-158
3449,-173
3500,-162
3549,-169
3599,-162
3649,-153
3699,-154
3749,-156
3799,-163
3849,-155
3899,-150
3949,-149
3999,-155
4049,-161
4099,-159
4149,-153
4199,-158
4249,-163
4299,-155
4349,-157
4403,-151
4454,-166
4499,-161
4550,-164
4599,-161
4649,-164
4699,-161
4749,-158
4799,-157
4849,-156
4899,-158
4949,-161
4999,-159
5049,-160
5101,-157
5149,-160
5199,-163
5249,-158
5299,-162
5350,-161
5399,-160
5455,-161
5501,-162
5549,-158
5600,-163
5649,-163
5699,-159
5750,-159
5801,-161
5849,-163
5899,-163
5951,-164
6000,-161
6051,-163
6099,-165
6149,-162
6202,-166
6251,-157
6300,-161
6350,-162
6399,-159
6449,-158
6508,-156
6550,-154
6599,-160
6650,-154
6700,-155
6750,-157
6801,-157
6850,-156
6900,-157
6949,-157
7000,-157
7050,-156
7100,-156
7150,-161
7200,-160
7249,-160
7299,-163
7350,-160
7400,-161
7450,-161
7504,-162
7549,-159
7599,-158
7649,-159
7701,-159
7749,-163
7800,-160
7850,-162
7902,-171
7951,-161
8000,-160
8049,-179
8100,-167
8150,-159
8200,-161
8249,-153
8300,-156
8350,-158
8402,-159
8450,-169
8505,24
8549,29
8599,-172
8650,-164
8699,-164
8750,-162
8799,-167
8851,-166
8900,-167
8949,-163
8999,-161
9051,-160
9100,-162
9150,-161
9200,-159
9250,-163
9299,-159
9350,-153
9399,-156
9449,-155
9504,-156
9555,-159
9599,-156
9649,-156
9701,-156
9749,-156
9799,-159
9849,-159
9899,-157
9949,-161
9999,-164
10049,-158
10099,-161
10149,-156
10199,-155
10249,-155
10299,-157
10350,-156
10400,-154
10451,-155
10499,-151
10555,-161
10600,-159
10649,-153
10699,-158
10749,-154
10801,-156
10849,-160
10899,-154
10949,-159
11000,-156
11050,-152
11100,-161
11151,-156
11200,-156
11249,-157
11300,-161
11351,-158
11400,-155
11450,-158
11501,-157
11549,-164
11601,-160
11649,-156
11699,-167
11749,-161
11800,-157
11850,-161
11899,-159
11950,-162
11999,-160
12051,-164
12100,-159
12150,-159
12201,-160
12250,-162
12299,-163
12350,-159
12401,-159
12449,-159
12501,-158
12549,-160
12607,-159
12649,-159
12699,-161
12750,-160
12800,-161
12849,-162
12900,-159
12950,-162
13000,-161
13049,-160
13099,-160
13150,-160
13201,-159
13249,-159
13300,-159
13350,-159
13399,-161
13451,-157
13500,-157
13550,-159
13602,-158
13649,-159
13699,-159
13749,-161
13800,-159
13849,-158
13899,-157
13950,-161
14000,-160
14049,-160
14100,-157
14149,-163
14200,-158
14249,-155
14299,-160
14350,-158
14400,-157
14449,-160
