time,lat,lng,accuracy,altitude,speed,satellites in view,satellites in use
354,12.84952110,77.66276970,43,0.00000,0.00000,0,0
1404,12.84952110,77.66276970,43,0.00000,0.00000,0,0
2403,12.84952110,77.66276970,43,0.00000,0.00000,0,0
3404,12.84952110,77.66276970,43,0.00000,0.00000,0,0
4403,12.84952110,77.66276970,43,0.00000,0.00000,0,0
5455,12.84952110,77.66276970,43,0.00000,0.00000,0,0
6509,12.84938630,77.66264280,32,0.00000,0.00000,0,0
7504,12.84938630,77.66264280,32,0.00000,0.00000,0,0
8506,12.84938630,77.66264280,32,0.00000,0.00000,0,0
9504,12.84938630,77.66264280,32,0.00000,0.00000,0,0
10555,12.84938630,77.66264280,32,0.00000,0.00000,0,0
11601,12.84938630,77.66264280,32,0.00000,0.00000,0,0
12608,12.84938630,77.66264280,32,0.00000,0.00000,0,0
13602,12.84938630,77.66264280,32,0.00000,0.00000,0,0
14609,12.84938630,77.66264280,32,0.00000,0.00000,0,0
15607,12.84938630,77.66264280,32,0.00000,0.00000,0,0
16652,12.84924930,77.66262840,30,0.00000,0.00000,0,0
17651,12.84924930,77.66262840,30,0.00000,0.00000,0,0
18652,12.84924930,77.66262840,30,0.00000,0.00000,0,0
19656,12.84924930,77.66262840,30,0.00000,0.00000,0,0
21058,12.84924930,77.66262840,30,0.00000,0.00000,0,0
21706,12.84924930,77.66262840,30,0.00000,0.00000,0,0
22705,12.84924930,77.66262840,30,0.00000,0.00000,0,0
23706,12.84924930,77.66262840,30,0.00000,0.00000,0,0
24757,12.84924930,77.66262840,30,0.00000,0.00000,0,0
25753,12.84924930,77.66262840,30,0.00000,0.00000,0,0
26754,12.84879990,77.66256160,31,0.00000,0.00000,0,0
27754,12.84879990,77.66256160,31,0.00000,0.00000,0,0
28755,12.84879990,77.66256160,31,0.00000,0.00000,0,0
29757,12.84879990,77.66256160,31,0.00000,0.00000,0,0
30757,12.84879990,77.66256160,31,0.00000,0.00000,0,0
31774,12.84862950,77.66252130,30,0.00000,0.00000,0,0
32768,12.84862950,77.66252130,30,0.00000,0.00000,0,0
33826,12.84862950,77.66252130,30,0.00000,0.00000,0,0
34859,12.84862950,77.66252130,30,0.00000,0.00000,0,0
35851,12.84778880,77.66227340,23,0.00000,0.00000,0,0
36852,12.84778880,77.66227340,23,0.00000,0.00000,0,0
38184,12.84778880,77.66227340,23,0.00000,0.00000,0,0
38852,12.84778880,77.66227340,23,0.00000,0.00000,0,0
39852,12.84778880,77.66227340,23,0.00000,0.00000,0,0
40858,12.84778880,77.66227340,23,0.00000,0.00000,0,0
41854,12.84778880,77.66227340,23,0.00000,0.00000,0,0
42904,12.84778880,77.66227340,23,0.00000,0.00000,0,0
43963,12.84778880,77.66227340,23,0.00000,0.00000,0,0
44952,12.84778880,77.66227340,23,0.00000,0.00000,0,0
45954,12.84697300,77.66175040,33,0.00000,0.00000,0,0
47008,12.84697300,77.66175040,33,0.00000,0.00000,0,0
48008,12.84697300,77.66175040,33,0.00000,0.00000,0,0
49004,12.84697300,77.66175040,33,0.00000,0.00000,0,0
50011,12.84697300,77.66175040,33,0.00000,0.00000,0,0
51004,12.84697300,77.66175040,33,0.00000,0.00000,0,0
52052,12.84697300,77.66175040,33,0.00000,0.00000,0,0
53052,12.84697300,77.66175040,33,0.00000,0.00000,0,0
54053,12.84697300,77.66175040,33,0.00000,0.00000,0,0
55062,12.84697300,77.66175040,33,0.00000,0.00000,0,0
