time,x,y,z
49,-0.16989,0.65355,-0.00751
99,0.03290,-0.20192,-0.00417
149,-0.05034,0.44016,0.11539
200,-0.07181,0.13675,0.10896
250,0.03687,-0.03792,0.07018
299,0.03841,0.05743,0.04324
353,-0.03563,0.00745,0.05342
400,0.00471,-0.23462,0.05606
449,-0.11998,0.44092,0.06219
499,0.00766,0.36502,-0.02951
549,0.00041,0.76486,0.00755
599,-0.00981,0.11176,0.17024
650,-0.05251,0.03763,0.02191
698,0.14581,0.09445,0.02129
749,0.32640,-0.72729,-0.12015
799,-0.19820,0.44475,0.09679
849,-0.02150,-0.35548,-0.01682
899,0.06740,-0.15987,-0.01868
948,0.11803,0.12758,0.03209
998,0.10004,-0.11861,0.05971
1048,0.04239,0.06149,0.07809
1098,0.03532,-0.06514,0.09882
1149,0.00128,-0.24487,0.04669
1199,-0.15961,0.29657,-0.00037
1248,-0.08263,-0.17676,-0.18079
1299,0.29483,0.14499,-0.19762
1349,0.22823,-0.06053,-0.11765
1404,-0.04793,0.01987,-0.04634
1450,-0.16200,0.20947,-0.04280
1499,-0.09293,-0.03746,-0.14676
1550,-0.00841,-0.11522,-0.06297
1599,-0.11330,0.17453,0.01164
1649,-0.03729,-0.01752,0.03503
1699,-0.01204,-0.00163,0.05063
1748,-0.07217,0.08199,0.10995
1799,0.01735,0.06079,0.08035
1849,0.07521,0.01344,0.01851
1899,-0.00430,-0.31075,0.05124
1949,-0.11543,0.11510,0.14510
1999,-0.01443,0.02242,0.09743
2048,0.05560,-0.15044,0.02032
2098,0.09145,-0.01917,0.01204
2149,-0.02512,0.21820,0.02026
2199,0.05371,-0.33357,0.06456
2249,-0.07141,0.38350,0.10139
2299,0.11282,-0.13680,0.03758
2349,0.09999,0.27101,0.02631
2403,0.05061,-0.05981,-0.08867
2450,-0.01071,-0.18661,-0.09813
2499,-0.04541,0.10619,-0.04565
2549,0.02328,0.12349,0.03113
2599,-0.01862,0.13551,-0.04675
2649,0.04791,-0.23956,-0.07260
2699,-0.00140,0.00371,0.00601
2749,-0.01521,0.19240,0.05045
2799,0.06639,0.22157,-0.04059
2849,0.14705,-0.14854,-0.01353
2898,-0.04222,0.29767,-0.01051
2949,-0.02707,-0.22568,0.03308
2998,0.01340,0.23698,-0.02888
3048,0.02322,-0.00932,-0.10335
3099,-0.04529,-0.16382,-0.05646
3149,-0.08835,-0.08115,0.12250
3199,-0.07443,0.67345,0.12740
3249,0.26941,-0.74464,0.19740
3299,-0.16881,0.95692,0.16817
3349,0.09148,-0.29567,0.15031
3404,0.12543,0.28665,0.04669
3449,0.16508,-0.58109,0.06070
3500,-0.17378,-0.02502,-0.03754
3549,0.05597,-0.46130,-0.06889
3599,0.05806,0.34120,-0.13416
3649,0.12929,0.49463,-0.35046
3699,0.28197,-0.78337,-0.41550
3749,-0.26382,0.41698,-0.24217
3799,-0.12282,-0.10632,-0.00812
3849,-0.05809,1.16222,-0.01741
