time,azimuth
25,121
70,120
120,119
174,120
220,117
271,117
321,118
371,116
420,116
470,112
520,112
573,115
620,115
671,113
720,115
772,118
820,120
871,118
920,117
971,117
1020,117
1070,117
1120,115
1171,114
1223,114
1270,115
1320,114
1370,113
1420,115
1470,109
1520,112
1571,113
1619,107
1671,111
1721,110
1773,109
1821,108
1870,106
1920,109
1970,107
2022,108
2070,110
2121,106
2172,109
2224,111
2271,108
2320,110
2372,110
2422,111
2471,111
2520,111
2572,108
2620,113
2674,110
2720,109
2771,110
2822,110
2872,108
2920,110
2973,110
3021,108
3072,111
3122,110
3172,113
3245,111
3270,112
3320,114
3371,111
3420,110
3470,110
3523,111
3573,110
3621,111
3670,112
3721,112
3771,111
3821,111
3871,112
3920,110
3972,109
4021,110
4071,108
4120,109
4170,108
4220,110
4282,110
4320,111
4371,114
4420,108
4472,113
4522,113
4570,112
4620,115
4672,114
4721,112
4772,113
4822,111
4870,113
4921,111
4971,110
5022,111
5073,111
5121,110
5170,113
5220,111
5284,111
5320,113
5371,111
5420,112
5471,111
5521,113
5572,112
5621,112
5671,112
5721,115
5772,113
5822,113
5871,111
5921,114
5973,112
6020,109
6071,113
6121,115
6172,115
6221,109
6272,111
6327,112
6371,111
6419,111
6471,109
6521,111
6572,109
6620,111
6672,111
6721,109
6772,114
6820,110
6872,109
6921,111
6970,110
7020,109
7072,110
7121,112
7172,112
7221,110
7271,113
7328,111
7370,110
7420,110
7471,109
7522,111
7572,109
7621,108
7671,107
7720,111
7772,110
7821,105
7870,110
7922,114
7973,109
8022,108
8070,114
8120,111
8172,113
8220,109
8272,111
8320,114
8383,107
8420,111
8470,117
8521,110
8572,110
8620,111
8678,111
8721,112
8771,114
8821,109
8871,114
8921,109
8971,112
9022,115
9072,110
9120,111
9171,110
9221,112
9272,112
9320,110
9370,108
9425,114
9470,111
9520,108
9573,114
9620,113
9670,105
9720,112
9773,110
9820,110
9873,107
9920,108
9972,111
10021,110
10071,112
10120,113
10170,111
10221,110
10270,111
10323,110
10371,109
10427,111
10471,108
10520,110
10572,111
10620,109
10670,111
10721,108
10771,110
10820,111
10870,110
10921,110
10970,111
11020,111
11070,113
11120,111
11170,111
11220,111
11272,109
11325,113
11370,111
11423,110
11470,113
11520,113
11571,111
11620,112
11672,112
11721,109
11771,112
11820,111
11871,110
11920,111
11971,111
12021,112
12070,111
12120,110
12174,112
12221,110
12271,110
12320,109
12371,111
12425,111
12470,114
12520,113
12570,112
12620,108
12673,110
12721,111
12772,113
12822,113
12871,107
12920,111
12970,109
13021,114
13075,110
13121,108
13172,108
13220,113
13271,109
13320,110
13373,107
13431,111
13473,107
13520,108
13571,103
13621,102
13670,101
13720,102
13772,99
13822,99
13872,111
13921,109
13972,115
14020,115
14073,114
14122,115
