time,lat,lng,accuracy,altitude,speed,satellites in view,satellites in use
175,12.84188510,77.66492420,19,0.00000,0.00000,0,0
1224,12.84168030,77.66520390,70,0.00000,0.00000,0,0
2225,12.84168030,77.66520390,70,0.00000,0.00000,0,0
3245,12.84168030,77.66520390,70,0.00000,0.00000,0,0
4282,12.84168030,77.66520390,70,0.00000,0.00000,0,0
5284,12.84168030,77.66520390,70,0.00000,0.00000,0,0
6327,12.84168030,77.66520390,70,0.00000,0.00000,0,0
7328,12.84168030,77.66520390,70,0.00000,0.00000,0,0
8384,12.84168030,77.66520390,70,0.00000,0.00000,0,0
9426,12.84168030,77.66520390,70,0.00000,0.00000,0,0
10428,12.84168030,77.66520390,70,0.00000,0.00000,0,0
11423,12.84139680,77.66569860,71,0.00000,0.00000,0,0
12425,12.84139680,77.66569860,71,0.00000,0.00000,0,0
13431,12.84139680,77.66569860,71,0.00000,0.00000,0,0
14478,12.84139680,77.66569860,71,0.00000,0.00000,0,0
15485,12.84139680,77.66569860,71,0.00000,0.00000,0,0
16492,12.84139680,77.66569860,71,0.00000,0.00000,0,0
17479,12.84139680,77.66569860,71,0.00000,0.00000,0,0
18482,12.84139680,77.66569860,71,0.00000,0.00000,0,0
19479,12.84139680,77.66569860,71,0.00000,0.00000,0,0
20489,12.84139680,77.66569860,71,0.00000,0.00000,0,0
21479,12.85029220,77.65535710,42,0.00000,0.00000,0,0
22475,12.85029220,77.65535710,42,0.00000,0.00000,0,0
23481,12.85029220,77.65535710,42,0.00000,0.00000,0,0
24524,12.85029220,77.65535710,42,0.00000,0.00000,0,0
25524,12.85029220,77.65535710,42,0.00000,0.00000,0,0
26526,12.85029220,77.65535710,42,0.00000,0.00000,0,0
27525,12.85029220,77.65535710,42,0.00000,0.00000,0,0
28543,12.85029220,77.65535710,42,0.00000,0.00000,0,0
29527,12.85029220,77.65535710,42,0.00000,0.00000,0,0
30527,12.85029220,77.65535710,42,0.00000,0.00000,0,0
31546,12.85029220,77.65535710,42,0.00000,0.00000,0,0
32525,12.85045260,77.65517070,50,0.00000,0.00000,0,0
33525,12.85045260,77.65517070,50,0.00000,0.00000,0,0
34523,12.85045260,77.65517070,50,0.00000,0.00000,0,0
35525,12.85045260,77.65517070,50,0.00000,0.00000,0,0
36523,12.84232770,77.66683300,43,0.00000,0.00000,0,0
37534,12.84232770,77.66683300,43,0.00000,0.00000,0,0
38526,12.84232770,77.66683300,43,0.00000,0.00000,0,0
39526,12.84232770,77.66683300,43,0.00000,0.00000,0,0
40525,12.84232770,77.66683300,43,0.00000,0.00000,0,0
41523,12.84232770,77.66683300,43,0.00000,0.00000,0,0
42575,12.84232770,77.66683300,43,0.00000,0.00000,0,0
43573,12.84232770,77.66683300,43,0.00000,0.00000,0,0
44573,12.84232770,77.66683300,43,0.00000,0.00000,0,0
45583,12.84232770,77.66683300,43,0.00000,0.00000,0,0
46574,12.84232770,77.66683300,43,0.00000,0.00000,0,0
47580,12.84159580,77.66788750,60,0.00000,0.00000,0,0
48582,12.84159580,77.66788750,60,0.00000,0.00000,0,0
49578,12.84159580,77.66788750,60,0.00000,0.00000,0,0
50600,12.84159580,77.66788750,60,0.00000,0.00000,0,0
51625,12.84139220,77.66844200,74,0.00000,0.00000,0,0
52624,12.84139220,77.66844200,74,0.00000,0.00000,0,0
53626,12.84139220,77.66844200,74,0.00000,0.00000,0,0
54636,12.84139220,77.66844200,74,0.00000,0.00000,0,0
55624,12.84139220,77.66844200,74,0.00000,0.00000,0,0
56640,12.84139220,77.66844200,74,0.00000,0.00000,0,0
57673,12.84139220,77.66844200,74,0.00000,0.00000,0,0
58675,12.84139220,77.66844200,74,0.00000,0.00000,0,0
59724,12.84139220,77.66844200,74,0.00000,0.00000,0,0
60724,12.84139220,77.66844200,74,0.00000,0.00000,0,0
61731,12.84173990,77.66907310,106,0.00000,0.00000,0,0
62780,12.84173990,77.66907310,106,0.00000,0.00000,0,0
63779,12.84173990,77.66907310,106,0.00000,0.00000,0,0
64781,12.84173990,77.66907310,106,0.00000,0.00000,0,0
65775,12.84173990,77.66907310,106,0.00000,0.00000,0,0
66784,12.84173990,77.66907310,106,0.00000,0.00000,0,0
67775,12.84173990,77.66907310,106,0.00000,0.00000,0,0
68842,12.84173990,77.66907310,106,0.00000,0.00000,0,0
69835,12.84173990,77.66907310,106,0.00000,0.00000,0,0
70829,12.84173990,77.66907310,106,0.00000,0.00000,0,0
71824,12.84236220,77.66979950,35,0.00000,0.00000,0,0
72828,12.84236220,77.66979950,35,0.00000,0.00000,0,0
73876,12.84236220,77.66979950,35,0.00000,0.00000,0,0
74928,12.84236220,77.66979950,35,0.00000,0.00000,0,0
75922,12.84236220,77.66979950,35,0.00000,0.00000,0,0
76930,12.84236220,77.66979950,35,0.00000,0.00000,0,0
77927,12.84236220,77.66979950,35,0.00000,0.00000,0,0
78981,12.84236220,77.66979950,35,0.00000,0.00000,0,0
79974,12.84236220,77.66979950,35,0.00000,0.00000,0,0
80974,12.84236220,77.66979950,35,0.00000,0.00000,0,0
82023,12.84256620,77.66987610,83,0.00000,0.00000,0,0
83025,12.84256620,77.66987610,83,0.00000,0.00000,0,0
84024,12.84256620,77.66987610,83,0.00000,0.00000,0,0
85028,12.84256620,77.66987610,83,0.00000,0.00000,0,0
86074,12.84256620,77.66987610,83,0.00000,0.00000,0,0
87074,12.84256620,77.66987610,83,0.00000,0.00000,0,0
88080,12.84256620,77.66987610,83,0.00000,0.00000,0,0
89077,12.84256620,77.66987610,83,0.00000,0.00000,0,0
90077,12.84256620,77.66987610,83,0.00000,0.00000,0,0
91077,12.84256620,77.66987610,83,0.00000,0.00000,0,0
92075,12.84353100,77.67131680,31,0.00000,0.00000,0,0
93126,12.84353100,77.67131680,31,0.00000,0.00000,0,0
94123,12.84353100,77.67131680,31,0.00000,0.00000,0,0
95128,12.84353100,77.67131680,31,0.00000,0.00000,0,0
96124,12.84353100,77.67131680,31,0.00000,0.00000,0,0
