time,x,y,z
25,-0.09918,0.28406,0.06267
70,-0.28703,0.19235,0.07440
120,-0.23436,0.13821,0.16254
174,-0.10135,0.24664,0.10324
220,-0.01582,0.10065,0.03630
271,-0.00339,-0.05492,0.01970
320,-0.15076,0.16083,0.08905
370,-0.11488,0.01216,0.15633
420,-0.20667,0.16440,0.13905
470,-0.09924,0.06433,0.13416
520,0.07529,-0.08133,0.16335
572,-0.17131,0.08203,0.12309
619,-0.23657,0.03938,0.13715
670,-0.07945,0.04829,0.04829
720,-0.00385,-0.04555,-0.06575
771,0.03247,-0.02736,-0.02676
819,-0.07588,0.03377,0.00616
870,-0.02870,0.07291,0.05292
920,-0.03253,-0.03429,0.07195
971,-0.08955,0.05197,0.12856
1020,-0.11525,0.00467,0.14676
1070,-0.03955,0.01271,0.10918
1120,-0.00818,0.06636,0.07678
1171,0.02197,0.00346,0.01448
1223,0.02553,-0.01845,0.01779
1270,-0.06960,-0.09268,0.01448
1320,-0.09395,0.09171,0.03358
1370,0.02269,-0.10387,0.01839
1420,-0.03380,0.18842,-0.00049
1470,0.01889,0.02744,0.02718
1520,-0.09818,-0.10478,0.07538
1570,-0.18665,0.38979,0.12698
1619,0.04097,0.00946,0.10110
1671,-0.00116,-0.04451,0.14151
1720,-0.20007,0.09901,0.18214
1773,-0.12276,-0.09514,0.13539
1820,0.01361,0.03358,0.06151
1870,0.06445,-0.03775,0.02214
1919,0.00143,0.07869,0.05180
1970,-0.03735,0.05792,0.03247
2021,0.02802,-0.13965,0.03419
2070,-0.01724,0.15067,-0.01810
2120,0.18114,-0.03752,-0.02687
2172,0.08162,-0.18849,0.00204
2224,-0.05414,0.24249,-0.00714
2270,0.05511,-0.03009,-0.04944
2320,0.00490,0.07460,-0.03023
2372,0.00128,0.08841,0.05052
2422,-0.02643,0.02658,0.07118
2470,-0.06638,-0.17096,-0.01080
2520,0.03580,0.11371,-0.03622
2572,0.20483,-0.02834,-0.00970
2620,-0.08833,-0.09674,0.05080
2673,-0.05682,0.03059,0.04422
2720,0.10713,0.00366,-0.02779
2771,0.06306,-0.02667,-0.03949
2822,-0.01430,0.07259,-0.01607
2872,0.01134,0.04604,-0.00774
2920,0.02133,0.00110,-0.01231
2973,-0.01027,0.02493,-0.05597
3021,0.13838,0.04956,-0.06850
3072,0.00784,-0.03212,-0.07802
3122,0.00922,-0.11449,-0.07513
3172,0.00526,0.06075,-0.07767
3244,0.04378,-0.01518,-0.05237
3270,-0.02460,-0.19125,-0.02861
3320,-0.09825,0.03560,0.03909
3370,-0.04033,0.10522,0.01901
3419,0.05093,0.03230,0.01341
3470,-0.04245,-0.12784,0.03159
3522,-0.06319,-0.05295,0.01117
3573,0.04924,-0.03828,-0.03363
3621,0.04283,-0.08371,-0.05011
3670,-0.03755,-0.05939,-0.00131
3721,-0.06670,-0.10095,0.03081
3770,-0.00731,-0.00948,0.02505
3820,0.03577,-0.08035,-0.01454
3871,0.02419,-0.02791,0.03215
3920,-0.02458,-0.01698,0.03864
3972,0.05457,-0.05112,0.04456
4021,0.02211,0.01878,0.03471
4071,0.03865,0.05602,0.03221
4120,0.03397,0.02840,-0.01485
4170,0.02098,-0.06084,-0.07265
4220,0.08777,0.12830,-0.12260
4281,0.05423,0.10785,-0.13579
4320,-0.01347,-0.07320,-0.11563
4371,-0.10948,0.19461,-0.06886
4420,0.08409,-0.15871,-0.12494
4472,-0.04880,-0.04207,-0.10464
4522,-0.06665,0.05064,-0.13257
4570,-0.01935,0.00972,-0.11002
4620,-0.10785,0.06458,-0.03012
4672,-0.15140,0.18990,0.02692
4721,0.00885,0.01164,0.02148
4772,-0.08247,-0.04842,0.06834
4821,0.00873,-0.03117,0.13164
4870,-0.04465,-0.03207,0.12527
4921,0.00023,0.02269,0.08961
4971,-0.00691,-0.06458,0.07529
5021,-0.03419,-0.00285,0.05948
5072,0.01465,0.08884,-0.01387
5121,0.06357,-0.08122,-0.04398
5170,-0.06316,-0.03284,-0.03384
5220,-0.03276,0.05365,0.02675
5284,-0.01180,-0.02164,0.03864
5320,-0.04692,0.08232,0.00113
5371,0.04556,-0.07545,-0.06056
5420,0.01474,0.00221,-0.03409
5471,-0.05531,0.00916,-0.03229
5521,-0.01305,0.02254,-0.02979
5571,-0.01770,-0.04903,-0.04488
5621,0.01183,-0.00757,-0.01898
5671,0.01581,0.04047,-0.02046
5720,-0.05165,0.06766,-0.02626
5772,-0.00232,-0.00253,-0.03903
5822,0.02846,0.11905,0.01390
5871,-0.04184,-0.07187,0.02922
5920,-0.07155,0.07927,-0.00906
5972,0.04764,0.10460,-0.09204
6020,0.24530,0.11044,-0.07451
6070,0.24129,-0.03079,0.07870
6121,-0.15517,-0.08624,0.08603
6172,-0.19035,-0.05553,0.03439
6221,-0.02504,0.08347,0.03001
6272,0.06371,0.05191,0.07561
6327,-0.19290,-0.06229,0.07767
6371,-0.14499,-0.18138,-0.00081
6419,-0.00841,0.06636,-0.01881
6471,0.03244,0.02670,-0.01312
6521,-0.04921,-0.00172,0.00729
6571,-0.02754,0.01057,0.00459
6620,0.00729,-0.13626,0.01112
6671,-0.04332,0.08333,0.02219
6721,-0.01700,0.00838,0.04701
6772,-0.03287,0.01753,0.01775
6820,-0.00603,0.09485,-0.01349
6872,0.04697,-0.06248,0.02606
6921,-0.07193,-0.01303,0.02461
6970,0.02397,0.13707,-0.01859
7020,0.05638,-0.03926,-0.03111
7072,-0.02679,-0.18051,0.00009
7120,-0.03355,-0.05656,-0.01782
7171,-0.00522,0.04443,-0.03941
7221,0.03690,-0.17279,0.01398
7271,-0.07512,-0.13406,0.06836
7328,-0.03424,0.01132,0.02141
7370,0.04401,0.14088,-0.02060
7420,0.06427,0.07809,0.04218
7471,-0.08031,0.00206,0.16125
7521,-0.08606,0.04953,0.14856
7572,0.05429,0.15721,0.05823
7620,0.07430,0.04887,0.00639
7670,-0.02318,-0.10353,-0.01042
7719,0.02466,0.00560,-0.02045
7772,0.03523,0.17374,-0.09827
7821,0.11745,-0.05426,-0.13187
7870,-0.00342,-0.23889,-0.05261
7921,-0.12691,0.13603,-0.04855
7972,0.16315,0.23067,-0.12418
8021,0.15117,-0.12839,-0.12366
8070,-0.06979,0.19464,-0.00238
8120,-0.01935,0.15918,0.06090
8171,-0.07813,-0.09583,0.02316
8220,0.06795,0.03186,-0.01486
8272,0.12610,-0.35895,-0.02950
8320,-0.08206,0.22816,0.00748
8383,0.19077,0.15543,-0.02925
8420,0.06560,-0.32719,0.05528
8470,-0.22919,0.33844,0.08606
8520,0.01924,0.02620,-0.04926
8571,0.15707,0.12897,-0.09021
8620,0.01874,0.03368,-0.05838
8675,-0.05928,0.06754,0.05537
8721,-0.14798,-0.27087,0.09514
8771,-0.20039,0.11272,0.08846
8821,0.14423,-0.01884,-0.02731
8871,-0.02170,-0.09474,-0.06264
8921,0.05875,-0.33855,-0.00089
8971,-0.16467,-0.19684,0.09419
9022,-0.14613,0.17175,0.11696
9072,0.03857,0.27899,0.03476
9120,0.11569,0.10223,0.00093
9170,-0.08974,-0.09560,0.04005
9220,-0.10374,0.01003,0.07579
9271,-0.04060,-0.07547,0.01610
9320,0.07755,0.08774,0.00485
9370,0.10994,-0.44394,0.00346
9425,-0.09959,-0.11128,0.14531
9470,-0.20140,0.04303,0.08148
9520,0.07413,-0.22664,0.04517
9572,-0.08055,-0.22313,0.06090
9619,-0.18454,0.59612,0.02611
9670,0.44919,0.01962,-0.04706
9720,-0.05186,-0.00916,0.00558
9772,-0.16475,-0.05341,0.07887
9820,-0.04462,0.30312,0.06198
9872,0.13136,-0.10481,-0.07439
9920,0.17081,-0.25899,-0.09106
9972,-0.09630,-0.24786,-0.04132
10021,-0.08176,0.01414,0.05569
10071,0.02118,-0.09898,-0.02324
10120,-0.01566,0.23378,-0.05028
10170,0.02455,0.18513,-0.05447
10220,0.04906,0.17493,-0.03467
10270,-0.04002,-0.00981,-0.03148
10322,-0.00340,0.08461,-0.02116
10371,0.06070,0.02498,-0.04672
10427,0.00897,0.16518,-0.04248
10470,0.00984,-0.00972,-0.02991
10520,-0.05537,-0.07719,0.06137
10572,-0.05435,0.12889,0.03934
10620,0.07127,0.02287,-0.05592
10670,0.01376,0.04007,-0.05180
10721,0.04266,0.03522,0.00624
10771,0.00244,-0.01547,0.02109
10819,-0.05328,-0.00552,0.00090
10870,0.03792,-0.01486,-0.05110
10920,0.01973,0.02501,-0.06789
10970,-0.02814,-0.07808,-0.02235
11020,-0.01744,-0.08574,0.00310
11069,-0.08015,-0.07259,0.00700
11119,0.00125,0.07104,-0.04033
