time,azimuth
28,165
77,169
128,169
178,166
228,165
280,162
327,161
378,163
427,164
477,166
528,168
577,167
628,170
683,171
727,170
777,169
828,165
879,166
927,165
977,164
1027,164
1078,164
1127,164
1179,164
1228,163
1278,165
1328,163
1378,163
1428,163
1477,163
1528,165
1578,166
1627,167
1694,168
1728,167
1777,167
1827,168
1877,169
1928,169
1979,170
2027,169
2080,171
2127,170
2178,170
2227,169
2281,169
2328,168
2378,168
2427,169
2479,169
2528,172
2577,175
2628,175
2683,179
2730,178
2777,177
2829,179
2879,180
2927,177
2977,177
3027,175
3077,177
3127,178
3178,178
3228,178
3277,176
3329,177
3377,178
3427,176
3479,177
3530,178
3578,178
3629,177
3688,176
3727,176
3777,173
3827,172
3879,173
3928,173
3977,173
4028,174
4077,174
4130,174
4177,177
4228,175
4279,176
4328,176
4377,175
4428,177
4477,178
4529,177
4577,177
4627,177
4678,176
4733,175
4777,173
4827,174
4878,175
4927,175
4979,174
5027,177
5077,175
5127,175
5179,177
5228,177
5278,176
5328,175
5378,175
5429,176
5478,176
5529,176
5579,175
5627,175
5678,174
5728,172
5781,169
5827,168
5877,168
5928,168
5979,167
6027,170
6077,169
6128,167
6178,169
6228,170
6278,169
6330,168
6377,168
6428,170
6478,172
6528,170
6579,169
6627,170
6679,168
6729,167
6792,168
6827,168
6877,168
6927,172
6979,171
7029,171
7078,171
7127,172
7178,170
7229,170
7277,172
7329,172
7377,171
7428,172
7478,173
7529,172
7577,170
7627,170
7676,169
7729,168
7781,168
7827,168
7878,169
7927,167
7977,165
8028,168
8078,166
8128,165
8178,168
8228,168
8278,169
8328,169
8379,170
8427,168
8479,169
8528,169
8577,167
8628,165
8678,164
8728,164
8782,166
8827,164
8877,163
8927,165
8977,164
9027,167
9078,166
9127,163
9177,162
9229,168
9276,167
9326,164
9376,166
9428,169
9477,166
9527,166
9579,167
9629,166
9678,166
9728,168
9785,170
9827,173
9877,173
9928,175
9978,175
10028,174
10082,171
10128,171
10179,170
10227,172
10277,172
10327,177
10377,177
10427,176
10477,176
10527,176
10577,174
10627,173
10677,175
10727,173
10787,171
10827,173
10877,174
10927,172
10978,171
11027,171
11076,168
11127,167
11178,165
11227,163
11278,169
11328,169
11378,172
11428,174
11479,174
11528,173
11577,172
11628,173
11679,172
11728,172
11787,172
11828,170
11877,170
11927,169
11977,168
12027,168
12078,168
12127,168
12178,169
12228,169
12278,171
12327,172
12378,172
12427,174
12477,174
12527,173
12577,172
12629,173
12677,172
12727,170
12780,175
12827,175
12878,175
12928,175
12977,175
13027,173
13077,172
13129,172
13177,174
13227,173
13277,174
13327,173
13376,172
13428,171
13483,170
13528,171
13577,170
13630,168
13681,168
13727,170
13785,171
13827,171
13877,174
13928,173
13978,171
14029,171
14077,169
14127,167
14178,166
14228,168
14277,171
14328,174
14378,171
14429,170
14478,171
14528,171
14578,168
14627,168
14679,168
14728,166
14783,168
14830,170
14877,167
14927,167
14977,169
15027,166
15078,167
15127,169
15178,167
15228,168
15277,172
15327,169
15378,169
15427,169
15478,169
15527,166
15578,165
15628,165
15678,167
15727,165
15801,161
15827,163
15877,164
15927,161
15978,163
16027,164
16077,163
16127,163
16177,163
16227,165
16277,166
16327,167
16377,167
16427,168
16477,170
16527,172
16578,169
16628,168
16678,172
16728,170
16792,166
16828,169
16877,167
16928,167
16979,167
17028,166
17077,166
17127,166
17177,167
17228,170
17278,169
17328,170
17378,172
17428,174
17478,173
17528,172
17577,174
17627,174
17677,175
17727,174
17789,174
17828,173
17877,175
17926,173
17977,173
18027,174
18077,175
18127,175
18178,174
18229,174
18278,175
18327,173
18377,173
18429,171
18477,171
18528,171
18578,177
18627,171
18679,172
18727,176
18787,176
18829,174
18877,172
18927,173
18977,175
19028,173
19077,176
19128,176
19177,173
19229,173
19278,175
19328,171
19380,170
19428,170
19478,170
19528,169
19578,172
19628,173
19679,172
19728,170
19778,172
19836,168
19877,168
19927,168
19977,164
20028,132
20078,-40
20128,174
20178,161
20228,140
20278,-178
20328,165
20379,164
20429,168
20480,175
20527,174
20578,177
20628,177
20678,176
20729,178
20777,178
20835,177
20878,176
20926,179
20977,176
21027,174
21078,172
21127,171
21177,171
21228,172
21277,172
21327,173
21379,174
21428,174
21478,171
21528,175
21578,177
21627,178
21679,176
21728,177
21778,177
21830,176
21877,174
21928,173
21978,173
22027,170
22077,171
22127,170
22177,170
22227,169
22279,167
22327,167
22377,165
22427,166
22478,167
22529,169
22578,167
22628,166
22678,168
22729,170
22777,171
22837,167
22877,167
22927,171
22977,170
23027,167
23079,163
23127,167
23177,164
23227,166
23278,165
23330,165
23377,165
23427,166
23478,166
23527,167
23578,168
23628,169
23678,169
23727,170
23778,170
23827,169
23882,171
23927,170
23977,172
24027,172
24078,173
24127,175
24176,173
24227,173
24281,175
24328,173
24379,171
24428,170
24478,170
24527,171
24578,169
24629,170
24677,171
24730,170
24778,170
24827,170
24882,170
24927,169
24978,170
25027,170
25079,169
25130,169
25181,167
25228,169
25278,169
25327,166
25379,168
25433,169
25477,169
25527,168
25578,168
25627,167
25678,167
25727,166
25778,166
25828,166
25889,167
25931,166
25977,163
26027,163
26077,164
26127,164
26177,164
26227,162
26277,161
26327,161
26377,163
26427,162
26477,163
26527,161
26577,165
26627,164
26677,165
26727,165
26777,164
26827,167
26882,167
26927,170
26977,171
27027,172
27077,171
27127,171
27179,170
27228,171
27277,171
27329,172
27378,171
27427,172
27480,171
27527,170
27577,170
27627,170
27677,169
27727,168
27777,168
27827,168
27882,168
27927,170
27977,170
28027,169
28077,168
28127,168
28177,168
28227,168
28277,166
28328,169
28377,169
28427,169
28477,171
28527,171
28577,170
28627,171
28678,169
28728,172
28777,171
28827,170
28882,170
28927,170
28977,169
29027,167
29077,169
29128,171
29177,168
29227,170
29277,171
29327,170
29378,172
29430,173
29477,172
29528,170
29579,170
29632,169
29679,170
29732,166
29778,167
29827,168
29882,167
29927,165
29977,167
30027,166
30079,164
30129,165
30180,165
30227,165
30280,164
30329,168
30379,167
30432,168
30478,168
30529,167
30577,165
30628,163
30678,164
30728,167
30779,165
30831,164
30883,166
30927,166
30977,165
31027,166
31078,165
31129,166
31177,163
31227,169
31277,169
31328,169
31378,169
31429,172
31483,169
31528,169
31578,168
31627,167
31682,167
31729,168
31779,167
31828,167
31878,168
31934,167
31977,166
32027,167
32077,166
32129,167
32179,167
32228,168
32278,167
32329,166
32377,166
32427,166
32479,165
32528,163
32579,165
32627,164
32678,164
32728,164
32778,166
32828,164
32878,167
32931,166
32977,165
33026,166
33077,165
33127,164
33180,163
33227,165
33278,164
33329,164
33377,164
33427,164
33484,165
33528,166
33578,166
33629,167
33677,165
33729,169
33781,166
33828,167
33877,166
33933,165
33978,165
34028,164
34077,163
34127,164
34180,167
34228,164
34277,166
