time,lat,lng,accuracy,altitude,speed,satellites in view,satellites in use
683,12.84125430,77.66448500,64,0.00000,0.00000,0,0
1695,12.84054260,77.66384050,36,0.00000,0.00000,0,0
2683,12.84054260,77.66384050,36,0.00000,0.00000,0,0
3689,12.84054260,77.66384050,36,0.00000,0.00000,0,0
4734,12.84054260,77.66384050,36,0.00000,0.00000,0,0
5781,12.84054260,77.66384050,36,0.00000,0.00000,0,0
6795,12.84054260,77.66384050,36,0.00000,0.00000,0,0
7781,12.84054260,77.66384050,36,0.00000,0.00000,0,0
8783,12.84054260,77.66384050,36,0.00000,0.00000,0,0
9785,12.84054260,77.66384050,36,0.00000,0.00000,0,0
10787,12.84054260,77.66384050,36,0.00000,0.00000,0,0
11787,12.84054260,77.66384050,36,0.00000,0.00000,0,0
12780,12.84043390,77.66386770,36,0.00000,0.00000,0,0
13785,12.84043390,77.66386770,36,0.00000,0.00000,0,0
14784,12.84043390,77.66386770,36,0.00000,0.00000,0,0
15807,12.84043390,77.66386770,36,0.00000,0.00000,0,0
16792,12.84043390,77.66386770,36,0.00000,0.00000,0,0
17789,12.83979950,77.66410590,30,0.00000,0.00000,0,0
18788,12.83979950,77.66410590,30,0.00000,0.00000,0,0
19836,12.83979950,77.66410590,30,0.00000,0.00000,0,0
20835,12.83979950,77.66410590,30,0.00000,0.00000,0,0
21830,12.83979950,77.66410590,30,0.00000,0.00000,0,0
22837,12.83979950,77.66410590,30,0.00000,0.00000,0,0
23882,12.83979950,77.66410590,30,0.00000,0.00000,0,0
24882,12.83979950,77.66410590,30,0.00000,0.00000,0,0
25890,12.83979950,77.66410590,30,0.00000,0.00000,0,0
26882,12.83979950,77.66410590,30,0.00000,0.00000,0,0
27882,12.83979950,77.66410590,30,0.00000,0.00000,0,0
28882,12.83979950,77.66410590,30,0.00000,0.00000,0,0
29882,12.83962360,77.66415770,36,0.00000,0.00000,0,0
30883,12.83962360,77.66415770,36,0.00000,0.00000,0,0
31934,12.83962360,77.66415770,36,0.00000,0.00000,0,0
32932,12.83962360,77.66415770,36,0.00000,0.00000,0,0
33933,12.83962360,77.66415770,36,0.00000,0.00000,0,0
34931,12.83962360,77.66415770,36,0.00000,0.00000,0,0
35935,12.83962360,77.66415770,36,0.00000,0.00000,0,0
36981,12.83900320,77.66433900,37,0.00000,0.00000,0,0
37983,12.83900320,77.66433900,37,0.00000,0.00000,0,0
39035,12.83900320,77.66433900,37,0.00000,0.00000,0,0
40037,12.83900320,77.66433900,37,0.00000,0.00000,0,0
41037,12.83900320,77.66433900,37,0.00000,0.00000,0,0
42085,12.83900320,77.66433900,37,0.00000,0.00000,0,0
43087,12.83900320,77.66433900,37,0.00000,0.00000,0,0
44081,12.83900320,77.66433900,37,0.00000,0.00000,0,0
45086,12.83900320,77.66433900,37,0.00000,0.00000,0,0
46082,12.83799540,77.66412460,30,0.00000,0.00000,0,0
47082,12.83799540,77.66412460,30,0.00000,0.00000,0,0
48092,12.83799540,77.66412460,30,0.00000,0.00000,0,0
49086,12.83799540,77.66412460,30,0.00000,0.00000,0,0
50088,12.83799540,77.66412460,30,0.00000,0.00000,0,0
51084,12.83799540,77.66412460,30,0.00000,0.00000,0,0
52088,12.83799540,77.66412460,30,0.00000,0.00000,0,0
53130,12.83799540,77.66412460,30,0.00000,0.00000,0,0
54137,12.83799540,77.66412460,30,0.00000,0.00000,0,0
