time,x,y,z
28,0.08488,0.22906,-0.21387
77,0.02919,0.40994,0.11537
128,-0.13962,-0.17722,0.06487
178,-0.09543,-0.14444,0.11780
227,-0.17731,0.77933,-0.19325
279,0.20578,0.33890,-0.38321
327,0.30806,0.34099,-0.02197
378,-0.20288,0.74532,-0.20032
427,0.06998,-0.10939,-0.28581
477,0.27304,-0.10004,-0.14026
527,-0.07620,-0.20094,-0.14276
577,-0.13232,-0.23782,-0.10683
628,-0.12976,-0.02599,-0.19640
683,0.05054,0.14705,-0.26738
727,0.01648,0.04005,-0.10596
777,-0.24245,0.03592,0.04239
827,-0.22990,-0.15973,0.21477
879,-0.09377,0.18481,0.13091
927,0.01802,-0.29431,0.08791
977,0.07082,-0.28142,0.17879
1027,-0.11723,0.00760,0.07324
1077,-0.09125,0.11562,0.07521
1127,-0.00688,0.15154,-0.01186
1178,0.02890,-0.10287,-0.03813
1227,0.09685,0.05209,-0.07140
1278,0.03432,0.00763,-0.08305
1328,0.03328,0.03429,-0.04663
1378,0.08542,0.02470,0.00719
1428,0.09457,-0.24185,0.04329
1477,0.08585,-0.33484,0.02588
1528,0.06453,-0.12811,-0.05812
1578,0.03337,-0.14699,-0.08473
1627,0.02832,0.17751,-0.10782
1694,-0.11752,0.22400,-0.15376
1727,-0.04070,0.13777,-0.10706
1777,0.03511,-0.12909,0.00597
1827,-0.03468,0.17992,-0.08617
1877,0.06012,-0.18694,-0.06622
1928,0.03806,0.32315,-0.16559
1978,0.00452,-0.34309,-0.09015
2027,0.06262,0.11139,-0.08061
2079,-0.00571,-0.24452,-0.09760
2127,0.03882,0.41447,-0.07402
2178,-0.11940,-0.16191,-0.14645
2227,0.19647,0.15817,-0.04843
2279,-0.03915,0.05086,-0.20898
2328,0.00224,-0.25455,-0.12674
2377,-0.01924,0.13710,-0.22073
2427,-0.10362,-0.12405,-0.25250
2478,-0.00638,-0.27481,-0.15800
2527,-0.14258,0.32188,-0.38135
2577,-0.01659,0.31697,-0.40215
2627,-0.04466,-0.30296,-0.32477
2682,-0.16640,-0.04146,-0.22577
2730,-0.20705,0.23132,-0.21773
2777,-0.05482,-0.02309,-0.02461
2828,-0.13242,-0.29778,0.11595
2878,-0.18509,-0.23575,0.10153
2927,-0.03862,0.25533,-0.00185
2977,-0.03371,-0.31659,0.10452
3027,-0.13000,-0.21066,0.21930
3077,-0.11005,0.43993,0.07585
3127,-0.03018,0.20828,-0.07275
3178,0.01462,-0.22562,-0.04510
3228,-0.06804,0.37122,-0.09903
3277,-0.13696,-0.12129,-0.04018
3329,0.02090,0.04883,0.08252
3377,-0.12773,-0.22865,-0.00325
3427,-0.01564,-0.44867,0.06549
3478,0.00319,-0.00188,0.01712
3529,-0.00331,-0.17311,0.05185
3578,0.06104,-0.20673,0.17046
3629,-0.07425,0.06215,0.15823
3688,0.01033,0.16016,0.17368
3727,0.10062,0.13765,0.15178
3777,0.01599,-0.13823,0.13039
3827,0.07158,0.08606,0.04169
3878,0.04645,0.15695,-0.00784
3928,0.06151,-0.31131,0.01236
3977,0.06975,-0.26338,0.03966
4028,-0.04256,0.19687,-0.07776
4077,0.04657,-0.01073,-0.09123
4129,0.10684,-0.19270,-0.05603
4177,-0.03575,0.37743,-0.13080
4228,-0.04028,-0.05760,-0.04497
4278,0.10605,0.11293,0.05028
4328,-0.06427,0.31068,-0.02019
4377,0.01843,0.02518,0.03795
4428,0.04851,-0.02116,0.10535
4477,-0.07950,-0.01807,0.08752
4529,0.03874,-0.27310,0.06477
4577,0.04857,-0.24918,0.04114
4627,-0.11876,-0.09473,-0.04100
4678,-0.00250,-0.01817,-0.00548
4733,0.05629,0.10455,0.01341
4777,-0.03622,0.12042,0.03627
4827,-0.03853,-0.00441,0.08315
4878,-0.01041,0.25108,-0.04602
4927,0.04926,0.21373,-0.13231
4979,0.11058,-0.77144,0.12770
5027,-0.02681,0.23738,0.13383
5077,-0.20099,0.54709,-0.05486
5127,0.13315,-0.66119,0.09705
5178,0.08142,-0.31425,0.02989
5228,-0.10005,-0.01303,-0.12173
5277,0.06142,0.18564,-0.09656
5327,0.09717,-0.10666,-0.02769
5378,-0.03200,-0.19257,0.04996
5429,-0.18797,0.21686,0.00781
5477,0.00253,0.18558,-0.03073
5529,0.12350,-0.25233,0.06653
5578,-0.11885,-0.09044,0.10837
5627,-0.00819,-0.23877,0.25392
5677,-0.02795,-0.20773,0.27126
5727,-0.14674,-0.00865,0.22971
5781,-0.04106,0.21454,0.22258
5826,0.16779,-0.06531,0.20406
5877,0.13866,0.05186,0.12349
5927,0.11166,-0.00401,0.05763
5979,0.14845,-0.09630,0.08932
6027,0.02820,0.31671,-0.00336
6077,0.06284,0.16327,-0.04405
6128,0.19568,-0.15823,0.05814
6177,0.07053,0.16052,-0.02821
6227,0.12022,-0.08052,-0.13937
6278,0.18997,0.06259,-0.21515
6329,0.01413,0.25670,-0.19395
6377,-0.02031,-0.12793,-0.07678
6428,-0.01643,-0.12924,-0.00275
6478,-0.15222,0.40324,-0.19600
6528,-0.04839,-0.14476,-0.19116
6578,0.05650,-0.30052,0.12350
6627,-0.25616,0.37903,-0.00070
6679,-0.03152,-0.07195,-0.04089
6729,0.14220,-0.31483,-0.00275
6789,-0.09029,0.18568,-0.11443
6827,-0.06715,0.05867,-0.09364
6877,0.10417,-0.38673,0.04805
6927,-0.12297,0.40489,-0.11162
6978,-0.14076,0.14293,-0.13585
7028,0.04295,0.09753,-0.08134
7077,-0.14171,0.02798,-0.05850
7127,-0.02879,0.06874,0.03378
7178,-0.12276,0.30182,-0.12871
7228,0.08768,-0.70906,0.12865
7277,0.03276,0.11554,0.03275
7329,-0.10258,0.08098,-0.05101
7377,0.01674,0.02997,0.06168
7427,-0.05090,-0.06906,0.18213
7477,-0.06020,0.15039,0.19228
7529,-0.03365,0.30615,0.07962
7577,0.08615,-0.13466,0.15921
7627,0.00746,0.25677,0.07510
7676,-0.00818,-0.16322,0.12024
7728,0.04703,0.25780,0.05150
7781,-0.07312,-0.05547,0.02843
7827,0.05830,-0.14244,0.17839
7878,-0.04791,0.31512,0.07330
7927,0.01384,-0.57018,0.15341
7977,0.11150,-0.09677,0.13309
8027,-0.02170,0.34129,-0.15125
8078,0.12158,-0.61241,0.02393
8128,0.07404,0.15816,-0.02811
8178,-0.08224,0.05405,-0.13278
8228,0.11595,-0.02719,-0.08321
8278,-0.01897,0.04625,-0.01570
8328,-0.01440,0.18120,0.09116
8379,-0.02580,0.09114,0.07179
8427,0.01331,-0.17903,0.09799
8478,-0.04315,0.29459,-0.04546
8527,0.12057,0.15842,0.01900
8577,0.08537,-0.13774,0.18292
8628,-0.16061,0.16469,0.12242
8678,-0.01985,-0.19220,-0.02469
8727,0.23387,-0.36189,-0.01411
8782,0.12836,0.35629,-0.14981
8827,0.07863,0.13571,-0.11755
8877,0.07628,-0.35703,0.18250
8927,-0.10194,0.57120,-0.08804
8977,0.03506,-0.32851,-0.08504
9027,0.27051,-0.21004,-0.05638
9078,-0.01767,0.42506,-0.30392
9127,0.04941,-0.74117,0.01201
9177,0.00798,-0.78680,0.25403
9228,-0.19666,0.00758,-0.05801
9276,0.07268,0.78191,-0.33699
9326,0.23087,-0.60913,-0.02280
9376,-0.05957,0.15242,0.14635
9427,-0.15746,1.11940,-0.12213
9476,0.12656,-0.22694,0.00346
9527,0.17044,-0.23038,0.09990
9578,-0.16072,0.05713,-0.11613
9628,-0.01074,-0.55379,-0.15681
9678,0.17006,-0.55394,-0.17967
9727,-0.09024,-0.10501,-0.28319
9785,-0.04042,-0.16083,-0.25519
9827,-0.07187,0.45879,-0.19131
9877,-0.32693,0.56569,-0.21086
9927,-0.00165,0.45468,-0.06244
9978,0.07321,0.58119,-0.10321
10027,-0.07521,0.00429,0.02121
10079,-0.15279,0.28491,-0.06413
10128,0.00363,-0.77475,0.04318
10178,-0.03818,-0.25917,-0.02963
10227,-0.35434,-0.09624,-0.27902
10277,0.10812,-0.39633,-0.04233
10327,-0.03494,0.45680,-0.10176
10377,-0.16936,0.23451,-0.06314
10427,-0.10304,0.52101,-0.02266
10477,-0.08438,0.20367,-0.05481
10527,0.04095,0.06595,0.12122
10577,-0.16042,0.09755,0.02069
10627,0.09358,-0.32829,0.14365
10677,0.05066,-0.09886,0.10089
10727,-0.26886,-0.26839,0.02431
10783,-0.02184,-0.63176,0.18668
10827,-0.15126,0.17194,0.15268
10877,-0.27158,0.22153,0.03842
10927,0.15469,0.06898,0.21136
10978,-0.10295,0.59740,0.09915
11027,-0.00784,-0.20297,0.24324
11076,0.07281,0.52379,0.16258
11127,-0.19905,0.07759,-0.10995
11178,0.23698,-0.75525,0.31383
11227,-0.20190,0.05301,0.01974
11277,-0.02203,-0.50798,-0.04901
11328,0.23727,0.02710,-0.18314
