time,azimuth
10,-152
60,-153
115,-154
159,-154
210,-154
259,-156
309,-157
360,-157
409,-156
459,-156
514,-157
560,-155
609,-154
659,-155
711,-155
760,-157
809,-159
859,-163
910,-166
959,-167
1009,-167
1060,-167
1110,-166
1160,-167
1210,-166
1261,-167
1311,-167
1359,-166
1410,-167
1459,-168
1513,-168
1559,-167
1610,-166
1659,-166
1710,-165
1759,-164
1809,-164
1860,-163
1909,-163
1960,-162
2009,-162
2059,-163
2110,-163
2160,-161
2210,-161
2260,-163
2312,-164
2361,-165
2409,-165
2460,-166
2516,-166
2559,-166
2609,-168
2659,-168
2710,-166
2760,-167
2810,-168
2859,-167
2910,-166
2959,-167
3010,-167
3059,-166
3109,-164
3159,-163
3210,-163
3259,-164
3309,-164
3359,-164
3411,-163
3459,-165
3513,-165
3560,-166
3609,-165
3659,-164
3710,-164
3760,-164
3810,-163
3859,-163
3910,-162
3959,-161
4010,-160
4061,-160
4111,-160
4160,-160
4210,-159
4260,-159
4310,-159
4359,-159
4410,-158
4459,-159
4519,-158
4559,-160
4609,-160
4658,-159
4710,-158
4759,-159
4809,-160
4860,-159
4909,-159
4959,-160
5011,-160
5061,-159
5109,-161
5160,-161
5211,-161
5259,-160
5310,-160
5361,-159
5414,-158
5460,-158
5519,-158
5559,-158
5610,-158
5659,-159
5710,-158
5759,-158
5810,-159
5860,-160
5909,-160
5958,-161
6010,-161
6059,-161
6111,-161
6159,-162
6211,-160
6261,-160
6311,-160
6364,-161
6409,-161
6459,-159
6512,-160
6559,-162
6609,-161
6659,-160
6712,-160
6761,-161
6810,-161
6860,-162
6911,-162
6961,-162
7009,-162
7060,-162
7111,-163
7162,-162
7211,-162
7261,-163
7309,-163
7360,-162
7412,-162
7459,-162
7511,-160
7570,-159
7609,-162
7659,-159
7711,-159
7762,-160
7810,-161
7860,-161
7911,-161
7961,-161
8009,-162
8060,-162
8111,-163
8160,-163
8210,-162
8259,-162
8309,-162
8360,-163
8410,-163
8459,-162
8512,-161
8560,-162
8617,-162
8659,-162
8709,-162
8759,-161
8809,-161
8861,-162
8909,-160
8959,-160
9010,-160
9060,-161
9109,-161
9159,-161
9210,-162
9259,-161
9312,-162
9359,-161
9410,-162
9459,-164
9512,-163
9561,-164
9614,-164
9659,-163
9711,-162
9759,-162
9810,-162
9860,-162
9909,-163
9960,-162
10011,-163
10060,-163
10110,-163
10159,-164
10210,-162
10259,-162
10309,-162
10359,-162
10409,-163
10460,-163
10510,-163
10559,-164
10616,-163
10659,-162
10709,-162
10759,-160
10811,-162
10859,-161
10910,-162
10959,-163
11011,-160
11060,-161
11111,-163
11160,-161
11211,-161
11259,-161
11311,-161
11360,-160
11411,-161
11460,-161
11512,-161
11560,-160
11611,-160
11664,-159
11709,-159
11759,-159
11809,-158
11859,-161
11910,-162
11960,-162
12011,-162
12061,-161
12111,-162
12160,-161
12211,-162
12259,-161
12312,-161
12359,-160
12410,-160
12461,-160
12510,-160
12560,-159
12610,-159
12659,-158
12714,-158
12759,-160
12809,-158
12859,-159
12910,-160
12959,-160
13011,-158
13059,-159
13112,-160
13159,-160
13210,-159
13260,-160
13310,-160
13359,-160
13411,-161
13460,-160
13511,-160
13560,-163
13610,-160
13660,-159
13715,-161
13759,-160
13809,-161
13860,-162
13910,-163
13959,-160
14010,-161
14061,-161
14110,-161
14159,-161
14210,-161
14259,-162
14311,-162
14360,-162
14410,-163
14459,-163
14512,-162
14559,-161
14612,-161
14661,-161
14711,-160
14772,-160
14809,-162
14859,-161
14909,-161
14959,-161
15011,-162
15061,-160
15109,-161
15160,-162
15209,-162
15260,-161
15311,-162
15359,-163
15409,-163
15460,-162
15510,-164
15559,-163
15611,-163
15661,-162
15709,-162
15759,-161
15815,-162
15859,-162
15910,-163
15959,-162
16010,-163
16059,-161
16110,-162
16159,-162
16211,-161
16260,-161
16310,-164
16360,-165
16409,-164
16460,-164
16509,-164
16558,-162
16610,-162
16659,-162
16710,-160
16761,-160
16815,-161
16859,-160
16909,-160
16959,-159
17010,-158
17059,-157
17109,-158
17159,-159
17209,-159
17258,-162
17312,-162
17360,-162
17410,-162
17459,-163
17510,-163
17559,-160
17610,-161
17660,-161
17710,-160
17759,-159
17815,-160
17859,-160
17909,-160
17959,-159
18010,-159
18059,-159
18110,-160
18159,-158
18211,-159
18260,-160
18310,-160
18358,-162
18410,-161
18460,-161
18510,-163
18560,-161
18610,-161
18660,-161
18711,-161
18762,-161
18823,-162
18860,-161
18909,-161
18959,-160
19010,-159
19059,-159
19110,-158
19160,-157
19210,-157
19259,-158
19311,-159
19361,-158
19411,-158
19461,-159
19510,-158
19559,-158
19610,-157
19660,-157
19711,-159
19767,-158
19810,-160
19864,-161
19911,-161
19959,-160
20010,-160
20059,-159
20110,-159
20159,-159
20214,-160
20259,-159
20309,-161
20359,-162
20410,-163
20458,-163
20508,-161
20559,-162
20610,-162
20660,-161
20711,-160
20760,-161
20810,-161
20875,-161
20909,-161
20958,-162
21010,-161
21060,-161
21110,-160
21162,-160
21215,-161
21263,-162
21312,-161
21360,-161
21409,-161
21460,-161
21511,-161
21563,-160
21610,-159
21663,-159
21714,-160
21762,-160
21810,-160
21875,-161
21909,-160
21959,-161
22009,-160
22059,-159
22110,-160
22159,-161
22210,-161
22260,-161
22310,-160
22360,-159
22409,-159
22460,-159
22509,-159
22559,-159
22609,-159
22660,-160
22710,-161
22759,-160
22812,-161
22861,-160
22917,-161
22959,-160
23010,-159
23059,-158
23110,-160
23161,-158
23210,-160
23263,-161
23309,-161
23363,-160
23414,-161
23459,-161
23512,-160
23559,-159
23610,-159
23659,-159
23709,-159
23763,-160
23809,-160
23859,-160
23917,-159
23959,-159
24009,-158
24059,-158
24110,-158
24159,-159
24209,-161
24259,-161
24310,-159
24359,-158
24409,-159
24459,-159
24509,-157
24559,-158
24609,-160
24659,-160
24709,-160
24759,-160
24809,-160
24859,-160
24913,-160
24959,-159
25010,-158
25059,-158
25109,-160
25159,-159
25209,-159
25260,-160
25309,-160
25359,-159
25409,-159
25459,-159
25509,-159
25559,-160
25611,-160
25659,-161
25709,-162
25759,-163
25809,-162
25859,-162
25913,-162
