time,lat,lng,accuracy,altitude,speed,satellites in view,satellites in use
514,12.84368820,77.66428570,38,0.00000,0.00000,0,0
1513,12.84368820,77.66428570,38,0.00000,0.00000,0,0
2516,12.84368820,77.66428570,38,0.00000,0.00000,0,0
3513,12.84368820,77.66428570,38,0.00000,0.00000,0,0
4519,12.84368820,77.66428570,38,0.00000,0.00000,0,0
5519,12.84368820,77.66428570,38,0.00000,0.00000,0,0
6513,12.84347760,77.66436310,39,0.00000,0.00000,0,0
7571,12.84347760,77.66436310,39,0.00000,0.00000,0,0
8622,12.84347760,77.66436310,39,0.00000,0.00000,0,0
9615,12.84347760,77.66436310,39,0.00000,0.00000,0,0
10617,12.84347760,77.66436310,39,0.00000,0.00000,0,0
11664,12.84347760,77.66436310,39,0.00000,0.00000,0,0
12714,12.84347760,77.66436310,39,0.00000,0.00000,0,0
13715,12.84347760,77.66436310,39,0.00000,0.00000,0,0
14773,12.84347760,77.66436310,39,0.00000,0.00000,0,0
15815,12.84347760,77.66436310,39,0.00000,0.00000,0,0
16815,12.84348960,77.66426370,39,0.00000,0.00000,0,0
17816,12.84348960,77.66426370,39,0.00000,0.00000,0,0
18823,12.84348960,77.66426370,39,0.00000,0.00000,0,0
19864,12.84348960,77.66426370,39,0.00000,0.00000,0,0
20876,12.84348960,77.66426370,39,0.00000,0.00000,0,0
21875,12.84348960,77.66426370,39,0.00000,0.00000,0,0
22917,12.84348960,77.66426370,39,0.00000,0.00000,0,0
23917,12.84348960,77.66426370,39,0.00000,0.00000,0,0
24913,12.84348960,77.66426370,39,0.00000,0.00000,0,0
25913,12.84348960,77.66426370,39,0.00000,0.00000,0,0
26916,12.84294290,77.66398340,76,0.00000,0.00000,0,0
27913,12.84294290,77.66398340,76,0.00000,0.00000,0,0
28915,12.84294290,77.66398340,76,0.00000,0.00000,0,0
