time,x,y,z
10,-0.23418,-0.08624,0.08382
60,-0.22775,0.12436,0.09886
115,0.01559,0.01521,0.12747
159,0.04764,0.07864,0.17673
210,0.00098,0.09227,0.25293
259,0.07425,0.07288,0.26637
309,0.20052,0.10899,0.19565
360,0.20279,-0.03880,0.17981
409,0.14616,-0.02092,0.09651
459,0.13068,0.06502,-0.02162
514,0.14610,0.07307,0.01082
559,0.14035,-0.04970,0.16231
609,0.15685,-0.04440,0.21219
659,0.24844,0.17448,0.26395
711,0.34418,0.13107,0.36249
759,0.32918,-0.06511,0.47621
809,0.19792,0.08633,0.50195
859,0.18285,0.02580,0.47980
910,0.19051,0.07002,0.39928
959,0.20593,-0.04068,0.33305
1009,0.15797,-0.03006,0.21962
1060,0.19772,-0.00763,0.06134
1110,0.15889,0.00491,0.02855
1159,0.03461,-0.05692,0.10004
1210,0.03891,-0.04573,0.11638
1260,0.04485,-0.01379,0.04701
1310,0.08609,0.00134,0.02681
1359,0.10254,-0.12769,0.02211
1409,0.01556,-0.06552,-0.08553
1459,-0.00591,0.03162,-0.16858
1513,0.01183,-0.03958,-0.13930
1559,-0.07875,0.07642,-0.12308
1609,-0.09700,0.14497,-0.16083
1659,-0.07892,-0.03815,-0.19315
1710,-0.09688,0.11345,-0.24942
1759,-0.10318,-0.00728,-0.26102
1809,-0.09412,-0.04678,-0.27516
1860,-0.14319,-0.07899,-0.24577
1909,-0.15091,-0.15964,-0.19308
1960,-0.15677,-0.06744,-0.14862
2009,-0.11366,0.06325,-0.14534
2059,-0.07590,-0.08981,-0.08739
2110,-0.05661,-0.01253,0.02869
2159,-0.06537,0.10406,0.06337
2210,0.05984,0.05470,0.07697
2260,-0.01222,-0.11150,0.19183
2311,-0.07005,0.09230,0.23256
2360,0.04578,0.03539,0.21211
2409,0.06909,0.05530,0.08961
2459,0.00470,0.14258,0.07007
2516,0.01616,0.01093,0.14720
2559,-0.02681,-0.21944,0.19601
2609,-0.07162,0.05910,0.04933
2659,0.12254,-0.09721,0.04152
2710,0.09338,-0.22246,0.00722
2760,0.02934,-0.20290,-0.00714
2810,0.01299,0.12553,-0.02472
2859,0.09119,0.26141,-0.02467
2910,-0.03241,-0.00470,-0.09195
2959,-0.01865,-0.24741,-0.20804
3009,-0.06631,-0.07925,-0.27631
3059,-0.04390,0.20930,-0.35902
3109,0.05501,-0.20361,-0.20427
3159,-0.21530,-0.06125,-0.01328
3209,-0.25418,0.52974,-0.07909
3259,0.13470,-0.29242,0.04813
3309,-0.22977,0.06096,0.06218
3359,-0.15804,0.48311,-0.02640
3411,0.16748,-0.11565,0.00653
3459,-0.11855,0.09082,-0.02438
3512,-0.04565,0.12143,-0.03726
3560,0.01611,0.02315,0.02461
3609,-0.06761,0.30576,-0.01544
3659,0.02107,-0.04732,-0.01593
3710,-0.18114,0.08885,-0.03084
3760,-0.12767,-0.00499,-0.07600
3809,0.00735,0.14380,-0.19080
3859,0.08856,0.22008,-0.27814
3910,0.00935,-0.13857,-0.15285
3959,-0.17580,0.19185,-0.12801
4010,-0.05267,-0.07657,-0.13857
4061,-0.09167,0.04735,-0.14989
4111,-0.00343,0.08350,-0.05426
4160,-0.13008,0.17224,-0.03755
4210,-0.07965,0.28336,-0.11836
4260,0.02180,-0.13463,-0.12701
4310,-0.12579,0.03938,-0.10425
4359,-0.14340,0.02644,-0.02946
4410,-0.08281,0.14449,0.03450
4459,0.00940,0.01550,0.08281
4518,-0.03053,-0.22517,0.09239
4559,-0.12318,-0.01315,0.04636
4609,0.04004,0.03548,-0.06921
4658,0.09885,-0.04668,-0.04288
4710,-0.06035,-0.10075,0.06461
4759,-0.08127,-0.10165,0.10117
4809,-0.03355,0.14317,-0.01482
4859,0.14639,-0.10703,-0.00020
4909,-0.04407,-0.14500,0.10667
4959,-0.08391,0.15034,0.12794
5011,0.04709,0.15253,0.09744
5060,0.07454,0.02693,0.05531
5109,0.02361,-0.15944,0.06680
5160,-0.02904,-0.06189,0.04089
5211,0.06528,0.00693,-0.07204
5259,0.07182,-0.08945,-0.11290
5310,-0.04585,0.17708,-0.12596
5360,-0.00511,0.01535,-0.05487
5412,0.00513,0.01773,-0.07115
5460,-0.04306,0.17879,-0.08696
5518,0.00960,0.08310,-0.09004
5559,0.05847,-0.16016,-0.01665
5610,-0.10059,-0.01410,0.02657
5659,-0.07121,0.21228,0.06299
5709,0.08554,0.03944,0.11858
5759,-0.03070,0.04269,0.13560
5810,-0.05916,0.08022,0.10199
5860,0.09749,-0.03696,0.06395
5909,0.06810,-0.06149,0.07596
5958,0.00743,0.13725,0.06593
6009,0.04834,-0.11685,0.13727
6059,-0.02922,-0.03258,0.10168
6110,0.05280,-0.00035,-0.01073
6159,0.08595,-0.06268,-0.03758
6211,0.03444,0.07222,-0.06665
6261,0.00050,-0.18639,-0.01834
6311,-0.03784,0.00348,-0.05893
6364,0.03168,-0.02806,-0.05833
6409,0.01544,-0.00693,-0.02629
6459,-0.00995,-0.00014,-0.00270
6512,-0.03781,-0.18353,0.05533
6559,-0.03928,0.11385,-0.00702
6609,0.05739,0.28860,-0.06050
6659,0.04993,-0.11603,0.07872
6712,-0.11372,0.19707,0.11606
6760,0.05521,0.02145,0.10399
6809,-0.01402,0.03918,0.07941
6860,0.00171,0.20554,0.02191
6911,0.11179,-0.03636,0.02657
6960,-0.03281,-0.02615,0.04729
7009,0.00719,-0.10683,0.05904
7060,0.01935,-0.03493,0.02025
7110,0.05783,0.05888,-0.00536
7161,0.08717,-0.05653,0.01974
7211,-0.02496,-0.00470,0.03981
7261,0.06923,-0.09276,0.02376
7309,0.04929,-0.02922,-0.04340
7359,0.05690,0.09070,-0.08920
7411,0.01001,-0.29984,-0.00937
7459,-0.11978,0.68106,-0.15652
7511,0.24030,0.04280,-0.14372
7569,-0.12331,-0.30951,-0.02542
7609,-0.28879,0.28783,-0.00058
7659,0.29002,0.47740,-0.17371
7710,0.07744,-0.47600,0.07434
7762,-0.15471,0.02870,0.02840
7810,0.06001,-0.23138,0.00517
7859,0.02385,-0.03189,-0.02379
7910,0.02957,-0.12289,0.10309
7960,-0.05478,-0.02945,0.17596
8009,-0.07076,-0.06039,0.14786
8060,0.05130,-0.11760,0.00610
8110,0.02725,-0.02339,-0.09459
8160,0.07066,-0.04616,-0.09021
8210,0.04539,-0.01237,-0.04492
8259,-0.10350,-0.01399,0.02803
8309,-0.07280,-0.01476,-0.02602
8360,0.03990,-0.21010,-0.05927
8409,-0.01045,0.00015,-0.06081
8459,0.04466,-0.06673,-0.00360
8511,-0.01563,-0.01714,0.02333
8560,-0.06082,0.31877,-0.04166
8617,0.08759,0.01001,-0.07487
8659,0.00204,-0.14951,-0.07536
