time,azimuth
49,148
99,149
150,148
199,152
250,147
300,148
349,151
399,154
449,148
499,150
550,149
599,148
650,148
700,149
750,144
802,146
850,145
905,149
949,149
1000,143
1050,149
1100,148
1152,148
1201,143
1250,147
1302,147
1349,141
1400,147
1450,149
1501,146
1550,147
1601,146
1650,146
1702,141
1750,144
1801,146
1850,140
1899,144
1957,142
2001,143
2049,140
2100,145
2150,146
2200,140
2250,143
2299,143
2349,143
2400,140
2449,142
2499,145
2549,142
2600,144
2650,143
2699,140
2749,138
2800,150
2850,135
2900,138
2949,140
3007,139
3050,139
3100,145
3149,141
3200,146
3250,140
3300,144
3351,145
3401,141
3451,144
3500,144
3549,141
3599,148
3649,143
3701,148
3750,137
3800,138
3850,135
3899,136
3950,136
3999,139
4053,141
4100,136
4149,139
4200,150
4249,138
4302,140
4349,142
4400,144
4449,145
4499,142
4550,144
4600,144
4650,147
4701,146
4751,143
4800,140
4850,145
4901,140
4950,143
5002,143
5050,142
5111,146
5149,142
5199,143
5249,143
5300,148
5351,147
5400,134
5451,138
5501,145
5551,145
5601,143
5650,143
5700,140
5749,146
5801,145
5850,143
5900,141
5950,139
6000,142
6050,141
6099,146
6152,140
6200,142
6249,141
6300,146
6349,143
6399,143
6449,142
6499,141
6550,143
6600,144
6651,143
6700,144
6749,140
6800,141
6850,142
6901,143
6951,139
7000,138
7050,144
7099,138
7158,141
7199,138
7249,137
7299,137
7350,140
7399,141
7451,141
7500,141
7549,141
7599,142
7651,144
7702,143
7751,147
7799,147
7850,140
7900,137
7950,146
8000,143
8050,139
8100,142
8161,143
8199,140
8249,144
8299,143
8350,136
8400,141
8449,139
8500,138
8549,143
8599,142
8649,131
8700,138
8751,141
8800,140
8849,139
8901,137
8949,139
8999,140
9049,138
9099,139
9153,141
9200,136
9251,142
9299,134
9349,147
9399,136
9449,143
9499,140
9549,138
9599,136
9649,140
9699,142
9750,143
9802,140
9851,144
9900,143
9950,137
10000,143
10050,142
10100,141
10150,147
10209,147
10249,141
10299,143
10350,143
10400,142
10449,143
10499,142
10550,142
10599,147
10651,142
10699,146
10751,146
10801,141
10851,140
10900,146
10951,136
11000,139
11050,143
11099,138
11150,135
11208,145
11249,137
11300,140
11349,139
11399,136
11449,138
11499,139
11551,139
11600,145
11651,140
11702,141
11749,145
11800,140
11850,142
11900,144
11950,138
12002,144
12049,140
12099,141
12149,143
12205,143
12249,142
12299,144
12349,142
12400,145
12452,146
12500,139
12550,144
12600,143
12651,142
12700,146
12750,142
12799,139
12849,146
12899,143
12950,142
13000,144
13049,142
13099,146
13150,142
13207,142
13249,144
13299,137
13350,141
13400,144
13449,139
13500,139
13550,142
13599,139
13650,136
13699,141
13749,139
13799,143
13850,141
13900,134
13951,142
13999,143
14049,136
14100,138
14150,138
14207,140
14250,136
14299,134
14350,136
14400,144
14451,140
14500,139
14549,142
14600,136
14650,141
14702,146
14750,141
14802,140
14850,149
14901,143
14950,136
15002,143
15050,141
15100,143
15150,141
15200,141
15254,145
15299,144
15349,143
15400,145
15449,144
15500,142
15550,143
15602,147
15651,143
15701,138
15750,144
15800,140
15852,141
15899,144
15950,139
16001,139
16050,142
16099,139
16150,141
16199,142
16262,140
16299,141
16349,140
16399,138
16450,141
16499,143
16549,140
16600,140
16651,140
16699,139
16750,140
16800,138
16850,138
16900,139
16949,140
16999,138
17049,139
17100,139
17149,138
17200,135
17254,137
17301,134
17349,137
17399,139
17450,139
17499,140
17549,143
17600,140
17650,140
17699,143
17749,140
17799,137
17849,142
17900,142
17949,140
18000,140
18051,140
18100,133
18150,138
18200,133
18257,139
18299,140
18350,134
18400,131
18452,143
18499,143
18549,139
18600,134
18651,136
18699,137
18749,138
18800,138
18850,138
18902,138
18949,141
19001,138
19050,139
19099,139
19150,142
19201,137
19253,138
19299,140
19349,136
19399,134
19450,132
19500,139
19550,128
19599,133
19651,141
19700,131
19750,135
19801,143
19851,143
19901,126
19949,136
20001,143
20049,130
20100,139
20151,140
20199,143
20260,139
20299,135
20350,132
20400,145
20451,139
20501,138
20550,137
20599,138
20651,134
20700,136
20750,138
20799,140
20849,136
20900,138
20950,141
21002,139
21050,138
21101,133
21149,144
21200,132
21253,136
21299,140
21349,119
21399,136
21450,133
21500,140
21549,119
21600,135
21651,135
21702,128
21750,137
21801,138
21850,129
21899,135
21950,143
21999,128
22049,138
22101,139
22149,132
22199,136
22250,133
22313,128
22349,135
22399,130
22450,130
22501,135
22549,131
22600,135
22649,131
22701,132
22749,136
22801,132
22852,131
22900,140
22949,134
23000,133
23049,138
23099,133
23150,131
23199,133
23249,130
23304,128
23349,134
23399,132
23450,130
23499,132
23550,131
23599,132
23650,133
23699,133
23751,133
23800,137
23850,140
23899,140
23949,142
24000,142
24051,144
24101,142
24149,144
24199,137
24249,139
24305,140
24348,134
24398,137
24449,138
24500,142
24549,140
24599,137
24649,142
24701,144
24749,143
24801,139
24850,140
24911,138
24949,140
25000,138
25049,140
25100,140
25149,142
25200,143
25250,139
25310,145
25349,144
25399,143
25450,141
25500,141
25551,143
25599,140
25650,142
25701,142
25750,140
25800,143
25849,145
25901,143
25951,143
26000,147
26051,149
26099,145
26151,144
26200,149
26249,148
26299,146
26354,144
26400,149
26449,147
26499,144
26550,149
26599,150
26650,146
26699,143
26750,150
26800,146
26850,140
26901,150
26949,146
27001,139
27051,145
27100,153
27151,143
27199,141
27249,146
27300,144
27357,147
27399,146
27450,145
27500,151
27550,144
27601,140
27649,150
27700,147
27750,142
27799,142
27850,136
27901,146
27949,142
27999,138
28050,142
28099,142
28150,137
28199,139
28250,141
28299,139
28367,140
28400,141
28449,140
28499,141
28550,144
28601,139
28651,131
28701,145
28751,147
28801,128
28850,132
28899,153
28952,138
28999,139
29049,130
29100,134
29149,152
29200,128
29250,134
29300,145
29349,144
29404,137
29449,129
29499,132
29549,139
29599,132
29649,133
29700,132
29749,131
29801,136
29849,133
29900,135
29952,137
29999,134
30049,135
30099,138
30149,141
30199,140
30250,139
30299,138
30349,141
30406,140
30449,139
30500,142
30549,138
30599,138
30651,139
30699,139
30750,134
30800,131
30849,136
30901,129
30949,130
31000,129
31049,130
31100,126
31149,118
31202,124
31250,128
31299,118
31349,122
31728,124
31731,123
31799,125
31849,121
31900,119
31949,133
31999,142
32050,129
32099,128
32149,135
32203,118
32250,114
32301,126
32351,123
32418,120
32449,122
32499,129
32551,132
32601,126
32651,129
32702,130
32751,123
32803,127
32852,123
32902,121
32952,126
32999,119
33049,123
33100,125
33149,122
33200,126
33250,122
33301,128
33352,126
33422,122
33449,126
33502,130
33551,126
33601,127
33651,131
33702,133
33751,131
33802,125
33851,129
33901,123
33952,124
34001,133
34050,126
34102,127
34151,125
34202,128
34251,125
34304,126
34352,125
34401,131
34461,126
34499,122
34550,132
34599,129
34653,126
34707,127
34749,128
34799,128
34850,126
34899,131
34949,126
34999,127
35049,126
35100,130
35150,125
35199,128
35249,127
35299,127
35349,126
35399,126
35455,125
35501,127
35549,127
35599,128
35649,127
35698,125
35750,128
35800,121
35849,127
35900,120
35949,126
35999,122
36049,119
36099,123
36150,124
36202,121
36249,126
36299,123
36350,125
36403,128
36449,123
36502,123
36554,126
36611,127
36649,126
36700,126
36750,128
36802,125
36849,128
36900,127
36949,122
36999,126
37050,130
37099,126
37149,128
37199,125
37249,122
37299,127
37349,129
37399,123
37449,126
37503,126
37549,123
37599,123
37649,126
37700,118
37749,121
37800,124
37849,119
37899,121
37949,125
37999,123
38050,122
38099,125
38149,122
38199,124
38249,127
38299,124
38349,125
38399,127
38449,124
38503,126
38548,128
38599,125
38649,127
38699,129
38749,124
38799,131
38849,128
38899,129
38949,126
39000,128
39049,129
39099,129
39149,122
39199,129
39249,123
39299,126
39349,129
39399,124
39449,124
39502,128
39550,127
39599,122
39649,124
39700,126
39749,126
39799,127
39849,125
39899,123
39950,127
39999,126
40049,124
40099,126
40150,126
40199,123
40249,122
40299,124
40350,119
40399,124
40449,123
40503,123
40549,122
40599,126
40649,124
40699,129
40751,128
40799,126
40849,127
40899,124
40949,124
40999,126
41049,127
41100,124
41149,123
41200,118
41249,120
41299,126
41349,122
41398,123
41449,125
41506,127
41549,122
41600,128
41649,129
41699,128
41750,130
41799,129
41850,128
41899,130
41949,123
42000,132
42049,129
42099,130
42150,127
42199,132
42249,132
42299,131
42349,130
42399,126
42449,128
42508,130
42548,132
42599,131
42649,127
42699,129
42749,128
42799,135
42850,132
42899,135
42949,134
43000,130
43049,135
43099,132
43149,131
43199,136
43249,130
43300,130
43349,137
43399,134
43449,133
43499,140
43551,135
43599,137
43649,141
43699,130
43749,135
43799,134
43850,122
43899,129
43949,132
43999,120
44049,130
44099,116
44149,119
44199,126
44249,121
44299,118
44349,127
44399,122
44449,127
44499,129
44552,125
44600,128
44649,130
44699,127
44749,130
44799,129
44849,125
44899,129
44949,130
44999,123
45049,129
45099,129
45149,124
45199,129
45249,128
45299,128
45349,129
45399,128
45449,128
45501,132
45552,127
45600,129
45649,129
45699,128
45749,133
45799,132
