time,lat,lng,accuracy,altitude,speed,satellites in view,satellites in use
906,12.85099240,77.65745820,80,0.00000,0.00000,0,0
1957,12.85099240,77.65745820,80,0.00000,0.00000,0,0
3007,12.85099240,77.65745820,80,0.00000,0.00000,0,0
4053,12.85099240,77.65745820,80,0.00000,0.00000,0,0
5111,12.85099240,77.65745820,80,0.00000,0.00000,0,0
6152,12.85099240,77.65745820,80,0.00000,0.00000,0,0
7159,12.85099240,77.65745820,80,0.00000,0.00000,0,0
8161,12.85099240,77.65745820,80,0.00000,0.00000,0,0
9154,12.85095200,77.65745570,190,0.00000,0.00000,0,0
10210,12.85095200,77.65745570,190,0.00000,0.00000,0,0
11209,12.85095200,77.65745570,190,0.00000,0.00000,0,0
12206,12.85095200,77.65745570,190,0.00000,0.00000,0,0
13207,12.85095200,77.65745570,190,0.00000,0.00000,0,0
14207,12.85185320,77.65951830,1100,0.00000,0.00000,0,0
15254,12.85185320,77.65951830,1100,0.00000,0.00000,0,0
16262,12.85185320,77.65951830,1100,0.00000,0.00000,0,0
17254,12.85185320,77.65951830,1100,0.00000,0.00000,0,0
18258,12.85185320,77.65951830,1100,0.00000,0.00000,0,0
19256,12.85185320,77.65951830,1100,0.00000,0.00000,0,0
20260,12.85185320,77.65951830,1100,0.00000,0.00000,0,0
21256,12.85185320,77.65951830,1100,0.00000,0.00000,0,0
22313,12.85185320,77.65951830,1100,0.00000,0.00000,0,0
23304,12.85185320,77.65951830,1100,0.00000,0.00000,0,0
24306,12.85185320,77.65951830,1100,0.00000,0.00000,0,0
25310,12.85185320,77.65951830,1100,0.00000,0.00000,0,0
26355,12.85185320,77.65951830,1100,0.00000,0.00000,0,0
27358,12.85185320,77.65951830,1100,0.00000,0.00000,0,0
28367,12.85185320,77.65951830,1100,0.00000,0.00000,0,0
29404,12.85185320,77.65951830,1100,0.00000,0.00000,0,0
30406,12.85185320,77.65951830,1100,0.00000,0.00000,0,0
31728,12.85185320,77.65951830,1100,0.00000,0.00000,0,0
32418,12.85185320,77.65951830,1100,0.00000,0.00000,0,0
33423,12.85185320,77.65951830,1100,0.00000,0.00000,0,0
34464,12.85185320,77.65951830,1100,0.00000,0.00000,0,0
35456,12.85185320,77.65951830,1100,0.00000,0.00000,0,0
36502,12.77224580,77.64965190,83,0.00000,0.00000,0,0
37503,12.77224580,77.64965190,83,0.00000,0.00000,0,0
38503,12.77224580,77.64965190,83,0.00000,0.00000,0,0
39503,12.77224580,77.64965190,83,0.00000,0.00000,0,0
40503,12.77224580,77.64965190,83,0.00000,0.00000,0,0
41506,12.77224580,77.64965190,101,0.00000,0.00000,0,0
42509,12.77224580,77.64965190,101,0.00000,0.00000,0,0
43551,12.77224580,77.64965190,101,0.00000,0.00000,0,0
44552,12.77224580,77.64965190,101,0.00000,0.00000,0,0
45553,12.77224580,77.64965190,101,0.00000,0.00000,0,0
