time,x,y,z
49,0.00084,-0.07823,-0.03561
99,-0.11232,0.10014,-0.06383
150,-0.02534,-0.22769,-0.12503
199,-0.13603,0.10242,-0.09747
250,-0.11989,0.24692,-0.12207
299,0.08899,0.11868,-0.18513
349,-0.08003,-0.03696,-0.04889
399,-0.21648,0.02766,0.06256
449,-0.05782,-0.01521,0.06017
499,-0.04828,0.04507,0.05681
549,-0.01573,0.03154,0.09755
599,0.07796,0.10503,0.11739
650,-0.02058,-0.09909,0.10121
700,-0.03804,0.07896,0.10880
750,0.02666,0.11014,0.06169
802,0.02304,0.06239,0.02670
850,-0.04483,0.04716,0.04588
905,0.03534,-0.10019,0.04437
949,0.02827,0.23708,0.06058
1000,0.01836,-0.00754,-0.02242
1050,0.03275,0.03452,0.05965
1099,-0.06714,0.08475,0.05385
1152,0.08842,0.06960,-0.01511
1200,-0.02835,0.03894,0.03105
1250,-0.03439,-0.14597,0.03790
1301,-0.02304,0.12846,0.04503
1349,0.02750,0.12933,-0.05960
1400,0.04446,0.04599,0.00343
1450,-0.11079,0.03986,0.03625
1500,0.04698,0.01166,-0.00620
1550,0.06714,0.26547,0.01329
1600,0.00702,-0.09531,0.00659
1650,-0.03951,0.17462,0.07986
1701,-0.00665,0.01910,0.02538
1750,0.07404,0.00621,0.07527
1801,-0.08961,-0.01736,0.08115
1849,0.06700,-0.04745,0.02177
1899,0.09384,0.07350,0.03638
1957,-0.02936,-0.01582,0.02458
2001,-0.02702,0.01981,-0.04004
2049,0.06276,0.09532,-0.04233
2099,0.06711,0.06892,-0.00729
2149,-0.09850,0.19725,0.05278
2200,-0.01028,-0.22470,-0.00662
2249,0.02238,0.05899,0.09663
2299,-0.09724,-0.17964,0.02657
2349,0.02924,0.05669,-0.02148
2400,0.13036,-0.00050,-0.00774
2449,-0.07005,-0.08740,0.12177
2498,-0.16791,-0.02840,0.09264
2549,0.06004,0.19456,-0.02171
2600,0.14325,0.12282,-0.02303
2650,-0.11943,0.10509,0.03825
2699,0.07558,-0.08116,-0.01147
2749,0.11961,-0.17763,0.15767
2800,-0.15071,-0.01039,0.12219
2850,0.01645,-0.16130,-0.02583
2900,0.21123,0.25667,-0.09926
2949,-0.00749,0.07211,-0.06070
3006,-0.04619,0.04164,-0.11902
3050,0.07564,0.07837,-0.08821
3100,0.01134,0.11687,-0.00937
3149,0.01527,-0.20071,-0.01187
3200,0.02478,-0.00499,-0.08301
3249,0.01645,-0.08971,-0.05833
3300,0.00731,-0.07666,-0.01358
3350,-0.09850,-0.13655,-0.02176
3400,0.04436,0.03809,-0.07639
3450,0.09866,0.15335,-0.07292
3500,-0.02786,0.26302,-0.09743
3549,0.09528,0.15971,-0.04103
3598,-0.01607,0.03421,0.13599
3649,-0.04468,-0.25502,0.20389
3700,-0.00728,0.02539,0.18828
3750,0.02972,0.16406,0.16615
3800,0.08510,-0.05923,0.05171
3850,-0.11461,-0.23477,0.13905
3899,-0.05611,-0.05679,0.09673
3950,0.12958,0.13882,-0.08990
3999,0.08185,0.12083,-0.18146
4053,-0.03920,0.17175,-0.11017
4100,0.01584,-0.02623,-0.15189
4149,0.00841,-0.22762,-0.01724
4199,-0.20107,0.17949,-0.00325
4249,0.05188,0.14597,-0.15840
4302,0.14168,-0.16496,-0.09395
4349,-0.22789,-0.29874,0.01752
4400,-0.04384,-0.24948,-0.06859
4449,0.14357,0.13643,-0.08319
4499,0.02858,0.15277,-0.11423
4550,-0.02927,-0.05927,0.02512
4600,-0.08830,-0.15700,0.13194
4650,-0.07303,-0.20824,0.08423
4700,0.03952,0.37086,0.07738
4751,0.15813,0.24442,-0.05704
4800,0.00826,-0.33192,-0.00221
4849,-0.16032,-0.07259,0.07111
4900,0.10228,0.16014,0.02934
4950,0.09631,0.04733,-0.05698
5001,-0.11028,-0.12166,-0.05482
5050,0.01268,0.06635,-0.02644
5109,0.04619,0.40530,-0.05115
5149,-0.04517,-0.03880,-0.08444
5199,-0.12383,-0.21912,0.06674
5249,-0.16992,-0.37537,0.07996
5300,0.10764,0.20183,0.02025
5351,0.12175,0.48769,-0.08275
5400,-0.01187,0.34612,-0.22073
5450,0.01735,-0.56784,-0.00107
5500,-0.24194,0.05418,0.27585
5550,-0.07022,0.15347,-0.00137
5601,0.18105,0.18797,-0.15930
5649,-0.02142,0.17955,-0.03561
5700,-0.07336,-0.35086,0.07278
5749,-0.11543,-0.37697,0.15192
5800,-0.15256,-0.13908,0.03413
5850,0.12666,0.32440,-0.06429
5899,0.10736,0.09686,-0.11951
5950,-0.05740,-0.02394,0.01357
5999,-0.04768,-0.01225,0.10783
6049,-0.06252,-0.21165,0.09294
6099,0.04494,0.17784,-0.03116
6152,0.12776,0.24394,-0.09271
6200,0.05345,-0.03766,-0.03511
6249,-0.11829,-0.24915,0.05722
6299,-0.03070,0.08464,0.08040
6349,0.04721,-0.16515,0.00728
6399,0.01642,-0.06961,-0.03773
6448,0.00975,0.08798,-0.01608
6499,0.04202,0.04938,0.02087
6550,-0.00298,-0.10028,0.06807
6600,-0.03340,0.07147,0.07953
6650,0.09335,-0.03047,0.03780
6700,0.03532,0.08733,0.04205
6749,0.01300,0.00589,0.00592
6800,0.10017,0.03442,0.05792
6850,-0.04182,-0.20261,0.07249
6901,-0.02003,0.01262,0.03587
6951,0.11235,-0.02097,-0.05238
7000,0.05774,0.02792,-0.05371
7050,0.02989,0.23332,-0.01363
7099,-0.00403,0.01865,-0.00363
7158,0.00548,0.10231,-0.00381
7199,-0.01418,0.27193,-0.03880
7249,0.05977,0.13699,-0.04059
7299,-0.09535,-0.30750,0.03165
7350,-0.09096,-0.00534,-0.04037
7399,0.12592,0.15038,-0.12175
7451,-0.04158,-0.12312,-0.10652
7500,-0.09392,-0.24063,-0.10443
7549,0.11446,0.13974,-0.05293
7599,0.07161,0.12448,0.00626
7650,-0.07813,-0.17691,0.01141
7702,-0.00731,-0.30447,0.09769
7750,0.02850,-0.06607,0.09592
7799,0.00305,0.21910,-0.00034
7850,-0.07796,0.22559,-0.01607
7899,-0.06859,-0.32994,0.16574
7950,-0.15993,-0.02565,0.23946
7999,-0.13927,0.12686,0.06575
8049,0.08180,0.05328,-0.10767
8099,-0.06804,0.06444,-0.00076
8155,-0.06400,0.00052,0.09785
8199,-0.03209,-0.11450,0.12094
8249,-0.06207,0.03380,0.03125
8299,0.10843,0.41026,-0.04126
8350,0.13011,0.52087,-0.10056
8400,-0.06053,-0.25519,0.10667
8449,-0.31108,-0.45885,0.23050
8500,-0.03000,-0.37196,0.05298
8549,0.27185,0.22302,0.04042
8599,0.14560,0.24733,-0.18739
8649,0.07343,-0.18147,-0.13678
8700,-0.04578,-0.00906,0.15927
8751,-0.02103,0.07858,0.15305
8799,0.16087,0.20390,-0.05612
8849,0.08504,0.11850,-0.13152
8901,0.07962,0.04967,-0.01663
8949,0.00316,-0.33272,0.09990
8999,-0.04286,-0.11737,0.01450
9049,0.17296,-0.02060,-0.10114
9099,0.10500,0.02876,-0.04666
9153,-0.08063,0.01479,-0.06110
9200,0.05658,0.03922,-0.04349
9249,0.03848,-0.14185,0.01271
9299,-0.08562,0.23085,-0.01511
9348,0.12074,0.35420,-0.08943
9399,-0.01616,-0.71147,0.03542
9449,-0.15536,-0.13243,0.02226
9499,0.06694,0.40218,0.00522
9549,0.07962,-0.12506,-0.21944
9598,0.01559,0.02220,-0.06438
9648,-0.10966,0.02200,0.02730
9699,-0.00932,-0.10490,0.05836
9750,-0.08495,-0.22011,-0.06491
9802,0.08324,0.01064,-0.07599
9850,0.11227,0.11754,-0.08800
9900,-0.09778,0.22916,-0.15385
9950,0.05945,0.03943,-0.15956
10000,0.03558,0.07057,0.04315
10050,-0.20461,0.10567,0.04366
10099,0.07562,0.00978,0.04414
10149,-0.04335,-0.36783,0.06961
10209,-0.22667,-0.12862,0.00357
10249,0.14600,-0.01762,-0.07840
10299,0.16179,0.24527,-0.07269
10350,0.01199,0.05121,-0.10506
10399,-0.00169,-0.07088,0.05676
10449,-0.10756,0.07516,0.04617
10499,0.02277,0.39742,-0.05299
10550,0.09068,0.17552,0.00977
10599,-0.18207,-0.26186,0.08830
10650,-0.10817,-0.06641,0.10768
10699,0.11516,-0.00433,0.09828
10751,-0.03670,-0.13777,0.02446
10801,0.03607,0.09354,-0.04260
10851,0.08475,-0.00812,0.05231
10900,-0.03844,0.18604,0.09460
10950,-0.05125,-0.22972,0.02303
11000,0.02065,-0.07710,0.09778
11049,-0.13899,0.09225,-0.01253
11099,-0.01466,-0.03023,-0.04779
11150,0.02402,-0.22206,0.05020
11208,-0.11751,0.07254,-0.01932
11249,0.02589,-0.02365,-0.01279
11300,-0.02057,0.02782,0.07265
11349,-0.00546,-0.00832,-0.05782
11399,0.14691,0.03616,-0.05896
11449,0.00598,0.00899,-0.04439
11499,0.00130,0.14925,-0.12207
11551,0.11066,-0.10037,-0.08730
11600,-0.03886,0.08125,-0.02129
11651,-0.01030,-0.12392,-0.09540
11702,0.14748,-0.00255,-0.06958
11749,-0.04218,0.09363,-0.07790
11800,0.05080,0.16515,-0.08577
11850,0.09200,0.12212,-0.01308
11900,-0.05156,0.06996,0.03183
11950,-0.01820,-0.10629,0.02492
12002,0.05779,0.02373,0.02870
12049,-0.01047,-0.01765,-0.07176
12099,0.10046,-0.27563,-0.02838
12149,-0.03857,-0.01952,0.00490
12204,0.00070,0.06941,-0.07962
12249,0.05463,-0.16818,-0.07593
12299,-0.06821,0.11369,-0.04439
12349,-0.04401,-0.03833,-0.06703
12400,-0.01532,-0.03738,0.01079
12451,-0.05077,0.05673,-0.02602
12499,0.08727,0.07793,-0.03992
12550,-0.04808,0.00896,0.00746
12600,-0.08182,0.08351,-0.00182
12650,0.02911,0.03809,0.01918
12700,-0.07123,-0.03046,0.03600
12749,-0.08760,0.05852,-0.04422
12799,0.04193,-0.06380,-0.04500
12849,-0.09435,0.05624,0.02368
12899,-0.12114,-0.12326,0.00551
12950,0.00043,-0.05533,0.04048
13000,-0.03752,0.13374,0.00003
13049,-0.04599,0.07333,-0.03484
13099,-0.02463,-0.16368,0.03644
13149,-0.09258,-0.07559,0.09074
13206,-0.01144,0.15721,0.05150
13249,0.05484,0.22977,0.03708
13299,-0.06706,0.10559,0.03253
13350,0.00813,0.06732,0.07567
13399,-0.03571,-0.03041,0.08646
13449,-0.00328,0.09706,0.04510
13500,0.03740,-0.14925,0.07289
13550,-0.09402,-0.07834,0.12569
13599,0.01442,-0.04694,0.02440
13650,0.11314,-0.18671,0.01163
13699,-0.00615,0.04694,0.00430
13749,0.00504,0.23248,-0.01401
13799,0.01440,0.04393,0.00755
13849,-0.03879,0.17540,-0.06911
13900,0.03967,0.06337,-0.13033
13950,-0.04729,0.15050,-0.01106
13999,-0.14067,0.05713,-0.02911
14049,0.05383,-0.06392,-0.03227
14100,0.04706,-0.01244,0.04645
14150,0.00000,0.04701,0.08167
14207,0.01006,-0.10077,0.04294
14249,-0.02356,-0.15573,0.03191
14299,0.04181,0.20123,-0.02185
14350,0.19566,-0.13623,-0.08693
14400,0.07486,-0.18024,-0.00790
14451,-0.06287,-0.12047,0.00186
14499,0.04002,-0.03908,-0.04843
14549,0.06850,-0.13713,-0.03430
14600,0.02538,-0.10443,0.01346
14650,0.03432,0.01172,0.03166
14701,0.03664,0.13174,-0.01642
14750,0.04666,-0.03160,-0.02200
14801,0.05130,-0.17793,0.03775
14850,-0.00215,0.11922,0.06622
14901,0.06795,-0.12720,-0.01976
14950,0.13586,-0.12532,0.00848
15001,-0.00407,0.05751,0.06262
15050,-0.05092,-0.11368,0.05809
15100,-0.05627,-0.25702,0.05409
15150,0.03636,0.12216,-0.06238
15200,0.13107,0.17786,-0.16837
15254,0.05109,-0.02754,-0.10149
15299,-0.01447,-0.12811,-0.01732
15349,0.05588,-0.06284,0.03249
15400,0.02281,-0.10562,-0.02316
15449,0.03722,0.03732,-0.08510
15500,0.04811,-0.02538,-0.06462
15549,-0.13028,-0.16742,0.02917
15601,-0.12360,0.21841,0.01463
15650,0.09010,0.32237,-0.07739
15701,0.00763,0.01184,0.07204
15749,-0.19504,0.08746,0.15948
15800,-0.12662,-0.25491,0.07895
15851,0.01700,-0.13028,0.16682
15899,-0.11043,-0.02092,0.07193
15949,0.01958,-0.03157,-0.02287
16001,-0.00546,-0.19046,0.10161
16049,-0.12105,0.02313,0.00270
16099,0.08119,0.07037,-0.12196
16149,0.03036,0.18579,-0.03723
16199,-0.13608,0.09627,-0.07416
16260,-0.00299,0.11511,-0.03725
16299,-0.05357,0.24828,-0.00937
16349,-0.04149,0.15289,-0.07181
16399,0.03723,0.08830,0.02313
16450,-0.15286,-0.12297,0.06357
16499,-0.06339,0.18567,0.04935
16549,0.08307,0.02924,-0.06696
16600,-0.05577,-0.04929,-0.00139
16650,-0.05167,-0.01389,0.04462
16699,0.06329,0.19312,0.03456
16750,0.00104,-0.06087,-0.02176
16800,-0.01056,0.30870,0.01009
16849,-0.00739,-0.01509,-0.00201
16900,-0.15500,-0.23198,0.16730
16949,-0.24638,-0.09499,0.11845
16999,0.16840,0.27196,0.02528
17049,0.19002,0.25145,0.02095
17100,-0.00188,-0.05643,0.04794
17149,0.07422,-0.13052,0.18724
17199,0.02315,-0.17903,0.16821
17253,0.18681,0.05875,0.00679
17300,0.18208,-0.03615,-0.10332
17348,0.06155,-0.06288,-0.00728
17399,-0.07791,-0.01810,-0.01167
17450,0.07722,-0.03363,-0.09894
17499,0.02477,-0.17842,-0.13513
17549,0.08742,-0.00351,-0.07573
17600,-0.00874,-0.17554,-0.06512
17650,0.00945,-0.03734,-0.04648
17699,0.10434,0.14459,-0.05840
17749,0.07808,0.07819,-0.07602
17799,0.06607,0.00842,0.01128
17849,0.01744,0.28967,0.04596
17899,-0.01405,0.01576,0.05815
17949,-0.09294,-0.04474,0.12384
18000,-0.11624,-0.11411,0.00630
18050,0.06146,0.11418,-0.10011
18100,0.07533,0.07605,-0.12595
18150,-0.02745,0.09502,-0.11906
18200,-0.14955,-0.47337,-0.04968
18257,-0.07887,0.18727,-0.02246
18299,0.08713,0.42656,-0.23795
18349,0.21964,0.33408,-0.22812
18400,-0.01479,-0.29704,-0.06122
18452,-0.22229,-0.37299,0.21277
18499,-0.04015,0.04424,0.09468
18549,0.28311,0.12517,-0.13017
18600,0.08266,0.00020,-0.10905
18650,-0.08580,0.03282,-0.00322
18699,-0.01364,0.02905,0.00275
18749,-0.04852,0.08629,-0.03020
18800,-0.00241,0.02487,-0.03485
18849,0.01125,0.07713,0.00052
18901,-0.07683,-0.19995,0.01292
18949,-0.08452,-0.00539,0.01576
19001,0.06828,0.06923,-0.06122
19049,0.04730,0.11362,-0.05168
19099,-0.10324,0.00255,-0.01640
19150,-0.02893,0.15649,0.01134
19201,-0.06824,-0.00513,0.04431
19253,-0.06656,0.00922,0.12787
19298,-0.06357,-0.05098,0.11089
19349,0.00909,-0.00356,0.10765
19399,0.04076,-0.07198,0.05699
19450,0.04077,-0.20488,0.09378
19500,-0.02580,0.17946,0.04633
19550,0.04416,0.01849,-0.06963
19599,0.06140,-0.18001,0.03642
19650,-0.18182,0.14584,-0.00890
19699,0.08691,-0.03369,-0.11407
19750,-0.00105,-0.00180,-0.04053
19801,-0.06326,-0.29594,0.01860
19850,-0.14960,0.16425,-0.02647
19901,-0.01370,0.07974,-0.21555
19949,0.31023,0.31079,-0.21527
20001,-0.03818,0.74120,-0.11497
20049,-0.27354,0.04597,-0.06494
20100,-0.03279,0.26079,0.25394
20150,-0.17004,-0.50366,0.14433
20199,0.12778,-0.43765,-0.03755
20260,0.14102,-0.28818,-0.10699
20299,0.06818,-0.14580,-0.16551
20349,0.10765,0.04129,0.05144
20399,-0.10304,-0.00226,0.16621
20450,-0.12048,0.18118,0.04623
20500,0.15152,0.55756,-0.13603
20550,0.16171,0.25778,-0.18605
20599,0.10365,0.57753,-0.02786
20650,-0.08673,0.07454,0.13242
20699,-0.18855,-0.25601,0.28198
20750,-0.03564,-0.38075,0.10840
20799,0.21204,0.01204,0.00887
20849,0.17468,-0.35544,-0.22189
20900,0.08636,-0.59767,-0.16866
20950,-0.01750,0.08086,-0.02429
21001,0.01109,0.28403,-0.15234
21050,0.09021,0.65730,-0.16531
21100,-0.12253,0.04311,-0.15762
21149,-0.15025,0.41147,0.00317
21200,-0.07094,-0.14355,-0.06761
21253,0.04333,-0.24458,0.03967
21299,-0.09731,0.18523,0.08260
21349,0.13953,-0.27795,0.06084
21399,0.10220,-0.09886,0.19740
21450,-0.10818,-0.20714,0.11174
21500,-0.10248,0.42958,0.03070
21549,0.14188,0.33490,0.02737
21600,-0.07907,-0.01053,0.17735
21651,-0.24423,0.18204,0.09637
21702,0.37187,0.03548,0.01157
21750,0.00742,-0.30457,0.10880
21801,-0.23444,-0.32034,0.07802
21850,0.17522,-0.11971,-0.07512
21899,0.20930,-0.31981,-0.08766
21949,-0.11105,0.17233,-0.03937
21999,-0.04399,0.15273,-0.01085
22049,0.02548,0.07274,0.13771
22101,-0.13567,0.25449,0.14561
22149,0.10881,-0.02061,0.18225
22199,0.01230,-0.13492,0.27080
22249,-0.03552,-0.11002,0.18492
22312,0.17050,-0.15924,0.07631
22349,0.13606,0.04608,0.01439
22399,0.03119,-0.01019,-0.06258
22449,0.12778,0.03424,-0.02675
22501,-0.01927,0.17506,-0.03459
22549,0.03360,0.06654,-0.07994
22599,0.08394,0.06866,-0.06569
22649,0.00862,0.13431,-0.08815
22700,0.08940,-0.12115,-0.02316
22749,-0.06071,-0.14005,0.05594
22801,-0.05432,0.02113,-0.03387
22852,0.11148,-0.13033,-0.05403
22900,-0.06195,0.04839,-0.00487
22949,-0.07535,0.17969,-0.02750
23000,0.07846,0.15102,0.08511
23049,-0.10435,0.02199,0.16170
23099,-0.00725,0.03110,0.15923
23149,0.11870,-0.07738,0.20709
