time,azimuth
9,133
58,134
108,139
158,141
208,137
260,136
308,141
358,141
408,134
458,144
508,143
558,127
608,134
662,143
716,136
758,125
808,138
859,136
908,120
958,130
1008,129
1059,129
1109,127
1158,110
1208,116
1258,122
1308,109
1358,111
1408,130
1459,119
1508,115
1559,124
1609,124
1658,124
1714,128
1758,123
1808,98
1858,94
1908,94
1957,92
2008,114
2058,109
2108,105
2159,95
2209,115
2259,109
2309,106
2358,113
2409,104
2458,111
2508,104
2559,84
2608,105
2658,105
2713,107
2758,99
2808,105
2858,111
2908,93
2958,80
3008,104
3059,101
3108,102
3159,100
3209,75
3258,87
3309,94
3359,89
3408,80
3459,98
3508,110
3558,95
3609,58
3658,74
3712,57
3780,84
3808,65
3858,80
3909,93
3959,59
4009,51
4058,61
4109,88
4159,78
4208,65
4258,72
4309,65
4358,70
4408,44
4458,62
4509,89
4558,88
4608,94
4660,69
4713,107
4763,99
4808,65
4859,109
4908,83
4958,75
5008,55
5058,104
5109,86
5158,50
5208,96
5259,106
5309,57
5359,75
5409,55
5458,70
5509,71
5558,75
5608,66
5658,60
5708,62
5764,55
5808,59
5858,71
5908,88
5958,46
6008,50
6059,67
6108,81
6160,53
6208,61
6258,59
6309,86
6359,58
6408,64
6459,88
6508,64
6558,52
6609,71
6659,52
6708,56
6759,38
6812,55
6858,73
6909,47
6958,54
7008,76
7060,47
7109,39
7159,75
7209,59
7259,35
7309,104
7359,62
7408,30
7459,121
7508,37
7558,40
7609,60
7658,45
7708,39
7759,29
7815,52
7858,62
7908,34
7959,47
8010,60
8058,29
8108,48
8158,49
8209,36
8259,52
8309,46
8358,39
8408,34
8459,44
8508,42
8559,42
8608,42
8658,42
8708,45
8759,44
8808,53
8862,49
8908,39
8959,103
9008,99
9059,35
9108,28
9158,74
9208,130
9259,34
9309,48
9358,75
9408,134
9458,134
9508,70
9558,55
9609,100
9658,116
9708,30
9759,56
9808,96
9863,26
9908,28
9959,48
10009,41
10058,99
10108,70
10160,36
10208,53
10259,39
10309,39
10358,53
10408,49
10458,56
10508,60
10559,47
10609,52
10658,45
10708,42
10759,42
10810,77
10863,72
10908,45
10959,63
11008,56
11059,39
11109,38
11159,34
11208,36
11259,38
11309,33
11359,41
11408,33
11459,41
11508,36
11559,32
11608,41
11658,41
11709,42
11758,36
11808,40
11863,38
11908,35
11958,71
12008,47
12058,30
12109,38
12159,32
12209,33
12258,38
12308,44
12359,36
12409,37
12459,51
12509,35
12558,36
12609,47
12658,35
12708,41
12758,53
12809,41
12861,36
12908,49
12959,47
13009,34
13059,55
13108,47
13159,39
13208,70
13259,66
13309,40
13359,57
13409,62
13459,50
13509,59
13558,54
13609,52
13658,62
13709,48
13758,47
13808,49
13862,48
13908,64
13959,43
14008,45
14060,67
14109,40
14158,84
14209,39
14259,27
14308,63
14358,57
14408,45
14458,42
14509,32
14559,65
14608,40
14658,41
14708,84
14758,43
14808,43
14862,50
14907,43
14959,70
15008,40
15060,69
15109,42
15158,25
15208,73
15258,61
15308,38
15358,31
15409,55
15459,32
15509,48
15559,35
15610,23
15658,35
15708,16
15763,28
15809,27
15861,21
15913,30
15959,32
16008,18
16059,47
16108,18
16159,19
16208,28
16259,23
16309,21
16358,23
16409,23
16459,25
16511,63
16558,18
16610,28
16660,72
16711,19
16758,32
16810,20
16859,21
16914,20
16961,40
17008,23
17059,35
17109,17
17159,41
17209,24
17259,16
17309,25
17358,20
17408,26
17460,18
17509,16
17561,28
17609,21
17659,22
17708,21
17758,20
17808,30
17858,18
17917,30
17960,46
18008,20
18058,34
18109,22
18160,18
18208,37
18259,32
18309,24
18359,25
18411,24
18460,32
18509,25
18559,30
18609,35
18659,21
18708,37
18759,32
18810,27
18859,35
18910,35
18963,30
19008,36
19059,28
19109,46
19159,46
19214,30
19260,51
19309,34
19360,21
19408,36
19458,26
19508,20
19560,30
19609,30
19658,23
19709,36
19758,35
19811,40
19858,33
19909,23
19958,24
20013,26
20058,32
20108,31
20159,25
20209,75
20260,29
20310,31
20360,88
20408,17
20458,23
20509,24
20560,22
20608,33
20659,28
20709,19
20760,20
20810,12
20860,26
20909,26
20959,15
21011,12
21059,15
21109,16
21160,20
21208,21
21260,27
21309,15
21359,12
21408,11
21459,43
21509,12
21560,13
21608,20
21658,11
21708,19
21760,96
21809,10
21858,21
21909,14
21959,18
22013,11
22058,18
22108,37
22158,7
22210,54
22259,107
22309,8
22358,54
22409,9
22459,7
22509,4
22560,20
22608,11
