time,lat,lng,accuracy,altitude,speed,satellites in view,satellites in use
717,12.85006270,77.66257470,93,0.00000,0.00000,0,0
1714,12.85006270,77.66257470,93,0.00000,0.00000,0,0
2713,12.85006270,77.66257470,93,0.00000,0.00000,0,0
3712,12.85006270,77.66257470,93,0.00000,0.00000,0,0
4713,12.85006270,77.66257470,93,0.00000,0.00000,0,0
5764,12.85091340,77.66202370,800,0.00000,0.00000,0,0
6812,12.85091340,77.66202370,800,0.00000,0.00000,0,0
7815,12.85091340,77.66202370,800,0.00000,0.00000,0,0
8862,12.85091340,77.66202370,800,0.00000,0.00000,0,0
9863,12.85091340,77.66202370,800,0.00000,0.00000,0,0
10864,12.85091340,77.66202370,800,0.00000,0.00000,0,0
11863,12.85091340,77.66202370,800,0.00000,0.00000,0,0
12861,12.85091340,77.66202370,800,0.00000,0.00000,0,0
13863,12.85091340,77.66202370,800,0.00000,0.00000,0,0
14862,12.85091340,77.66202370,800,0.00000,0.00000,0,0
15913,12.85091340,77.66202370,800,0.00000,0.00000,0,0
16914,12.85091340,77.66202370,800,0.00000,0.00000,0,0
17917,12.85091340,77.66202370,800,0.00000,0.00000,0,0
18963,12.85091340,77.66202370,800,0.00000,0.00000,0,0
20013,12.85091340,77.66202370,800,0.00000,0.00000,0,0
21011,12.85037340,77.66392290,60,0.00000,0.00000,0,0
22013,12.85037340,77.66392290,60,0.00000,0.00000,0,0
23014,12.85037340,77.66392290,60,0.00000,0.00000,0,0
24016,12.85037340,77.66392290,60,0.00000,0.00000,0,0
25065,12.85037340,77.66392290,60,0.00000,0.00000,0,0
26061,12.85037340,77.66392290,67,0.00000,0.00000,0,0
27062,12.85037340,77.66392290,67,0.00000,0.00000,0,0
28062,12.85037340,77.66392290,67,0.00000,0.00000,0,0
29114,12.85037340,77.66392290,67,0.00000,0.00000,0,0
30116,12.85037340,77.66392290,67,0.00000,0.00000,0,0
31117,12.85106100,77.66379900,35,0.00000,0.00000,0,0
32112,12.85106100,77.66379900,35,0.00000,0.00000,0,0
33116,12.85106100,77.66379900,35,0.00000,0.00000,0,0
34114,12.85106100,77.66379900,35,0.00000,0.00000,0,0
35115,12.85113560,77.66372880,33,0.00000,0.00000,0,0
36111,12.85113560,77.66372880,33,0.00000,0.00000,0,0
37117,12.85113560,77.66372880,33,0.00000,0.00000,0,0
38117,12.85113560,77.66372880,33,0.00000,0.00000,0,0
39114,12.85113560,77.66372880,33,0.00000,0.00000,0,0
40114,12.85113560,77.66372880,33,0.00000,0.00000,0,0
41118,12.85113560,77.66372880,33,0.00000,0.00000,0,0
42115,12.85113560,77.66372880,33,0.00000,0.00000,0,0
43162,12.85113560,77.66372880,33,0.00000,0.00000,0,0
44166,12.85113560,77.66372880,33,0.00000,0.00000,0,0
45162,12.85114640,77.66370280,34,0.00000,0.00000,0,0
46165,12.85114640,77.66370280,34,0.00000,0.00000,0,0
47165,12.85114640,77.66370280,34,0.00000,0.00000,0,0
48215,12.85114640,77.66370280,34,0.00000,0.00000,0,0
49266,12.85114640,77.66370280,34,0.00000,0.00000,0,0
50262,12.85114640,77.66370280,34,0.00000,0.00000,0,0
51265,12.85114640,77.66370280,34,0.00000,0.00000,0,0
52262,12.85114640,77.66370280,34,0.00000,0.00000,0,0
53262,12.85114640,77.66370280,34,0.00000,0.00000,0,0
54310,12.85114640,77.66370280,34,0.00000,0.00000,0,0
55313,12.85114640,77.66370280,34,0.00000,0.00000,0,0
56317,12.85107820,77.66393110,83,0.00000,0.00000,0,0
57312,12.85107820,77.66393110,83,0.00000,0.00000,0,0
58318,12.85107820,77.66393110,83,0.00000,0.00000,0,0
59316,12.85107820,77.66393110,83,0.00000,0.00000,0,0
60361,12.85107820,77.66393110,83,0.00000,0.00000,0,0
61365,12.85174910,77.66432880,92,0.00000,0.00000,0,0
62365,12.85174910,77.66432880,92,0.00000,0.00000,0,0
63412,12.85174910,77.66432880,92,0.00000,0.00000,0,0
64463,12.85174910,77.66432880,92,0.00000,0.00000,0,0
65462,12.85180120,77.66459270,36,0.00000,0.00000,0,0
66513,12.85180120,77.66459270,36,0.00000,0.00000,0,0
67562,12.85180120,77.66459270,36,0.00000,0.00000,0,0
