time,x,y,z
9,-0.05704,-0.15196,-0.25346
58,-0.12097,0.15622,-0.24113
108,-0.06841,-0.12086,-0.16022
158,-0.07898,0.05640,-0.08502
208,-0.11537,0.18677,-0.12566
259,0.02097,0.31978,-0.04419
307,-0.06047,-0.00667,0.05818
358,-0.12137,0.40186,0.10701
408,0.05984,0.08688,0.21947
458,-0.05589,-0.14319,0.30270
508,-0.00780,0.17984,0.35483
558,0.26288,0.36255,0.29655
607,0.32321,0.21216,0.36375
662,-0.01842,-0.08594,0.46495
716,-0.09987,0.24088,0.54347
758,0.22949,-0.31372,0.55453
808,-0.02306,-0.36992,0.62381
858,0.07773,-0.17216,0.69031
908,0.45087,0.65923,0.60873
958,0.32133,-0.20779,0.48357
1008,0.07269,-0.00540,0.59636
1059,0.22093,-0.04912,0.49782
1109,0.38478,0.25395,0.19540
1158,0.49901,0.20398,0.09517
1208,0.27162,-0.04657,0.18532
1258,0.03139,-0.08731,0.23009
1307,0.22528,-0.03548,0.19415
1358,0.34546,-0.04826,0.22231
1408,0.03535,-0.31447,0.31134
1458,-0.00261,-0.11320,0.30998
1508,0.31836,0.01041,0.29378
1559,0.13295,-0.16464,0.33842
1608,0.02655,-0.26305,0.36247
1658,0.24651,-0.09384,0.35953
1714,0.24942,0.15332,0.34891
1758,0.14616,0.20558,0.36320
1808,0.23021,0.44162,0.34979
1858,0.20285,0.16768,0.36343
1908,0.09561,0.05273,0.42250
1957,0.19513,-0.32518,0.35750
2007,0.13266,-0.37161,0.35030
2057,0.08807,-0.02786,0.34541
2108,0.37892,0.20847,0.27876
2158,0.42097,-0.13162,0.25148
2209,0.01671,-0.25203,0.22621
2259,-0.05606,-0.07625,0.20447
2308,0.18320,-0.20380,0.17236
2358,0.16968,-0.16479,0.10973
2408,0.10080,-0.18091,0.02591
2458,0.11475,0.06078,0.00656
2508,0.14268,0.44238,-0.00345
2558,0.19897,-0.09253,0.07451
2607,0.10040,-0.01880,0.28619
2658,0.12885,-0.17424,0.38531
2713,0.15651,-0.03874,0.39449
2758,0.11960,-0.01938,0.36430
2808,0.13968,-0.28850,0.30521
2858,0.22421,0.07220,0.26782
2908,0.23833,0.19254,0.16064
2958,0.32370,0.01663,0.16730
3008,0.10246,-0.30862,0.24445
3059,0.03427,-0.09836,0.29001
3108,0.21788,0.00752,0.23325
3159,0.19360,0.46484,0.09938
3208,0.24115,0.20618,-0.02884
3258,0.13020,0.02025,0.07672
3309,-0.09431,-0.01575,0.02457
3359,0.17230,0.09471,-0.11061
3408,0.36688,-0.06085,-0.13834
3459,0.05684,-0.27298,-0.09856
3508,0.02696,-0.02234,-0.12059
3558,0.11549,0.45714,-0.13336
3608,0.17400,0.23866,-0.15952
3658,0.06912,-0.04793,-0.00571
3712,-0.04990,-0.09967,0.21555
3779,-0.13983,-0.13484,0.29622
3808,0.08887,-0.06435,0.33788
3858,-0.06113,-0.15215,0.23010
3908,-0.02632,0.10669,0.29573
3958,0.10991,0.63954,0.30647
4009,0.33028,-0.21098,0.28371
4058,-0.01884,-0.13351,0.34067
4108,-0.09770,-0.21124,0.37201
4158,0.07860,-0.01083,0.37823
4208,0.29907,0.07115,0.26979
4258,0.17082,-0.12325,0.19122
4308,0.14998,0.02904,0.10231
4358,0.19052,0.40764,0.04073
4408,0.25874,0.05634,0.00734
4458,0.13605,-0.17624,0.04820
4508,0.01044,-0.39507,0.11592
4558,-0.05493,-0.42711,0.10672
4608,0.17076,-0.19017,0.05632
4660,0.30533,-0.02852,-0.02271
4713,0.23409,-0.13103,-0.02464
4763,-0.07448,0.37480,-0.02705
4808,0.17072,-0.12917,0.04709
4859,0.09615,0.09000,0.18845
4908,0.03198,0.02904,0.23900
4958,0.14560,0.08356,0.21916
5008,0.19398,-0.05505,0.18903
5058,-0.01730,-0.36844,0.11295
5108,0.02881,0.32834,0.12715
5158,0.18556,0.16806,0.08238
5208,-0.02016,-0.31139,0.12808
5259,-0.20093,-0.00949,0.05602
5308,0.10081,0.17537,0.04745
5359,0.05432,-0.05318,0.06639
5409,-0.04953,-0.12587,0.05968
5458,-0.00066,-0.03241,0.10672
5508,0.05588,-0.05922,0.14711
5557,-0.03188,-0.02907,0.08537
5608,0.15030,0.24475,0.06094
5658,0.14983,0.17352,0.01700
5708,0.05522,0.05672,-0.08247
5763,0.16222,0.08618,-0.15100
5808,0.14038,-0.10875,-0.15231
5858,0.01926,-0.31119,-0.12610
5908,-0.01219,0.02290,-0.09760
5958,0.07915,0.21251,-0.13976
6008,0.13142,0.00323,-0.14093
6059,-0.05600,-0.00404,-0.09746
6108,-0.10088,0.20026,-0.08173
6160,0.06218,0.08797,-0.08141
6208,0.05647,0.10657,-0.05945
6258,-0.02014,-0.11665,0.00040
6309,-0.06534,0.06052,-0.02425
6359,0.02896,0.08049,-0.12227
6408,0.07431,-0.11450,-0.10114
6458,-0.14026,0.10020,-0.06917
6508,-0.04536,0.23938,-0.07323
6558,0.07515,-0.01111,-0.03455
6609,-0.13937,-0.02357,0.00517
6659,-0.14627,-0.12363,0.01018
6708,0.05602,0.14154,0.05112
6758,0.07988,0.04602,0.05339
6812,-0.17509,-0.29108,0.11958
6858,-0.18819,0.09465,0.16536
6909,0.02347,0.22537,0.14764
6958,0.06296,-0.10811,0.15372
7008,-0.05983,-0.08151,0.15681
7060,-0.05402,0.35785,0.08246
7109,0.17917,-0.36855,0.01166
7159,-0.06358,-0.01044,0.08771
7209,0.00685,0.09048,0.04997
7259,0.15189,0.06483,0.04691
7309,0.00992,-0.14561,0.01241
