time,azimuth
4,-36
54,-34
103,-27
153,-21
204,-23
254,-18
303,-22
353,-17
403,-30
454,-26
504,-12
553,-4
604,-57
654,-8
703,-12
754,-9
810,-6
858,-8
903,-31
953,-21
1003,-14
1054,-14
1103,-16
1154,-13
1204,-18
1253,-72
1304,-63
1354,-16
1403,-25
1454,-68
1503,-34
1555,-23
1603,-16
1653,-37
1703,-32
1753,-24
1803,-20
1857,-32
1903,-23
1953,-25
2003,-25
2053,-22
2103,-21
2153,-34
2203,-33
2253,-43
2303,-56
2353,-28
2404,-88
2453,-39
2504,-27
2554,-30
2604,-40
2654,-23
2704,-27
2754,-22
2806,-21
2856,-22
2903,-17
2953,-40
3004,-26
3054,-19
3105,-22
3153,-19
3204,-40
3253,-24
3304,-31
3354,-28
3403,-23
3455,-80
3504,-25
3555,-22
3604,-69
3653,-50
3703,-28
3754,-28
3804,-31
3860,-33
3904,-40
3953,-31
4004,-33
4054,-39
4105,-28
4153,-38
4204,-43
4255,-30
4304,-28
4355,-35
4404,-32
4455,-33
4503,-30
4554,-22
4603,-44
4653,-28
4703,-16
4754,-16
4803,-14
4856,-11
4903,-21
4953,-23
5004,-14
5054,-12
5105,-9
5154,-10
5203,-9
5255,-10
5304,-5
5354,-7
5404,-5
5456,-1
5504,0
5554,-1
5604,-2
5653,0
5703,8
5754,3
5803,-1
5858,-29
5904,8
5953,6
6004,12
6053,17
6106,31
6153,9
6204,6
6254,6
6304,4
6353,17
6404,5
6457,6
6504,13
6554,15
6604,20
6654,18
6704,9
6754,16
6804,10
6858,12
6902,23
6953,13
7003,7
7053,57
7104,25
7153,13
7203,10
7254,8
7303,12
7354,-176
7403,4
7454,5
7503,3
7555,8
7604,9
7654,7
7703,6
7753,4
7804,3
7860,-15
7903,1
7953,7
8004,-1
8053,0
8104,-4
8154,-7
8204,-7
8255,-9
8304,-12
8355,-22
8404,-16
8453,-23
8504,-24
8555,-23
8603,-20
8654,-31
8703,-23
8754,-31
8804,-22
8866,-26
8904,-27
8953,-28
9004,-26
9053,-35
9103,-19
9154,-26
9203,-26
9254,-24
9305,-50
9354,-42
9403,-22
9455,-33
9504,-25
9554,-25
9603,-16
9654,-49
9704,-18
9754,-30
9803,-19
9854,-47
9920,-19
9953,-21
10003,-27
10054,-20
10104,-15
10154,-50
10204,-18
10253,-16
10303,-45
10353,-60
10403,-11
10453,-24
10503,-45
10554,-12
10603,-20
10654,-27
10704,-13
10753,-41
10805,-16
10856,-13
10907,-24
10953,-40
11004,-15
11053,-29
11104,-31
11154,-22
11203,-27
11254,-18
11303,-18
11353,-25
11404,-24
11453,-16
11504,-26
11554,-25
11604,-18
11654,-24
11705,-24
11753,-15
11805,-41
11853,-24
11919,-16
11953,-14
12004,-27
12053,-15
12105,-20
12154,-17
12203,-14
12255,-24
12304,-32
12354,-17
12405,-16
12454,-18
12505,-49
12554,-22
12605,-18
12655,-23
12704,-50
12754,-23
12803,-21
12854,-19
12903,-23
12957,-23
13002,-34
13053,-30
13103,-20
13155,-47
13204,-46
13254,-26
13304,-22
13355,-64
13404,-26
13456,-44
13505,-39
13554,-27
13604,-30
13654,-34
13704,-28
13753,-29
13803,-26
13854,-23
13905,-27
13961,-27
14003,-22
14053,-34
14103,-25
14154,-22
14203,-35
14254,-39
14304,-20
14354,-24
14403,-43
14454,-25
14504,-24
14554,-29
14605,-26
14657,-37
14704,-34
14753,-23
14805,-70
14855,-24
14903,-21
14956,-57
15003,-32
15056,-23
15103,-34
15153,-34
15203,-26
15253,-36
15303,-24
15353,-41
15402,-32
15454,-30
15503,-38
15554,-33
15603,-26
15654,-33
15703,-78
15753,-24
15803,-26
15853,-34
15903,-33
15957,-25
16003,-24
16053,-23
16103,-24
16153,-31
16203,-29
16252,-28
16302,-29
16354,-33
16403,-28
16453,-37
16503,-26
16553,-23
16603,-38
16653,-29
16703,-23
16753,-27
16802,-25
16853,-20
16903,-31
16956,-35
17003,-25
17053,-19
17103,-20
17152,-25
17202,-24
17253,-28
17302,-32
17354,-23
17403,-21
17453,-19
17503,-24
17553,-26
17603,-49
17653,-60
17703,-43
17753,-21
17803,-24
17854,-27
17902,-35
17956,-26
18003,-30
18054,-17
18102,-18
18153,-20
18203,-16
18253,-17
18302,-21
18352,-23
18402,-31
18454,-24
18502,-23
18553,-16
18602,-15
18653,-23
18702,-20
18754,-13
18802,-29
18854,-23
18903,-24
18956,-24
19003,-22
19053,-22
19103,-21
19153,-23
19203,-24
19253,-27
19303,-21
19353,-25
19403,-30
19453,-23
19503,-19
19553,-27
19603,-19
19653,-18
19703,-14
19753,-22
19804,-17
19853,-11
19903,-8
19963,-18
20003,-9
20053,-5
20104,-7
20153,-6
20203,-4
20253,-4
20303,-7
20353,-4
20407,-4
20452,-5
20504,-4
20555,0
20603,0
20653,-5
20704,-1
20753,0
20803,-1
20853,-1
20903,-2
20956,-4
21003,-3
21053,-6
21103,-9
21154,-6
21203,-8
21254,-7
21303,-9
21353,-14
21403,-8
21454,-11
21504,-16
21553,-17
21603,-28
21653,-18
21703,-34
21754,-21
21803,-23
21853,-26
21903,-17
21953,-24
22010,-18
22053,-23
22103,-30
22154,-20
22203,-25
22253,-24
22304,-21
22353,-19
22403,-55
22453,-22
22503,-15
22553,-17
22604,-31
22653,-15
22703,-26
22753,-16
22804,-38
22853,-21
22903,-17
22954,-15
23003,-32
23056,-17
23103,-15
23154,-20
23203,-18
23253,-14
23302,-31
23353,-19
23403,-11
23454,-25
23503,-13
23553,-27
23603,-13
23653,-16
23702,-27
23754,-13
23803,-7
23853,-90
23903,-13
23953,-7
24003,-9
24056,-11
24104,-9
24153,-16
24203,-7
24258,-124
24303,-17
24357,-7
24404,-13
24454,-12
24503,-17
24553,-11
24603,-12
24652,-12
24703,-40
24753,-14
24803,-12
24853,-14
24903,-37
24954,-19
25004,-20
25060,-27
25103,-16
25154,-31
25203,-20
25255,-20
25303,-21
25353,-21
25405,-27
25453,-22
25503,-19
25553,-36
25604,-30
25654,-20
25704,-26
25755,-40
25803,-37
25853,-19
25903,-39
25954,-40
26003,-26
26059,-26
26106,-59
26153,-28
26203,-28
26254,-25
26304,-33
26354,-36
26404,-27
26453,-33
26504,-41
26553,-27
26604,-24
26653,-78
26704,-35
26755,-29
26803,-32
26854,-27
26907,-27
26953,-18
