time,lat,lng,accuracy,altitude,speed,satellites in view,satellites in use
810,12.85038280,77.65726870,24,840.29999,0.00000,0,0
1857,12.85038280,77.65726870,24,840.29999,0.00000,0,0
2856,12.85038280,77.65726870,24,840.29999,0.00000,0,0
3861,12.85038280,77.65726870,24,840.29999,0.00000,0,0
4856,12.85056440,77.65720490,22,0.00000,0.00000,0,0
5858,12.85056440,77.65720490,22,0.00000,0.00000,0,0
6859,12.85056440,77.65720490,22,0.00000,0.00000,0,0
7860,12.85056440,77.65720490,22,0.00000,0.00000,0,0
8866,12.85056440,77.65720490,22,0.00000,0.00000,0,0
9920,12.85056440,77.65720490,22,0.00000,0.00000,0,0
10907,12.85056440,77.65720490,22,0.00000,0.00000,0,0
11919,12.85056440,77.65720490,22,0.00000,0.00000,0,0
12957,12.85056440,77.65720490,22,0.00000,0.00000,0,0
13961,12.85056440,77.65720490,22,0.00000,0.00000,0,0
14956,12.85056440,77.65720490,22,0.00000,0.00000,0,0
15957,12.85079900,77.65721710,22,0.00000,0.00000,0,0
16957,12.85079900,77.65721710,22,0.00000,0.00000,0,0
17956,12.85079900,77.65721710,22,0.00000,0.00000,0,0
18956,12.85079900,77.65721710,22,0.00000,0.00000,0,0
19964,12.85079900,77.65721710,22,0.00000,0.00000,0,0
20956,12.85114160,77.65727150,21,0.00000,0.00000,0,0
22011,12.85114160,77.65727150,21,0.00000,0.00000,0,0
23056,12.85114160,77.65727150,21,0.00000,0.00000,0,0
24056,12.85114160,77.65727150,21,0.00000,0.00000,0,0
25060,12.85114160,77.65727150,21,0.00000,0.00000,0,0
26059,12.85114160,77.65727150,21,0.00000,0.00000,0,0
27058,12.85114160,77.65727150,21,0.00000,0.00000,0,0
28061,12.85114160,77.65727150,21,0.00000,0.00000,0,0
29117,12.85114160,77.65727150,21,0.00000,0.00000,0,0
30112,12.85114160,77.65727150,21,0.00000,0.00000,0,0
31167,12.85149010,77.65724140,20,0.00000,0.00000,0,0
32178,12.85149010,77.65724140,20,0.00000,0.00000,0,0
33214,12.85149010,77.65724140,20,0.00000,0.00000,0,0
34211,12.85149010,77.65724140,20,0.00000,0.00000,0,0
35214,12.85149010,77.65724140,20,0.00000,0.00000,0,0
36208,12.85149010,77.65724140,20,0.00000,0.00000,0,0
37207,12.85149010,77.65724140,20,0.00000,0.00000,0,0
38216,12.85149010,77.65724140,20,0.00000,0.00000,0,0
39224,12.85149010,77.65724140,20,0.00000,0.00000,0,0
40256,12.85185520,77.65717430,19,0.00000,0.00000,0,0
41265,12.85185520,77.65717430,19,0.00000,0.00000,0,0
42258,12.85185520,77.65717430,19,0.00000,0.00000,0,0
43310,12.85185520,77.65717430,19,0.00000,0.00000,0,0
44310,12.85185520,77.65717430,19,0.00000,0.00000,0,0
45310,12.85185520,77.65717430,19,0.00000,0.00000,0,0
46308,12.85185520,77.65717430,19,0.00000,0.00000,0,0
47309,12.85185520,77.65717430,19,0.00000,0.00000,0,0
48362,12.85185520,77.65717430,19,0.00000,0.00000,0,0
49357,12.85185520,77.65717430,19,0.00000,0.00000,0,0
50358,12.85222940,77.65701470,19,837.90002,0.00000,0,0
51357,12.85222940,77.65701470,19,837.90002,0.00000,0,0
52357,12.85222940,77.65701470,19,837.90002,0.00000,0,0
53361,12.85222940,77.65701470,19,837.90002,0.00000,0,0
