time,x,y,z
4,-0.02071,0.10472,-0.24806
54,-0.11600,0.12094,-0.27934
103,-0.20683,-0.21957,-0.26175
153,-0.16344,-0.01712,-0.18756
203,-0.26680,0.08931,-0.25513
253,-0.09270,0.10938,-0.27391
303,-0.15622,0.21268,-0.19051
353,-0.10245,-0.25938,0.07799
403,-0.20009,-0.07399,0.30139
454,-0.29146,0.28065,0.16800
503,-0.29721,0.44321,-0.20599
553,0.24348,-0.29237,-0.13379
604,-0.19749,0.18980,0.10866
653,-0.27271,-0.03748,0.07425
703,0.08655,0.14214,-0.03450
754,-0.17160,0.41595,0.00255
809,0.07324,-0.42188,0.03903
857,0.21191,-0.49295,0.25349
903,-0.17444,-0.01929,0.35115
953,-0.02235,0.76881,-0.07780
1003,0.28244,0.75026,-0.03777
1054,0.02695,0.56915,0.20386
1103,-0.08478,0.59816,0.31375
1153,0.26547,-0.14134,0.29608
1204,0.14285,-0.72070,0.33133
1253,-0.01364,-0.36873,0.36894
1304,-0.11087,-0.01218,0.01164
1354,0.36536,1.43484,-0.18144
1403,0.73418,-0.97162,0.14719
1454,-0.35501,0.13945,0.46692
1503,-0.08072,0.02289,-0.08363
1554,0.38277,1.34683,-0.45757
1603,0.15225,-0.05931,-0.10788
1652,-0.19946,-0.20914,0.45776
1703,-0.02142,-0.06702,0.20099
1753,0.18478,0.14111,-0.13823
1803,0.25366,-0.43828,-0.01439
1857,-0.16261,-0.03099,0.12875
1903,-0.07468,0.14090,0.07643
1953,0.06007,0.02254,0.02812
2003,-0.07794,0.30527,0.05730
2053,0.11687,-0.06934,0.00142
2103,0.20587,0.27165,0.16786
2153,0.07260,-0.51570,0.32503
2203,-0.00267,-0.14842,0.31651
2253,0.22578,-0.54558,0.11121
2303,-0.07982,-0.05157,0.06952
2353,-0.03215,-0.49335,-0.05084
2404,0.03416,-0.03584,-0.26317
2453,-0.20047,0.39087,-0.30048
2504,-0.20602,-0.05078,-0.34467
2554,0.03191,-0.07835,-0.24529
2603,-0.14479,0.18961,-0.33266
2654,-0.07922,0.03831,-0.21388
2704,-0.13208,0.08824,0.00554
2754,-0.08363,-0.04514,-0.03896
2806,0.12341,0.00545,-0.07925
2856,0.02377,0.24329,-0.04008
2903,0.05525,-0.31519,0.07918
2953,-0.11411,-0.03450,0.10751
3004,-0.07579,0.07156,0.15443
3054,0.04825,0.31587,0.15245
3104,-0.01840,0.63440,0.27315
3153,0.08438,-0.38211,0.40031
3204,0.06268,0.05174,0.53413
3253,0.12650,-0.03096,0.28166
3304,0.29694,0.33287,0.17514
3354,0.23369,0.42020,0.20712
3403,0.36990,-0.29539,0.20306
3455,0.05501,0.59949,0.11232
3503,0.20233,0.67630,-0.10039
3554,0.36887,-0.87221,-0.01230
3603,0.04767,-0.09155,0.33238
3653,-0.10127,-0.13332,-0.15671
3703,0.31349,0.83305,-0.40381
3754,0.35934,0.58842,-0.20421
3804,-0.15234,-0.43486,0.02245
3860,-0.03413,-0.14055,0.21339
3904,-0.02840,-0.33936,0.02374
3953,-0.10463,-0.50658,-0.10893
4004,-0.05978,-0.44934,-0.10667
4054,-0.10858,-0.01295,-0.07646
4105,0.07701,0.01660,-0.10223
4153,0.11517,0.03230,0.04816
4204,-0.19260,0.13708,0.03391
4254,-0.09390,0.03212,-0.13815
4304,-0.00935,-0.05421,-0.05775
4355,-0.04375,-0.26993,-0.04265
4403,-0.08020,0.03441,-0.20738
