time,lat,lng,accuracy,altitude,speed,satellites in view,satellites in use
954,12.84499200,77.66040740,64,0.00000,0.00000,0,0
1947,12.84499200,77.66040740,64,0.00000,0.00000,0,0
2950,12.84501210,77.66043010,66,0.00000,0.00000,0,0
3948,12.84501210,77.66043010,66,0.00000,0.00000,0,0
4954,12.84501210,77.66043010,66,0.00000,0.00000,0,0
5948,12.84501210,77.66043010,66,0.00000,0.00000,0,0
6949,12.84501210,77.66043010,66,0.00000,0.00000,0,0
7950,12.84516640,77.66000520,55,0.00000,0.00000,0,0
8954,12.84516640,77.66000520,55,0.00000,0.00000,0,0
9998,12.84516640,77.66000520,55,0.00000,0.00000,0,0
10998,12.84516640,77.66000520,55,0.00000,0.00000,0,0
12002,12.84516640,77.66000520,55,0.00000,0.00000,0,0
12998,12.84547720,77.65914910,111,0.00000,0.00000,0,0
13999,12.84547720,77.65914910,111,0.00000,0.00000,0,0
14998,12.84547720,77.65914910,111,0.00000,0.00000,0,0
16003,12.84547720,77.65914910,111,0.00000,0.00000,0,0
16999,12.84547720,77.65914910,111,0.00000,0.00000,0,0
18005,12.84547720,77.65914910,111,0.00000,0.00000,0,0
19002,12.84547720,77.65914910,111,0.00000,0.00000,0,0
20003,12.84547720,77.65914910,111,0.00000,0.00000,0,0
21054,12.84547720,77.65914910,111,0.00000,0.00000,0,0
22050,12.84547720,77.65914910,111,0.00000,0.00000,0,0
23047,12.84662470,77.65864530,58,0.00000,0.00000,0,0
24050,12.84662470,77.65864530,58,0.00000,0.00000,0,0
25051,12.84662470,77.65864530,58,0.00000,0.00000,0,0
26051,12.84662470,77.65864530,58,0.00000,0.00000,0,0
27102,12.84662470,77.65864530,58,0.00000,0.00000,0,0
28113,12.84662470,77.65864530,58,0.00000,0.00000,0,0
29104,12.84662470,77.65864530,58,0.00000,0.00000,0,0
30101,12.84662470,77.65864530,58,0.00000,0.00000,0,0
31104,12.84662470,77.65864530,58,0.00000,0.00000,0,0
32098,12.84662470,77.65864530,58,0.00000,0.00000,0,0
33147,12.84700000,77.65842020,63,0.00000,0.00000,0,0
34154,12.84700000,77.65842020,63,0.00000,0.00000,0,0
35157,12.84700000,77.65842020,63,0.00000,0.00000,0,0
36151,12.84700000,77.65842020,63,0.00000,0.00000,0,0
37148,12.84700000,77.65842020,63,0.00000,0.00000,0,0
38155,12.84700000,77.65842020,63,0.00000,0.00000,0,0
39149,12.84700000,77.65842020,63,0.00000,0.00000,0,0
40197,12.84700000,77.65842020,63,0.00000,0.00000,0,0
41197,12.84700000,77.65842020,63,0.00000,0.00000,0,0
42197,12.84700000,77.65842020,63,0.00000,0.00000,0,0
43261,12.84701220,77.65841280,65,0.00000,0.00000,0,0
44250,12.84701220,77.65841280,65,0.00000,0.00000,0,0
45261,12.84701220,77.65841280,65,0.00000,0.00000,0,0
46248,12.84701220,77.65841280,65,0.00000,0.00000,0,0
47298,12.84701220,77.65841280,65,0.00000,0.00000,0,0
48300,12.84701220,77.65841280,65,0.00000,0.00000,0,0
49307,12.84701220,77.65841280,65,0.00000,0.00000,0,0
50301,12.84701220,77.65841280,65,0.00000,0.00000,0,0
51300,12.84701220,77.65841280,65,0.00000,0.00000,0,0
52305,12.84701220,77.65841280,65,0.00000,0.00000,0,0
