time,x,y,z
44,-0.11337,0.18761,-0.11032
94,-0.00478,0.18605,-0.09395
146,-0.09633,0.22275,-0.05809
196,-0.06586,0.32907,0.03026
250,-0.06914,0.13634,0.04828
295,-0.10396,0.04958,0.04764
345,0.03036,-0.01089,0.01591
394,0.06549,-0.20013,-0.02748
444,-0.15483,-0.14951,0.01489
494,-0.05339,-0.11461,0.02299
546,0.03056,0.13202,-0.00731
594,0.02435,0.10580,-0.02534
644,-0.04419,0.10316,0.06091
696,-0.06914,0.18408,0.13367
744,0.01341,0.12645,0.10532
794,0.05020,-0.04645,0.08978
844,-0.01422,-0.05281,0.10062
895,0.03296,-0.01225,0.07887
953,0.06836,-0.17462,0.06396
996,-0.06877,-0.10060,0.06349
1043,0.00522,0.15358,-0.00751
1094,0.15536,-0.02596,-0.10565
1144,-0.09126,0.08554,-0.10506
1196,0.00758,0.14571,-0.11440
1244,0.15778,0.02022,-0.12450
1294,-0.12863,0.03659,-0.06807
1345,-0.02899,-0.08534,-0.09619
1395,0.12741,-0.01418,-0.14413
1445,-0.05017,0.01598,-0.11766
1496,-0.07930,-0.07852,-0.06760
1545,0.01334,0.10611,-0.01366
1594,0.01181,-0.08630,-0.01283
1645,-0.05853,0.08070,0.06937
1696,-0.03206,0.17505,0.05768
1745,0.02238,0.10323,0.02809
1793,-0.01859,0.06616,0.03557
1843,-0.08322,0.02997,0.04610
1894,0.01186,-0.05428,0.01907
1947,-0.02336,0.23053,-0.03534
1995,0.02812,0.43962,-0.10338
2044,0.16864,0.24931,-0.03185
2094,-0.17140,0.05182,0.03223
2144,0.00578,0.29330,0.06502
2194,0.00716,-0.20088,0.07312
2244,-0.15770,-0.04932,0.08511
2294,0.07155,0.05234,0.12274
2344,0.18881,-0.16989,0.07784
2394,-0.10393,0.05634,0.04532
2444,-0.06822,-0.18126,0.08327
2494,-0.06160,-0.06741,0.02345
2546,0.07587,0.03191,-0.03358
2594,0.12744,-0.14975,-0.01527
2644,-0.09012,-0.09921,0.04907
2694,-0.07214,0.10527,0.07500
2744,0.07947,-0.04889,0.07249
2795,-0.02879,-0.04004,0.03815
2844,0.02194,-0.03546,0.06567
2896,-0.03300,-0.18265,0.01270
2950,-0.11990,0.11528,-0.04111
2998,0.06271,0.07559,-0.07018
3048,-0.02991,-0.00284,-0.06061
3096,-0.07864,0.10133,0.02017
3144,-0.04247,-0.03117,0.04041
3194,-0.09438,0.05301,0.03020
3244,0.02142,0.07649,0.00375
3294,0.15584,-0.06717,0.04022
3344,-0.16975,-0.01826,0.03995
3394,-0.12065,0.05014,0.03084
3444,0.08118,-0.05939,-0.05606
3494,0.01590,0.04988,-0.08708
3544,-0.00204,0.05536,-0.05064
3594,-0.02104,-0.04410,0.00691
3644,-0.13446,-0.07402,0.03130
3694,-0.01266,0.09129,-0.00722
3744,0.17267,0.00012,-0.01144
3796,-0.08942,-0.08859,0.00977
3845,-0.12625,0.05109,-0.00179
3896,0.10675,0.05881,-0.06503
3948,0.06001,0.18600,-0.06912
3994,-0.04114,-0.01833,0.00504
4044,-0.16829,-0.04926,0.10812
4094,-0.16385,-0.06471,0.14238
4145,0.08615,-0.02029,0.05800
4195,0.16046,-0.03789,0.01518
4245,-0.04352,-0.17201,0.07307
4296,-0.07019,-0.04935,0.12366
4345,0.02861,0.04669,0.03664
4394,0.08014,0.10291,-0.02939
4444,0.08031,0.18130,-0.05505
4494,0.03816,0.02325,-0.02576
4544,-0.07524,-0.05608,0.02913
4596,-0.04674,0.09799,0.00040
4645,0.09174,-0.06737,0.01869
4696,-0.01729,-0.17711,0.04657
4745,-0.05598,-0.05186,0.05431
4795,0.03859,-0.10846,0.00455
4844,0.03500,0.11957,-0.03059
4896,0.02515,0.09113,-0.02461
4953,0.03526,-0.04158,0.06458
4997,-0.08665,0.15327,0.07484
5044,0.05743,0.03014,0.07040
5094,0.06413,0.00508,0.13956
5144,-0.10327,0.05733,0.13448
5194,0.06120,-0.01991,0.14253
5245,0.02795,-0.09309,0.08986
5294,-0.02240,0.17223,0.06374
5345,0.12988,-0.13570,0.07861
5397,-0.06898,0.19818,0.06374
5445,0.04407,0.08830,0.04239
5495,0.09248,-0.11818,0.05594
5544,-0.03886,0.34756,0.05435
5594,0.15372,0.21617,0.05424
5643,-0.00856,-0.32649,0.12100
5693,-0.32433,0.34145,0.11966
5746,0.24959,-0.32178,0.01599
5793,0.23274,-0.04141,-0.04524
5844,-0.12308,0.24829,-0.03525
5894,0.05873,-0.09068,-0.13194
5947,0.07446,0.09680,-0.08879
5994,-0.12779,0.00856,-0.07744
6044,0.09348,0.08459,-0.11259
6094,0.11143,0.06102,-0.11353
6144,-0.04584,-0.41035,-0.04025
6194,-0.20981,0.08180,0.00253
6244,0.08794,-0.03593,-0.01485
6294,0.09355,-0.19353,0.01221
6344,-0.01176,0.27139,0.05125
6394,0.16129,0.04643,0.00508
6444,0.09181,0.07037,0.04071
6494,-0.17056,-0.08299,0.09703
6544,0.07333,-0.08113,0.08755
6595,0.03320,-0.00935,0.02582
6644,0.03706,0.09036,-0.00659
6695,0.10954,-0.05118,0.04506
6744,-0.11551,-0.07248,0.03450
6797,-0.03835,0.06741,0.00104
6844,0.14093,0.00630,-0.06297
6894,0.01221,0.01880,-0.07959
6948,0.02133,0.00093,-0.05673
6994,-0.00513,-0.05353,-0.02026
7044,-0.06239,0.05743,-0.03853
7098,0.08134,0.04257,-0.04947
7144,0.04980,-0.05891,-0.04707
7195,-0.04718,0.10674,0.00481
7244,0.01961,-0.16560,0.03090
7294,-0.05051,0.19888,0.01955
7344,0.07516,-0.23242,-0.00737
7394,0.02045,-0.02069,0.00537
7444,0.00478,0.14716,0.01314
7494,0.03204,-0.15923,0.00253
7544,-0.04504,0.12741,0.02353
7595,0.00351,0.06601,-0.05507
7644,0.18175,0.04533,-0.07356
7695,-0.08435,-0.08806,-0.03862
7744,-0.09839,-0.29677,0.03236
7794,-0.05151,0.17033,-0.06644
7844,0.11224,-0.18817,-0.20825
7895,0.14032,-0.04260,-0.14388
7948,-0.12680,0.09767,-0.10060
7994,0.06668,0.15823,-0.08313
8044,0.08672,-0.03047,-0.02452
8095,-0.14641,-0.16684,0.06311
8144,-0.04440,0.02675,0.02742
8194,0.08257,0.24092,-0.04976
8245,0.09052,-0.34416,0.01736
8295,-0.25409,0.23393,0.08479
8344,-0.08789,-0.04214,0.03520
8395,-0.01727,-0.45778,-0.03441
8445,-0.28500,0.32384,-0.05377
8494,0.05090,-0.11662,-0.15968
8544,0.17865,-0.12158,-0.09958
8594,-0.27837,0.12415,0.02234
8645,-0.04504,0.13528,0.05557
8695,0.01608,0.12299,-0.00148
8744,-0.10840,-0.24512,-0.04404
8796,0.04211,0.26961,-0.03647
8844,0.05443,-0.08360,-0.15521
8895,-0.02539,-0.31218,-0.15533
8953,-0.04587,0.29172,-0.09337
8994,0.07697,0.06496,-0.10323
9044,-0.02226,-0.05875,-0.03804
9095,-0.19460,0.07626,0.03497
9144,0.01180,-0.01250,0.04097
9194,0.01707,0.08127,0.05270
9243,-0.07262,-0.16306,0.04117
9294,-0.04178,0.01028,0.03667
9344,0.05536,0.04535,-0.04323
9396,0.05998,-0.05307,-0.08649
9445,-0.00871,0.10011,-0.06148
9495,0.02039,0.20950,-0.07077
9545,-0.01878,0.04160,0.01132
9595,-0.12839,-0.10175,0.07549
9645,-0.00597,0.08200,0.02652
9696,0.08984,0.01598,-0.06703
9744,0.00838,-0.33807,-0.04068
9794,-0.17232,0.17569,0.03694
9845,0.03163,-0.01688,-0.00018
9894,0.01276,-0.27942,-0.02870
9944,-0.12920,0.31635,0.01355
9998,0.15729,0.15596,-0.04704
10047,0.04659,0.16626,0.02769
10094,-0.23912,-0.13435,0.09311
10144,0.00203,-0.03030,0.07077
10195,0.13753,0.09743,-0.02274
10245,0.06241,-0.22424,-0.08147
10295,-0.05159,-0.04482,0.03036
10345,-0.11169,-0.03288,0.00314
10396,0.10252,0.11378,-0.08371
10444,0.15729,0.15295,-0.07121
10496,-0.11372,-0.11307,0.07439
10548,-0.18465,-0.14549,0.11920
10595,-0.00819,-0.08221,0.01341
10644,0.09467,0.02951,-0.09192
10694,0.01869,0.01556,-0.07022
10746,-0.07875,-0.11913,0.06520
10795,-0.19751,-0.04613,0.12537
10844,0.04001,0.17136,0.05919
10895,0.16522,-0.11728,0.03281
10945,-0.11137,-0.13153,0.07333
10998,-0.07057,0.11275,0.05429
11044,0.17458,-0.05148,-0.03142
11094,0.02409,0.15509,0.03235
11145,-0.12227,-0.10219,0.11543
11194,-0.08287,-0.04128,0.10762
11245,0.01649,0.10194,-0.03523
11294,0.18272,-0.05975,-0.11441
11346,0.02977,-0.04283,-0.04141
11395,-0.12944,-0.03093,0.01236
11446,-0.01111,-0.14226,0.00208
11496,0.02319,0.00140,-0.07184
11546,0.08385,0.05579,-0.10162
11596,0.11806,-0.03069,-0.11192
11645,0.03667,0.14308,-0.04559
11696,-0.05516,0.07581,0.00473
11745,-0.00591,0.02689,0.06058
11795,-0.01883,0.06314,0.02484
11846,0.08853,-0.06454,-0.02913
11894,0.03291,0.01282,-0.00122
11945,-0.07053,-0.06435,0.00046
12001,0.01529,-0.02591,-0.02776
12044,0.04565,-0.02968,-0.07518
12094,0.00902,0.04134,-0.05809
12144,-0.01263,-0.02473,-0.01042
12197,-0.08330,-0.00082,0.03793
12244,-0.03447,0.00180,0.03139
12294,0.00795,0.03470,0.03024
12345,-0.02344,-0.07179,0.03830
12396,-0.00922,0.00082,0.02942
12444,0.06680,-0.00169,-0.03712
12494,0.05933,-0.06491,-0.03493
12545,-0.08080,0.00005,0.02208
12595,-0.07770,0.12999,0.02361
12645,0.05086,0.13637,-0.03685
12697,0.03400,-0.00061,0.00598
12744,-0.07411,-0.11787,0.07425
12794,-0.05692,0.08395,0.05902
12843,0.05028,-0.14995,-0.01984
12894,-0.03532,0.11572,0.00336
12944,0.16891,0.39552,-0.02502
12997,0.08408,-0.10144,-0.01971
13044,-0.16710,0.13744,0.09604
13094,-0.04149,0.09373,0.02907
13144,0.19229,0.11244,-0.07214
13194,0.03131,0.07039,-0.10777
13244,0.01334,0.00185,-0.03667
13294,-0.05145,0.02432,0.01434
13343,-0.04974,-0.19969,-0.04349
13395,0.01900,-0.01537,-0.09203
13445,0.00774,-0.03151,-0.15544
13495,0.08937,-0.04784,-0.13066
13545,0.00348,0.06088,0.02669
13595,-0.07651,-0.01770,0.14452
13644,-0.05060,-0.12070,0.11583
13696,0.01579,-0.09418,0.02386
13745,0.10881,-0.06889,-0.03561
13796,0.11325,0.09386,-0.02139
13845,-0.11418,-0.06801,0.05240
13895,-0.10768,0.10420,0.10777
13946,0.01480,0.12930,0.02798
13998,0.10748,0.11153,-0.03368
14044,0.00238,-0.01334,0.03532
14094,-0.11597,0.12004,0.15828
14145,0.11591,-0.24733,0.09940
14196,0.07275,-0.29703,0.02734
14244,-0.01109,-0.25214,-0.00616
14294,0.05328,-0.11635,-0.07217
14345,0.05563,-0.05408,-0.15652
14395,0.03769,0.04210,-0.13303
14446,0.10030,0.43979,-0.09514
14495,0.02328,0.17097,-0.06706
14544,-0.10016,0.13893,0.04430
14595,-0.15533,-0.02028,0.03899
14645,-0.00449,-0.25983,-0.05063
14695,0.00760,-0.11755,-0.03024
14745,-0.05511,-0.08177,-0.03732
14797,0.02518,0.05161,-0.02733
14844,-0.02811,0.21034,0.05159
14894,-0.11252,0.18472,0.08414
14945,-0.03423,0.33943,0.02551
14998,0.10928,0.15216,0.01353
15044,-0.01430,-0.01353,0.05605
15094,-0.16342,-0.09819,0.07243
15144,0.01408,-0.20480,0.03555
15195,0.07845,0.04750,0.03117
15244,-0.01491,-0.01880,-0.03601
15294,0.03050,-0.04524,-0.01949
15344,-0.04333,0.10048,0.00133
