time,azimuth
30,-131
58,-133
108,-130
157,-130
207,-130
258,-119
307,-127
357,-125
407,-124
457,-121
507,-125
558,-132
607,-127
658,-124
709,-124
758,-127
808,-116
857,-120
907,-125
957,-117
1007,-130
1065,-128
1110,-123
1157,-130
1208,-123
1258,-131
1308,-130
1357,-120
1410,-120
1457,-119
1508,-129
1558,-116
1608,-108
1658,-119
1707,-109
1759,-111
1808,-118
1858,-112
1907,-111
1958,-108
2007,-106
2062,-115
2107,-112
2157,-106
2207,-106
2257,-113
2307,-102
2357,-110
2407,-107
2457,-106
2508,-104
2559,-101
2607,-103
2659,-99
2709,-105
2758,-112
2808,-108
2858,-109
2909,-115
2957,-114
3008,-117
3058,-113
3111,-103
3158,-102
3207,-107
3258,-106
3308,-112
3358,-111
3408,-119
3459,-121
3510,-125
3558,-118
3609,-123
3659,-122
3709,-118
3758,-119
3808,-115
3859,-115
3907,-120
3959,-117
4009,-119
4058,-120
4111,-118
4157,-118
4207,-119
4257,-123
4308,-126
4358,-117
4408,-118
4458,-134
4507,-125
4557,-129
4607,-96
4658,-123
4707,-121
4757,-110
4808,-101
4858,-92
4909,-123
4958,-112
5008,-120
5058,-127
5112,-126
5156,-130
5207,-125
5258,-126
5307,-127
5357,-126
5408,-128
5458,-142
5508,-131
5559,-128
5607,-129
5658,-142
5709,-123
5758,-115
5809,-129
5858,-119
5909,-118
5957,-123
6007,-129
6058,-127
6119,-126
6157,-129
6207,-136
6258,-128
6308,-130
6357,-131
6409,-131
6458,-122
6508,-123
6558,-126
6607,-121
6660,-125
6708,-126
6758,-127
6811,-126
6859,-132
6909,-125
6956,-127
7008,-130
7057,-134
7110,-135
7157,-129
7207,-128
7258,-131
7308,-129
7357,-132
7407,-130
7457,-112
7509,-125
7559,-141
7610,-138
7657,-125
7707,-149
7759,-133
7808,-131
7859,-132
7908,-119
7957,-124
8007,-125
8057,-131
8110,-137
8156,-129
8206,-138
8257,-136
8308,-136
8357,-139
8407,-126
8457,-126
8508,-121
8558,-129
8607,-128
8659,-133
8708,-130
8759,-131
8807,-137
8858,-124
8907,-123
8959,-124
9007,-121
9059,-129
9108,-138
9167,-110
9207,-118
9257,-137
9307,-138
9357,-122
9407,-131
9458,-129
9507,-108
9558,-130
9608,-124
9658,-113
9708,-103
9758,-111
9809,-121
9858,-120
9908,-125
9957,-116
10009,-105
10057,-115
10108,-100
10174,-95
10209,-111
10257,-113
10308,-115
10359,-120
10408,-132
10458,-123
10508,-111
10557,-108
10607,-104
10659,-99
10707,-104
10757,-141
10807,-135
10862,-120
10907,-127
10957,-113
11007,-110
11057,-109
11108,-110
11164,-109
11207,-102
11257,-110
11308,-110
11358,-110
11408,-109
11458,-109
11509,-105
11558,-102
11609,-101
11658,-110
11707,-109
11758,-111
11807,-122
11858,-108
11908,-103
11958,-109
12007,-105
12057,-102
12108,-97
12162,-115
12208,-119
12257,-103
12307,-97
12358,-107
12408,-108
12457,-108
12508,-104
12559,-101
12609,-102
12658,-110
12707,-112
12757,-111
12807,-102
12857,-106
12907,-116
12958,-102
13007,-115
13057,-122
13108,-112
13176,-117
13207,-115
13258,-110
13307,-111
13357,-114
13408,-108
13457,-109
13507,-106
13560,-107
13609,-108
13658,-114
13708,-111
13760,-112
13807,-115
13858,-108
13908,-119
13958,-112
14010,-108
14057,-112
14108,-111
14162,-109
14207,-107
14260,-120
14309,-118
14358,-117
14408,-127
14458,-122
14508,-125
14557,-125
14607,-119
14659,-131
14708,-129
14758,-118
14811,-120
14859,-120
14907,-124
14959,-116
15008,-124
15059,-121
15107,-113
15157,-108
15214,-108
15257,-109
15307,-109
15357,-104
15409,-111
15458,-106
15509,-103
15558,-109
15608,-107
15659,-104
15710,-98
15758,-104
15810,-111
15859,-109
15907,-111
15957,-113
16007,-128
16060,-122
16108,-110
16158,-125
16214,-115
16257,-111
16308,-117
16357,-114
16408,-105
16457,-107
16507,-97
16558,-102
16608,-107
16660,-104
16710,-105
16759,-105
16809,-104
16858,-104
16907,-106
16957,-100
17008,-109
17058,-107
17109,-109
17157,-111
17207,-116
17263,-120
17307,-121
17357,-112
17408,-118
17459,-132
17508,-120
17558,-111
17609,-116
17658,-114
17709,-105
17757,-110
17810,-111
17857,-110
17908,-110
17957,-98
18010,-114
18057,-123
18112,-109
18158,-111
18209,-125
18258,-115
18313,-103
18358,-130
18409,-119
18457,-112
18508,-117
18558,-112
18609,-101
18657,-112
18709,-108
18758,-101
18810,-94
18858,-117
18908,-112
18958,-105
19009,-106
19058,-111
19107,-90
19157,-108
19209,-115
19257,-90
19313,-107
19358,-111
19407,-115
19458,-114
19507,-115
19559,-112
19608,-110
19659,-107
19708,-110
19760,-110
19807,-108
19860,-117
19908,-108
19957,-111
20008,-115
20059,-114
20108,-117
20159,-117
20207,-117
20259,-114
20308,-112
20361,-122
20408,-117
20457,-127
20507,-129
20559,-127
20607,-127
20658,-129
20709,-116
20759,-120
20808,-119
20858,-118
20907,-118
20957,-120
21008,-123
21058,-127
21107,-131
21157,-138
21207,-139
21259,-131
21307,-124
21361,-117
21407,-120
21458,-119
21507,-122
21559,-114
21608,-123
21658,-121
21709,-128
21759,-122
21809,-120
21858,-128
21909,-121
21957,-112
22009,-111
22058,-119
22108,-117
22157,-121
22207,-118
22259,-123
22308,-121
22361,-112
22407,-123
22458,-126
22507,-114
22557,-110
22607,-120
22658,-111
22707,-114
22759,-121
22807,-106
22861,-119
22908,-122
22958,-100
23008,-118
23057,-124
23107,-111
23157,-100
23207,-103
23257,-94
23307,-105
23761,-109
23766,-107
23807,-110
23857,-104
23907,-96
23958,-99
24007,-114
24057,-101
24107,-94
24157,-116
24207,-112
24257,-96
24308,-111
24372,-100
24407,-97
24457,-110
24508,-110
24557,-127
24608,-129
24657,-101
24707,-112
24758,-112
24807,-103
24857,-105
24909,-107
24957,-102
25008,-109
25058,-110
25108,-110
25158,-124
25208,-122
25258,-114
25307,-114
25362,-111
25408,-118
25456,-110
25507,-114
25558,-109
25608,-112
25658,-128
25707,-117
25758,-118
25807,-125
25857,-122
25908,-124
25957,-116
26008,-106
26057,-125
26107,-128
26157,-121
26207,-118
26257,-129
26307,-135
26360,-123
26407,-124
26456,-116
26506,-120
26557,-117
26607,-115
26658,-124
26708,-146
26758,-122
26807,-117
26857,-117
26908,-120
26957,-122
27008,-111
27057,-114
27107,-123
27157,-120
27207,-134
27256,-136
27306,-113
27363,-119
27412,-134
27457,-127
27507,-122
27557,-126
27608,-115
27657,-119
27707,-112
27757,-122
27808,-111
27857,-121
27907,-126
27958,-117
28007,-114
