time,lat,lng,accuracy,altitude,speed,satellites in view,satellites in use
30,12.85023970,77.65741600,79,0.00000,0.00000,0,0
1066,12.85023970,77.65741600,79,0.00000,0.00000,0,0
2063,12.85023970,77.65741600,79,0.00000,0.00000,0,0
3112,12.85023970,77.65741600,79,0.00000,0.00000,0,0
4111,12.85023970,77.65741600,79,0.00000,0.00000,0,0
5112,12.85023970,77.65741600,79,0.00000,0.00000,0,0
6121,12.85023970,77.65741600,79,0.00000,0.00000,0,0
7111,12.85024270,77.65741430,61,0.00000,0.00000,0,0
8110,12.85024270,77.65741430,61,0.00000,0.00000,0,0
9167,12.85024270,77.65741430,61,0.00000,0.00000,0,0
10175,12.85024270,77.65741430,61,0.00000,0.00000,0,0
11165,12.85024270,77.65741430,61,0.00000,0.00000,0,0
12162,12.85024270,77.65741430,61,0.00000,0.00000,0,0
13176,12.85024270,77.65741430,61,0.00000,0.00000,0,0
14162,12.85024270,77.65741430,61,0.00000,0.00000,0,0
15217,12.85024270,77.65741430,61,0.00000,0.00000,0,0
16214,12.85024270,77.65741430,61,0.00000,0.00000,0,0
17264,12.85030650,77.65679900,57,0.00000,0.00000,0,0
18313,12.85030650,77.65679900,57,0.00000,0.00000,0,0
19314,12.85030650,77.65679900,57,0.00000,0.00000,0,0
20362,12.85030650,77.65679900,57,0.00000,0.00000,0,0
21361,12.85030650,77.65679900,57,0.00000,0.00000,0,0
22361,12.85030650,77.65679900,57,0.00000,0.00000,0,0
23761,12.85030650,77.65679900,57,0.00000,0.00000,0,0
24372,12.85030650,77.65679900,57,0.00000,0.00000,0,0
25362,12.85030650,77.65679900,57,0.00000,0.00000,0,0
26360,12.85030650,77.65679900,57,0.00000,0.00000,0,0
27364,12.85032830,77.65679190,33,0.00000,0.00000,0,0
28362,12.85032830,77.65679190,33,0.00000,0.00000,0,0
29363,12.85032830,77.65679190,33,0.00000,0.00000,0,0
30377,12.85032830,77.65679190,33,0.00000,0.00000,0,0
31369,12.85032830,77.65679190,33,0.00000,0.00000,0,0
32360,12.85032830,77.65679190,33,0.00000,0.00000,0,0
33412,12.85032830,77.65679190,33,0.00000,0.00000,0,0
34411,12.85032830,77.65679190,33,0.00000,0.00000,0,0
35459,12.85032830,77.65679190,33,0.00000,0.00000,0,0
36460,12.85032830,77.65679190,33,0.00000,0.00000,0,0
37460,12.85040770,77.65669630,27,0.00000,0.00000,0,0
38462,12.85040770,77.65669630,27,0.00000,0.00000,0,0
39510,12.85040770,77.65669630,27,0.00000,0.00000,0,0
40511,12.85040770,77.65669630,27,0.00000,0.00000,0,0
41511,12.85040770,77.65669630,27,0.00000,0.00000,0,0
