time,x,y,z
25,-0.30290,-0.25252,-0.31989
57,-0.61177,0.12566,-0.36438
107,-0.35907,0.31691,-0.35727
157,-0.24454,0.18079,-0.32245
207,-0.49597,0.56145,-0.32199
258,-0.04356,0.31645,-0.32387
307,-0.07655,-0.10097,-0.14008
357,-0.29022,0.17755,-0.05040
407,0.08038,0.07889,-0.12679
457,-0.04799,0.17201,0.04945
507,-0.20856,-0.59319,0.05438
558,-0.05624,-0.00095,0.00104
607,0.00606,0.37137,-0.08081
658,-0.02969,0.65547,-0.03258
708,-0.10130,0.10594,0.06999
758,-0.30130,0.51639,0.12164
808,0.33940,0.23822,0.02023
857,0.22855,0.08736,0.03273
907,-0.13174,0.10484,0.17445
957,0.05798,-0.14900,0.12218
1007,0.00349,-0.24683,0.04140
1064,-0.13531,-0.41379,-0.04375
1110,-0.11650,-0.45996,-0.17291
1157,-0.24986,-0.18875,-0.26248
1207,-0.18449,-0.19263,-0.24014
1258,-0.20406,0.05608,-0.29968
1308,-0.14946,0.70193,-0.27002
1357,0.25255,0.19067,-0.13461
1410,-0.05031,0.03462,-0.06926
1457,-0.30666,-0.23260,-0.21648
1508,-0.15915,-0.19720,-0.34198
1558,-0.00702,0.12701,-0.27783
1608,-0.12587,-0.06784,-0.49620
1658,-0.40746,0.12999,-0.38571
1707,-0.28503,0.22241,-0.21400
1758,-0.17139,-0.18143,-0.21034
1807,-0.26198,0.13863,-0.07983
1858,-0.22079,0.01457,-0.11238
1907,0.28844,0.41904,-0.07741
1958,-0.07928,0.12413,0.06885
2007,-0.37306,-0.03424,-0.01268
2060,-0.18039,-0.08798,-0.23637
2107,-0.12659,0.09494,-0.31923
2157,-0.15060,-0.26265,-0.32780
2207,-0.30577,-0.51089,-0.16983
2257,-0.48676,-0.20708,-0.11563
2307,-0.06728,-0.35600,-0.05186
2357,0.08015,0.05153,-0.03096
2406,0.13872,0.46654,0.07297
2457,0.30363,0.36018,0.21802
2508,-0.00258,0.70990,0.38634
2558,0.17825,0.46704,0.25096
2607,0.19795,0.01102,0.08781
2659,0.09024,-0.13747,0.22847
2708,-0.16675,-0.36899,0.25269
2758,-0.05650,-0.20216,0.30397
2807,0.25185,0.10428,0.37059
2858,0.29877,-0.05843,0.24660
2908,0.06656,0.13669,0.18672
2957,0.22334,0.16866,0.10854
3008,0.15880,0.40601,0.00252
3058,0.22427,0.41652,-0.15083
3111,0.42801,-0.14369,-0.04967
3158,-0.20554,-0.67715,0.12773
3207,-0.27586,-0.51802,0.23927
3258,0.13303,-0.15379,0.22255
3307,0.21791,-0.24742,0.29779
3357,-0.08505,-0.30438,0.50888
3408,0.16672,0.04700,0.24721
3458,0.53142,0.22873,0.20018
3510,0.04149,0.05739,0.24599
3558,-0.07191,-0.29025,0.16240
3609,0.21735,-0.24597,-0.19978
3659,0.13831,0.15488,-0.15913
3709,0.15288,-0.23529,-0.01746
3758,0.06454,0.40666,0.24690
