time,azimuth
8,104
48,106
98,102
150,104
197,103
248,107
297,106
347,106
398,106
447,108
497,108
547,109
599,108
648,110
697,108
748,109
799,108
847,109
897,107
948,108
1004,107
1051,104
1098,107
1148,107
1198,109
1248,108
1299,108
1348,107
1399,109
1448,108
1498,107
1548,108
1598,107
1648,108
1697,106
1748,106
1799,107
1848,108
1899,108
1947,106
2006,107
2047,105
2098,104
2147,102
2202,102
2247,104
2297,102
2349,103
2397,107
2447,103
2497,107
2547,105
2597,107
2648,109
2698,107
2748,109
2798,106
2847,106
2900,100
2947,105
2998,102
3051,100
3097,101
3147,102
3198,101
3247,102
3298,105
3348,106
3399,106
3448,107
3499,108
3549,107
3598,105
3647,107
3697,107
3747,105
3800,105
3848,104
3899,104
3947,107
3998,105
4054,110
4098,108
4147,112
4199,111
4248,111
4298,112
4348,109
4398,107
4448,107
4498,107
4547,108
4597,106
4647,108
4697,105
4747,105
4797,105
4847,106
4898,104
4947,105
4997,106
5051,106
5097,106
5147,108
5197,105
5249,109
5298,108
5348,107
5398,107
5448,109
5499,104
5547,108
5599,107
5648,106
5697,108
5748,109
5798,109
5848,108
5898,110
5948,108
5997,111
6051,112
6097,113
6147,112
6198,112
6249,110
6299,110
6348,109
6398,109
6448,108
6498,108
6548,106
6598,107
6647,105
6700,109
6749,107
6800,106
6848,105
6898,107
6949,105
6997,107
7055,105
7098,106
7147,106
7198,104
7249,104
7298,102
7348,102
7398,103
7447,104
7497,102
7547,104
7598,105
7647,102
7698,101
7748,103
7797,101
7847,100
7898,102
7949,103
7999,102
8049,102
8102,105
8147,105
8198,106
8248,105
8298,101
8350,103
8398,104
8449,101
8497,103
8548,101
8597,100
8648,100
8699,102
8748,102
8799,103
8848,102
8899,105
8947,106
8998,104
9048,104
9098,103
9150,102
9197,101
9247,100
9298,99
9348,99
9398,103
9447,100
9498,101
9547,98
9598,98
9649,96
9698,97
9750,94
9799,93
9848,95
9897,94
9947,96
9998,96
10048,95
10097,97
10152,96
10198,94
10247,96
10298,94
10347,94
10397,97
10448,96
10497,97
10547,96
10598,96
10647,96
10697,96
10747,96
10798,95
10847,98
10897,102
10947,99
10997,100
11047,97
11097,93
11150,96
11197,94
11247,92
11297,90
11347,88
11397,92
11447,97
11497,95
11547,98
11598,96
11647,97
11697,95
11747,96
11797,95
11847,97
11897,97
11947,99
11997,100
12047,97
12097,99
12151,101
12198,98
12247,97
12297,97
12347,99
12397,98
12447,95
12497,99
12547,96
12597,97
12647,99
12698,97
12747,95
12797,97
12847,97
12898,98
12947,99
12997,95
13047,97
13097,99
13150,96
13197,99
13247,101
13297,98
13347,99
13397,100
13447,103
13498,102
13547,101
13598,103
13647,102
13697,103
13747,105
13797,103
13847,102
13897,103
13948,103
13997,103
14048,103
14097,101
14150,100
14198,102
14247,103
14297,104
14348,102
14397,104
14447,103
14498,100
14547,101
14598,103
14647,102
14697,103
14747,102
14797,100
14847,101
14898,96
14947,106
14997,97
15048,98
15097,101
15151,99
15197,100
15247,101
15297,103
15347,100
15397,100
15447,101
15499,101
15547,100
15598,100
15648,98
15699,101
15748,100
15798,103
15847,100
15898,98
15948,97
15997,97
16049,98
16098,97
16153,97
16197,97
16247,98
16300,97
16348,96
16397,97
16447,96
16501,99
16549,97
16602,99
16648,99
16701,97
16748,97
16799,96
16847,98
16898,99
16955,99
16999,100
17047,97
17098,97
17156,96
17205,98
17247,99
17297,99
17348,100
17400,101
17448,97
17497,96
17549,95
17598,95
17647,94
17698,94
17747,94
17800,95
17849,93
17901,92
17948,89
18001,91
18047,91
18099,92
18151,91
18197,92
18248,92
18301,91
18348,92
18399,93
18448,95
18502,97
18549,95
18600,94
18650,95
18699,96
18747,95
18801,97
18848,95
18898,97
18948,99
18998,97
19053,97
19098,97
19154,97
19197,98
19247,95
19298,98
19347,96
19400,96
19447,96
19504,98
19547,99
19601,96
19648,96
19700,101
19748,98
19799,98
19850,98
19901,98
19949,99
19999,96
20049,101
20101,98
20152,97
20199,95
20247,95
20298,93
20348,91
20400,93
20449,96
20500,92
20547,92
20601,93
20648,90
20698,90
20749,94
20800,92
20849,92
20902,93
20950,90
21003,92
21047,90
21098,91
21160,88
21199,90
21247,89
21298,91
21347,92
21399,92
21450,92
21499,93
21548,94
21597,98
21649,94
21700,95
21748,92
21798,92
21848,95
21898,93
21950,94
21997,95
22049,94
22098,98
22147,96
22201,98
22247,102
22298,99
22347,99
22399,97
22447,98
22498,99
22547,97
22598,96
22648,96
22698,96
22748,92
22798,97
22848,98
22898,95
22948,97
23000,98
23048,96
23097,98
23147,97
23201,96
23247,95
23298,96
23347,96
23398,94
23447,96
23499,95
23548,94
23601,96
23648,97
23697,95
23747,95
23798,96
23848,96
23898,96
23947,93
23999,94
24047,96
24098,96
24147,95
24197,96
24251,94
24297,95
24347,95
24397,93
24449,96
24498,93
24547,92
24597,92
24647,92
24697,95
24747,93
24797,94
24847,93
24897,96
24947,95
24997,91
25048,92
25099,91
25147,92
25197,91
25251,90
25297,95
25348,92
25399,90
25448,88
25498,92
25548,91
25598,89
25648,92
25698,89
25748,90
25799,93
25848,90
25899,91
25948,92
25999,89
26048,88
26097,90
26148,89
26198,90
26248,87
26300,86
26347,85
26398,87
26448,87
26499,88
26547,88
26599,89
26648,89
26702,85
26748,87
26798,86
26847,88
26899,87
26947,86
26998,86
27048,86
27100,83
27147,86
27199,86
27247,85
27303,88
27347,89
27397,88
27449,87
27498,85
27548,85
27597,87
27647,88
27697,86
27748,86
27797,85
27848,87
27899,85
27947,87
27999,86
28048,86
28098,86
28147,85
28198,88
28248,86
28298,86
28350,86
28400,87
28447,85
28499,84
28548,86
28598,86
28648,87
28698,88
28748,88
28798,87
28848,86
28897,89
28947,88
28998,86
29048,85
29097,85
29149,87
29198,87
29248,86
29298,85
29356,86
29397,88
29449,85
29498,85
29548,85
29597,84
29647,86
29698,84
29748,84
29798,83
29847,81
29898,82
29948,82
29998,82
30047,82
30100,83
30148,86
30197,84
30248,84
30300,84
30352,83
30398,84
30447,84
30497,81
30549,81
30598,81
30648,77
30699,82
30747,82
30797,83
30847,84
30898,83
30948,85
30999,84
31047,83
31097,85
31147,85
31197,83
31248,85
31297,83
31349,84
31397,83
31447,82
31497,82
31547,83
31598,83
31647,85
31697,86
31748,83
31797,85
31848,83
31898,85
31949,84
31998,84
32048,86
32098,86
32148,85
32197,83
32247,82
32297,82
32353,81
32397,81
32448,82
32498,82
32547,82
32599,86
32647,86
32698,83
32747,86
32798,87
32847,90
32897,88
32947,87
32998,86
33047,87
33101,87
33147,86
33199,87
33247,88
33297,87
33347,89
33405,87
33447,88
33497,87
33548,87
33597,86
33648,86
33699,87
33747,88
33799,89
33847,89
33899,89
33947,90
33998,91
34047,90
34099,88
34149,89
34198,88
34248,91
34298,89
34348,89
34406,87
34447,86
34497,85
34547,85
34598,85
34648,83
34698,85
34748,87
34797,87
34849,86
34899,87
34947,87
34998,86
35047,87
35099,86
35147,89
35198,85
35247,87
35297,86
35347,86
35397,86
35458,85
35498,85
35547,84
35597,81
35647,83
35697,81
35747,83
35798,82
35847,83
35898,80
35947,79
35997,79
36047,81
36097,83
36148,82
36197,81
36247,80
36298,81
36347,81
36397,80
36449,76
36497,75
36547,78
36597,72
36647,80
36697,79
36747,75
36798,73
36847,78
36898,80
36947,78
36997,79
37048,79
37098,77
37147,75
37197,76
37247,78
37298,78
37348,78
37398,79
37456,81
37498,79
37547,81
37598,80
37647,77
37698,76
37747,79
37798,77
37847,77
37898,76
37948,74
37999,76
38049,76
38099,76
38147,76
38197,78
38248,81
38298,79
38348,81
38399,80
38458,78
38499,79
38547,79
38598,77
38648,75
38697,76
38748,76
38797,75
38849,77
38899,76
38947,78
38998,79
39047,80
39099,77
39148,77
39198,79
39247,78
39298,78
39347,77
39397,79
39452,77
39498,79
39547,76
39598,80
39647,83
39698,77
39748,79
39797,80
39847,78
39898,77
39949,73
39997,70
40047,95
40097,88
40150,81
40198,81
40248,78
40299,83
40349,80
40397,81
40453,75
40498,75
40547,77
40597,79
40648,77
40699,75
40748,77
40797,77
40849,73
40899,77
40948,73
40998,71
41048,72
41097,76
41146,77
41197,77
41248,80
41297,78
41348,80
41398,78
41458,82
41498,78
41547,78
41597,77
41647,77
41698,72
41747,73
41798,72
41847,72
41897,71
41948,73
41997,74
42047,76
42097,74
42147,75
42198,75
42247,74
42299,72
42348,77
42399,73
42448,69
42509,72
42547,72
42597,74
42648,71
42700,73
42752,69
42798,69
42848,71
42898,70
42947,70
42998,72
43049,71
43098,73
43147,75
43198,78
43249,78
43308,75
43347,76
43398,74
43448,73
43498,74
43550,78
43597,76
43647,77
43698,79
43747,82
43797,82
43849,83
43898,81
43948,82
44001,81
44047,85
44098,79
44148,77
44198,82
44247,75
44298,75
44347,70
44399,74
44448,74
44499,69
44558,74
44597,75
44647,70
44697,68
44747,66
44798,68
44847,71
44897,72
44948,76
44997,78
45049,78
45098,79
45147,81
45200,74
45247,74
45297,76
45347,76
45401,74
45447,74
45497,74
45557,76
45597,70
45647,69
45698,73
45747,75
45797,74
45847,74
45898,69
45947,67
45998,69
46048,68
46099,67
46148,65
46197,70
46247,69
46298,69
46348,69
46398,68
46449,67
46498,67
46547,68
46601,72
46648,69
46697,69
46747,73
46797,72
46848,71
46898,70
46950,71
46997,72
47050,71
47103,74
47147,72
47198,69
47248,69
47298,68
47348,66
47400,66
47451,66
47499,70
47547,67
47598,65
47650,67
47697,67
47748,67
47798,68
47848,67
47897,68
47947,65
48011,65
48048,67
48099,68
48146,69
48198,68
48247,72
48298,69
