time,lat,lng,accuracy,altitude,speed,satellites in view,satellites in use
8,12.83918740,77.65921150,31,855.79999,0.00000,0,0
1004,12.83918740,77.65921150,31,855.79999,0.00000,0,0
2008,12.83918740,77.65921150,31,855.79999,0.00000,0,0
3051,12.83918740,77.65921150,31,855.79999,0.00000,0,0
4054,12.83945480,77.65976790,24,0.00000,0.00000,0,0
5051,12.83945480,77.65976790,24,0.00000,0.00000,0,0
6051,12.83945480,77.65976790,24,0.00000,0.00000,0,0
7056,12.83945480,77.65976790,24,0.00000,0.00000,0,0
8102,12.83945480,77.65976790,24,0.00000,0.00000,0,0
9150,12.83945480,77.65976790,24,0.00000,0.00000,0,0
10152,12.83945480,77.65976790,24,0.00000,0.00000,0,0
11150,12.83945480,77.65976790,24,0.00000,0.00000,0,0
12151,12.83945480,77.65976790,24,0.00000,0.00000,0,0
13150,12.83945480,77.65976790,24,0.00000,0.00000,0,0
14150,12.83956170,77.66004410,22,0.00000,0.00000,0,0
15151,12.83956170,77.66004410,22,0.00000,0.00000,0,0
16153,12.83956170,77.66004410,22,0.00000,0.00000,0,0
17156,12.83956170,77.66004410,22,0.00000,0.00000,0,0
18151,12.83956170,77.66004410,22,0.00000,0.00000,0,0
19154,12.83970260,77.66048620,20,0.00000,0.00000,0,0
20152,12.83970260,77.66048620,20,0.00000,0.00000,0,0
21160,12.83970260,77.66048620,20,0.00000,0.00000,0,0
22201,12.83970260,77.66048620,20,0.00000,0.00000,0,0
23201,12.83970260,77.66048620,20,0.00000,0.00000,0,0
24251,12.83970260,77.66048620,20,0.00000,0.00000,0,0
25251,12.83970260,77.66048620,20,0.00000,0.00000,0,0
26300,12.83970260,77.66048620,20,0.00000,0.00000,0,0
27303,12.83970260,77.66048620,20,0.00000,0.00000,0,0
28351,12.83970260,77.66048620,20,0.00000,0.00000,0,0
29356,12.83970260,77.66048620,20,0.00000,0.00000,0,0
30352,12.83974160,77.66064140,31,850.70001,0.00000,0,0
31350,12.83974160,77.66064140,31,850.70001,0.00000,0,0
32353,12.83974160,77.66064140,31,850.70001,0.00000,0,0
33405,12.83974160,77.66064140,31,850.70001,0.00000,0,0
34407,12.83974160,77.66064140,31,850.70001,0.00000,0,0
35458,12.83974160,77.66064140,31,850.70001,0.00000,0,0
36450,12.84003350,77.66190620,25,0.00000,0.00000,0,0
37456,12.84003350,77.66190620,25,0.00000,0.00000,0,0
38458,12.84003350,77.66190620,25,0.00000,0.00000,0,0
39452,12.84014180,77.66237540,24,0.00000,0.00000,0,0
40453,12.84014180,77.66237540,24,0.00000,0.00000,0,0
41458,12.84014180,77.66237540,24,0.00000,0.00000,0,0
42510,12.84014180,77.66237540,24,0.00000,0.00000,0,0
43550,12.84014180,77.66237540,24,0.00000,0.00000,0,0
44559,12.83058520,77.66004920,75,0.00000,0.00000,0,0
45559,12.83058520,77.66004920,75,0.00000,0.00000,0,0
46602,12.83058520,77.66004920,75,0.00000,0.00000,0,0
47650,12.83058520,77.66004920,75,0.00000,0.00000,0,0
