time,x,y,z
8,-0.10965,-0.04468,-0.01608
48,-0.16774,-0.19772,-0.11615
98,-0.10460,-0.01524,-0.15100
150,-0.08566,0.07092,-0.14836
197,-0.02097,0.10455,-0.11829
248,-0.09904,0.13255,-0.14227
297,-0.06929,0.34976,-0.20587
347,0.00388,0.29259,-0.23743
397,-0.08946,0.16786,-0.06659
447,-0.19707,0.06842,0.00150
497,-0.11975,-0.18782,0.00465
547,-0.11508,-0.17160,-0.02469
599,-0.10371,-0.07253,-0.05753
648,-0.07413,-0.00186,-0.04288
697,-0.12801,0.00208,-0.00960
748,-0.13394,0.17589,0.02182
798,-0.00146,-0.04289,0.04611
847,-0.01089,0.06628,0.10033
897,-0.12175,-0.04089,0.08493
948,-0.02177,0.04367,0.05302
1003,-0.01079,-0.07062,0.03197
1051,-0.10420,-0.09096,0.05367
1098,-0.05348,0.01616,0.00038
1148,-0.04724,-0.00497,-0.04591
1198,0.03326,-0.00357,-0.01874
1248,-0.02330,0.07054,0.00339
1298,-0.00749,0.13362,-0.01743
1347,0.04590,0.08893,-0.02763
1399,-0.04184,-0.02937,0.09062
1448,-0.03812,-0.10048,0.08434
1498,0.02959,-0.00511,0.05855
1548,0.00586,-0.12225,0.06062
1598,-0.03133,-0.11752,0.10854
1648,0.02425,-0.01433,0.04935
1697,0.01700,-0.06783,0.01791
1748,0.03453,-0.02908,0.09090
1799,-0.05276,0.01859,0.03000
1848,0.11684,0.03191,0.02844
1899,0.01672,0.19971,-0.00940
1947,-0.00793,-0.08545,0.10361
2005,0.04929,-0.09982,0.17175
2047,0.07106,-0.13940,0.12476
2098,0.05606,-0.10725,0.05428
2147,0.07387,-0.04799,0.06189
2202,0.04433,0.10815,-0.03777
2247,0.08752,0.03931,-0.06995
2297,0.03612,0.06342,-0.00951
2349,-0.06052,0.12733,-0.06300
2396,0.07457,-0.18274,-0.06573
2447,0.05583,0.23236,-0.14436
2497,-0.02429,-0.19022,-0.22314
2547,0.04861,0.17961,-0.05701
2597,-0.16258,0.10829,-0.07404
2648,0.03993,0.06232,-0.01395
2698,-0.04158,0.06387,-0.00011
