time,azimuth
38,-166
89,-166
139,-167
188,-167
239,-166
288,-167
339,-167
389,-166
439,-167
488,-164
538,-163
588,-163
639,-161
698,-160
739,-162
788,-160
839,-158
889,-160
939,-159
989,-160
1038,-162
1090,-162
1138,-160
1188,-161
1239,-164
1288,-163
1339,-162
1389,-164
1438,-165
1488,-165
1539,-162
1588,-162
1638,-162
1696,-161
1738,-162
1788,-162
1841,-163
1889,-165
1938,-164
1989,-163
2039,-159
2089,-161
2139,-160
2189,-159
2239,-161
2289,-163
2341,-165
2389,-161
2439,-158
2488,-159
2539,-159
2588,-157
2639,-154
2692,-155
2738,-156
2788,-156
2839,-156
2888,-156
2939,-159
2988,-159
3039,-161
3089,-164
3139,-163
3188,-161
3239,-160
3289,-160
3339,-160
3388,-163
3438,-158
3488,-157
3540,-154
3590,-152
3639,-153
3692,-153
3738,-151
3788,-151
3840,-148
3890,-148
3939,-149
3988,-148
4038,-145
4089,-145
4139,-145
4189,-145
4239,-146
4290,-145
4338,-147
4388,-148
4438,-153
4489,-155
4538,-154
4590,-152
4640,-150
4693,-149
4738,-149
4787,-150
4838,-152
4888,-156
4940,-156
4989,-159
5039,-157
5090,-155
5139,-157
5188,-150
5238,-150
5288,-154
5340,-162
5390,-160
5439,-157
5489,-153
5538,-157
5588,-153
5639,-154
5689,-154
5744,-152
5789,-152
5838,-157
5888,-157
5938,-156
5989,-159
6039,-159
6090,-158
6140,-160
6188,-161
6239,-161
6289,-162
6340,-161
6389,-158
6439,-161
6489,-163
6538,-162
6588,-161
6638,-161
6688,-163
6739,-163
6792,-162
6838,-164
6888,-165
6938,-163
6989,-162
7040,-161
7089,-163
7139,-162
7191,-161
7238,-159
7289,-163
7339,-162
7389,-161
7438,-162
7488,-160
7538,-163
7589,-163
7638,-163
7689,-163
7739,-164
7791,-161
7838,-162
7888,-161
7939,-157
7989,-159
8039,-157
8088,-159
8140,-157
8189,-161
8238,-162
8288,-159
8338,-157
8388,-157
8439,-159
8489,-157
8539,-158
8588,-161
8639,-162
