time,lat,lng,accuracy,altitude,speed,satellites in view,satellites in use
700,12.83558240,77.65717900,87,0.00000,0.00000,0,0
1697,12.83558240,77.65717900,87,0.00000,0.00000,0,0
2693,12.83558240,77.65717900,87,0.00000,0.00000,0,0
3693,12.83558240,77.65717900,87,0.00000,0.00000,0,0
4693,12.83553690,77.65715330,51,0.00000,0.00000,0,0
5744,12.83553690,77.65715330,51,0.00000,0.00000,0,0
6792,12.83553690,77.65715330,51,0.00000,0.00000,0,0
7792,12.83553690,77.65715330,51,0.00000,0.00000,0,0
8843,12.83553690,77.65715330,51,0.00000,0.00000,0,0
9844,12.83553690,77.65715330,51,0.00000,0.00000,0,0
10843,12.83553690,77.65715330,51,0.00000,0.00000,0,0
11847,12.83553690,77.65715330,51,0.00000,0.00000,0,0
12844,12.83553690,77.65715330,51,0.00000,0.00000,0,0
13843,12.83553690,77.65715330,51,0.00000,0.00000,0,0
14899,12.83553420,77.65715170,106,0.00000,0.00000,0,0
15896,12.83553420,77.65715170,106,0.00000,0.00000,0,0
16943,12.83553420,77.65715170,106,0.00000,0.00000,0,0
17954,12.83553420,77.65715170,106,0.00000,0.00000,0,0
18958,12.83553420,77.65715170,106,0.00000,0.00000,0,0
19992,12.83553420,77.65715170,106,0.00000,0.00000,0,0
21004,12.83553420,77.65715170,106,0.00000,0.00000,0,0
21997,12.83553420,77.65715170,106,0.00000,0.00000,0,0
23043,12.83553420,77.65715170,106,0.00000,0.00000,0,0
24051,12.83553420,77.65715170,106,0.00000,0.00000,0,0
25044,12.83553390,77.65715160,106,0.00000,0.00000,0,0
26105,12.83553390,77.65715160,106,0.00000,0.00000,0,0
27142,12.83553390,77.65715160,106,0.00000,0.00000,0,0
28142,12.83553390,77.65715160,106,0.00000,0.00000,0,0
29196,12.83553390,77.65715160,106,0.00000,0.00000,0,0
30192,12.83502930,77.65660370,33,0.00000,0.00000,0,0
31205,12.83502930,77.65660370,33,0.00000,0.00000,0,0
32200,12.83502930,77.65660370,33,0.00000,0.00000,0,0
33207,12.83502930,77.65660370,33,0.00000,0.00000,0,0
34207,12.83502930,77.65660370,33,0.00000,0.00000,0,0
35278,12.83502930,77.65660370,33,0.00000,0.00000,0,0
36253,12.83502930,77.65660370,33,0.00000,0.00000,0,0
37271,12.83502930,77.65660370,33,0.00000,0.00000,0,0
38246,12.83502930,77.65660370,33,0.00000,0.00000,0,0
39304,12.83502930,77.65660370,33,0.00000,0.00000,0,0
40308,12.83502930,77.65660370,33,0.00000,0.00000,0,0
41320,12.83502930,77.65660370,33,0.00000,0.00000,0,0
42308,12.83502930,77.65660370,33,0.00000,0.00000,0,0
43304,12.83502930,77.65660370,33,0.00000,0.00000,0,0
44788,12.83502930,77.65660370,33,0.00000,0.00000,0,0
45299,12.83502930,77.65660370,33,0.00000,0.00000,0,0
46310,12.83502930,77.65660370,33,0.00000,0.00000,0,0
47302,12.83502930,77.65660370,33,0.00000,0.00000,0,0
48306,12.83502930,77.65660370,33,0.00000,0.00000,0,0
49312,12.83502930,77.65660370,33,0.00000,0.00000,0,0
50306,12.83502930,77.65660370,33,0.00000,0.00000,0,0
51304,12.83502930,77.65660370,33,0.00000,0.00000,0,0
52303,12.83502930,77.65660370,33,0.00000,0.00000,0,0
53310,12.83502930,77.65660370,33,0.00000,0.00000,0,0
54361,12.83502930,77.65660370,33,0.00000,0.00000,0,0
55353,12.83502930,77.65660370,33,0.00000,0.00000,0,0
56404,12.83502930,77.65660370,33,0.00000,0.00000,0,0
57403,12.83502930,77.65660370,33,0.00000,0.00000,0,0
58462,12.83502930,77.65660370,33,0.00000,0.00000,0,0
59475,12.83502930,77.65660370,33,0.00000,0.00000,0,0
60462,12.83502930,77.65660370,33,0.00000,0.00000,0,0
61461,12.83502930,77.65660370,33,0.00000,0.00000,0,0
62450,12.83502930,77.65660370,33,0.00000,0.00000,0,0
63449,12.83502930,77.65660370,33,0.00000,0.00000,0,0
64452,12.83502930,77.65660370,33,0.00000,0.00000,0,0
65458,12.83502930,77.65660370,33,0.00000,0.00000,0,0
66461,12.83502930,77.65660370,33,0.00000,0.00000,0,0
67517,12.83502930,77.65660370,33,0.00000,0.00000,0,0
68508,12.83502930,77.65660370,33,0.00000,0.00000,0,0
69543,12.83502930,77.65660370,33,0.00000,0.00000,0,0
70592,12.83502930,77.65660370,33,0.00000,0.00000,0,0
71608,12.83502930,77.65660370,33,0.00000,0.00000,0,0
72592,12.83410840,77.65737070,300,0.00000,0.00000,0,0
