time,x,y,z
38,0.07150,0.02356,0.14142
89,-0.04114,0.00113,0.15941
139,0.04256,-0.09923,0.12462
188,-0.01910,0.19446,0.01260
238,0.01608,0.10352,-0.09598
288,0.12592,0.10748,-0.03334
338,-0.05630,0.13091,-0.07861
389,-0.02164,-0.09454,-0.08138
439,-0.04225,-0.07990,-0.04401
488,-0.07489,-0.09074,-0.13010
538,0.02330,-0.13924,-0.24161
588,0.08086,0.00050,-0.25293
639,-0.12343,0.47217,-0.27812
698,-0.22725,0.15614,-0.23296
739,-0.10605,-0.03986,-0.01054
788,-0.23236,0.04082,-0.09212
839,-0.01071,-0.22253,-0.11087
889,-0.04042,-0.13087,-0.03859
938,-0.21501,0.01453,0.01570
989,-0.11754,0.12015,-0.00793
1038,-0.06723,0.02237,0.01190
1090,-0.07326,0.25539,0.04851
1138,-0.01974,0.31630,-0.00629
1188,-0.04265,0.01263,0.12523
1239,-0.23132,-0.01677,0.19667
1288,-0.05212,-0.02571,0.09607
1339,0.18541,-0.11720,0.03537
1388,-0.00677,-0.08115,0.01129
1438,-0.07668,-0.03253,0.01271
1488,0.08223,0.10204,0.00919
1539,0.05817,0.05496,-0.06476
1588,0.04655,-0.04051,-0.03467
1638,-0.02876,0.02684,-0.02888
1695,-0.02678,-0.01317,-0.02304
1738,0.01520,-0.17291,0.00958
1788,0.04713,-0.10918,0.03416
1840,-0.05347,-0.07155,0.01900
1889,-0.07860,0.03146,-0.08926
1938,0.05974,-0.03416,-0.11263
1989,0.04675,0.11360,-0.10213
2039,-0.03049,0.00511,-0.12424
2089,0.00569,-0.03436,-0.07915
2139,-0.03957,0.01064,-0.03270
2189,-0.05174,-0.04338,0.03891
2239,-0.05013,-0.01527,0.00121
2289,-0.01996,-0.11600,-0.06331
2341,0.01831,-0.08238,-0.12158
2389,0.06290,0.14105,-0.21484
2439,0.03923,0.04958,-0.26288
2488,-0.04204,0.01442,-0.21324
2538,-0.04047,0.03481,-0.13254
2588,-0.03120,-0.04430,-0.05031
2639,-0.05644,0.03972,-0.09825
2692,-0.00984,0.06334,-0.09732
2738,0.02133,0.02623,0.00714
2788,0.00204,0.01529,0.04855
2839,0.03046,0.12154,0.06758
2888,-0.00223,0.03897,0.11067
2939,-0.04092,-0.05321,0.20500
2988,-0.04434,-0.00095,0.23940
3038,-0.05061,-0.21674,0.23936
3089,-0.10719,-0.14522,0.11545
3138,0.03807,0.26582,-0.10124
3188,0.08142,0.29962,-0.17577
3239,-0.00780,0.23799,-0.23396
3288,0.07469,0.15295,-0.24031
3339,-0.02957,-0.31340,-0.12039
3388,-0.32619,-0.26028,-0.11740
3438,-0.20888,0.26526,-0.37619
3488,-0.04128,0.10417,-0.50418
3540,0.05942,0.11884,-0.43410
3590,-0.11015,0.09479,-0.42323
3639,-0.09900,-0.13834,-0.34328
3692,-0.20796,0.07722,-0.31856
3738,-0.25809,-0.23978,-0.32297
3788,-0.17424,-0.39217,-0.25407
3840,-0.21564,-0.21928,-0.29579
3890,-0.29843,-0.32294,-0.29684
3939,-0.11638,0.23601,-0.30925
3988,0.27824,0.88469,-0.29543
4038,0.16925,0.11751,-0.13039
4089,-0.15433,-0.04570,-0.00861
4138,-0.03642,-0.23572,0.17302
4189,0.01952,-0.26692,0.24503
4239,-0.08081,-0.07800,0.22769
4289,-0.23335,-0.07333,0.28084
4338,0.18575,0.23755,0.21687
4388,0.45982,-0.35271,0.17435
4438,-0.00983,-0.21233,0.32553
4489,-0.26691,0.26556,0.28104
4538,-0.03130,0.39731,0.05484
4590,-0.02957,0.29324,-0.13055
4640,-0.11301,0.08827,-0.10751
4693,0.03502,-0.00389,0.07884
4737,-0.00626,0.08408,0.19975
4787,0.13036,-0.17941,0.27348
4838,0.28036,-0.31427,0.33116
4888,0.22826,-0.41948,0.35545
4940,0.05324,-0.49663,0.25034
4988,0.12985,-0.48216,0.19864
5039,0.30298,-0.09822,0.16849
5090,0.13292,0.24820,0.02499
5139,-0.08731,0.41545,-0.05394
5187,0.33020,0.46840,0.01558
5238,0.21112,0.07129,0.10188
5288,0.12946,0.39665,0.09261
